(5101226) TC: TC-0 = 22.33, modeled = 20.28, target = 50.00, heatSink = -86.63, output = 100.0, timeout = 8650, exptTempC = 0.00, TecRate = 0.069
(5101375) TC: TC-0 = 22.41, modeled = 20.29, target = 50.00, heatSink = -86.79, output = 100.0, timeout = 8800, exptTempC = 0.00, TecRate = 0.057
(5101526) TC: TC-0 = 22.48, modeled = 20.30, target = 50.00, heatSink = -86.75, output = 100.0, timeout = 8950, exptTempC = 0.00, TecRate = 0.053
(5101680) TC: TC-0 = 22.55, modeled = 20.31, target = 50.00, heatSink = -86.82, output = 100.0, timeout = 9100, exptTempC = 0.00, TecRate = 0.059
(5101826) TC: TC-0 = 22.59, modeled = 20.31, target = 50.00, heatSink = -86.62, output = 100.0, timeout = 9250, exptTempC = 0.00, TecRate = 0.056
(5101977) TC: TC-0 = 22.65, modeled = 20.32, target = 50.00, heatSink = -86.62, output = 100.0, timeout = 9400, exptTempC = 0.00, TecRate = 0.055
(5102127) TC: TC-0 = 22.70, modeled = 20.33, target = 50.00, heatSink = -86.74, output = 100.0, timeout = 9550, exptTempC = 0.00, TecRate = 0.060
(5102277) TC: TC-0 = 22.77, modeled = 20.34, target = 50.00, heatSink = -86.94, output = 100.0, timeout = 9700, exptTempC = 0.00, TecRate = 0.063
(5102427) TC: TC-0 = 22.82, modeled = 20.35, target = 50.00, heatSink = -87.02, output = 100.0, timeout = 9850, exptTempC = 0.00, TecRate = 0.061
(5102578) TC: TC-0 = 22.88, modeled = 20.36, target = 50.00, heatSink = -86.74, output = 100.0, timeout = 10000, exptTempC = 0.00, TecRate = 0.063
(5102733) TC: TC-0 = 22.92, modeled = 20.36, target = 50.00, heatSink = -86.66, output = 100.0, timeout = 10150, exptTempC = 0.00, TecRate = 0.065
(5102878) TC: TC-0 = 22.97, modeled = 20.37, target = 50.00, heatSink = -86.58, output = 100.0, timeout = 10300, exptTempC = 0.00, TecRate = 0.066
(5103028) TC: TC-0 = 23.02, modeled = 20.38, target = 50.00, heatSink = -86.67, output = 100.0, timeout = 10450, exptTempC = 0.00, TecRate = 0.063
(5103179) TC: TC-0 = 23.07, modeled = 20.39, target = 50.00, heatSink = -87.19, output = 100.0, timeout = 10600, exptTempC = 0.00, TecRate = 0.069
(5103328) TC: TC-0 = 23.13, modeled = 20.40, target = 50.00, heatSink = -86.95, output = 100.0, timeout = 10750, exptTempC = 0.00, TecRate = 0.072
(5103481) TC: TC-0 = 23.18, modeled = 20.42, target = 50.00, heatSink = -86.74, output = 100.0, timeout = 10900, exptTempC = 0.00, TecRate = 0.070
(5103636) TC: TC-0 = 23.22, modeled = 20.42, target = 50.00, heatSink = -86.70, output = 100.0, timeout = 11050, exptTempC = 0.00, TecRate = 0.071
(5103781) TC: TC-0 = 23.27, modeled = 20.43, target = 50.00, heatSink = -87.07, output = 100.0, timeout = 11200, exptTempC = 0.00, TecRate = 0.078
(5103931) TC: TC-0 = 23.53, modeled = 20.47, target = 50.00, heatSink = -86.66, output = 100.0, timeout = 11350, exptTempC = 0.00, TecRate = 0.396
(5104082) TC: TC-0 = 24.62, modeled = 20.61, target = 50.00, heatSink = -86.78, output = 100.0, timeout = 11500, exptTempC = 0.00, TecRate = 1.227
(5104233) TC: TC-0 = 26.68, modeled = 20.88, target = 50.00, heatSink = -86.75, output = 100.0, timeout = 11650, exptTempC = 0.00, TecRate = 2.075
(5104383) TC: TC-0 = 29.43, modeled = 21.26, target = 50.00, heatSink = -86.62, output = 100.0, timeout = 11800, exptTempC = 0.00, TecRate = 2.668
(5104539) TC: TC-0 = 31.48, modeled = 21.55, target = 50.00, heatSink = -86.82, output = 100.0, timeout = 11950, exptTempC = 0.00, TecRate = 0.162
(5104683) TC: TC-0 = 34.70, modeled = 22.03, target = 50.00, heatSink = -87.19, output = 100.0, timeout = 12100, exptTempC = 0.00, TecRate = 3.245
(5104834) TC: TC-0 = 38.03, modeled = 22.53, target = 50.00, heatSink = -87.23, output = 100.0, timeout = 12250, exptTempC = 0.00, TecRate = 3.509
(5104984) TC: TC-0 = 41.38, modeled = 23.07, target = 50.00, heatSink = -87.15, output = 100.0, timeout = 12400, exptTempC = 0.00, TecRate = 3.582
(5105064) heapMonitor_checkFreeHeapSize: New heap low water mark 114920
(5105134) TC: TC-0 = 44.48, modeled = 23.59, target = 50.00, heatSink = -86.94, output = 100.0, timeout = 12550, exptTempC = 0.00, TecRate = 3.512
(5105284) TC: TC-0 = 47.45, modeled = 24.11, target = 50.00, heatSink = -86.70, output = 100.0, timeout = 12700, exptTempC = 0.00, TecRate = 3.415
(5105440) TC: TC-0 = 49.34, modeled = 24.48, target = 50.00, heatSink = -86.58, output = 100.0, timeout = 12850, exptTempC = 0.00, TecRate = 0.462
(5105584) TC: TC-0 = 52.26, modeled = 25.03, target = 50.00, heatSink = -86.57, output = 100.0, timeout = 13000, exptTempC = 0.00, TecRate = 3.693
(5105735) TC: TC-0 = 55.17, modeled = 25.60, target = 50.00, heatSink = -86.71, output = 100.0, timeout = 13150, exptTempC = 0.00, TecRate = 3.832
