,timeSinceBoot,PCR Temp,PCR Modeled TempC,PCR Target TempC,PCR Thermocouple TempC,PCR HeatSink TempC
135,3113849.0,98.91,90.36,90.0,,33.33
136,3113999.0,98.71,90.37,90.0,,33.34
137,3113.999,,,,93.01,
138,3114149.0,98.42,90.36,90.0,,33.35
139,3114299.0,98.21,90.36,90.0,,33.35
140,3114449.0,98.03,90.36,90.0,,33.36
141,3114599.0,97.78,90.36,90.0,,33.37
142,3114.599,,,,92.21,
143,3114749.0,97.57,90.35,90.0,,33.38
144,3114899.0,97.37,90.35,90.0,,33.38
145,3115049.0,97.11,90.33,90.0,,33.39
146,3115199.0,96.91,90.31,90.0,,33.4
147,3115.199,,,,91.45,
148,3115349.0,96.73,90.3,90.0,,33.41
149,3115499.0,96.48,90.28,90.0,,33.41
150,3115649.0,96.29,90.26,90.0,,33.42
151,3115799.0,96.11,90.25,90.0,,33.43
152,3115.799,,,,90.7,
153,3115949.0,95.92,90.23,90.0,,33.43
154,3116100.0,95.68,90.2,90.0,,33.44
155,3116250.0,95.51,90.18,90.0,,33.45
156,3116400.0,95.36,90.16,90.0,,33.46
157,3116.4,,,,90.09,
158,3116550.0,95.14,90.13,90.0,,33.46
159,3116700.0,94.99,90.11,90.0,,33.47
160,3116846.0,94.83,90.09,80.0,,33.47
161,3116996.0,94.66,90.07,80.0,,33.48
162,3116.996,,,,89.54,
163,3117146.0,94.49,90.05,80.0,,33.48
164,3117296.0,94.18,90.0,80.0,,33.52
165,3117446.0,93.43,89.84,80.0,,33.64
166,3117596.0,92.61,89.61,80.0,,33.76
167,3117.596,,,,87.33,
168,3117746.0,91.61,89.28,80.0,,33.92
169,3117896.0,90.09,88.77,80.0,,34.19
170,3118046.0,88.87,88.24,80.0,,34.4
171,3118197.0,87.58,87.67,80.0,,34.62
172,3118.197,,,,82.36,
173,3118347.0,85.84,86.96,80.0,,34.94
174,3118497.0,84.52,86.27,80.0,,35.18
175,3118647.0,83.2,85.59,80.0,,35.43
176,3118797.0,81.42,84.79,80.0,,35.74
177,3118.797,,,,76.22,
178,3118947.0,80.1,84.04,80.0,,35.98
179,3119097.0,78.79,83.31,80.0,,36.23
180,3119247.0,77.06,82.48,80.0,,36.54
181,3119407.0,75.8,81.72,80.0,,36.78
182,3119.407,,,,71.76,
183,3119557.0,74.55,80.98,80.0,,37.02
184,3119708.0,73.0,80.17,80.0,,37.32
185,3119854.0,72.09,79.47,80.0,,37.47
186,3120001.0,71.47,78.89,80.0,,37.58
187,3120.001,,,,68.14,
188,3120151.0,71.08,78.42,80.0,,37.65
189,3120301.0,71.09,78.1,80.0,,37.65
190,3120451.0,71.3,77.91,80.0,,37.62
191,3120601.0,71.87,77.86,80.0,,37.56
192,3120.601,,,,69.19,
193,3120751.0,72.43,77.92,80.0,,37.49
194,3120901.0,73.08,78.06,80.0,,37.42
195,3121051.0,74.01,78.28,80.0,,37.31
196,3121201.0,74.74,78.56,80.0,,37.24
197,3121.201,,,,72.18,
198,3121351.0,75.46,78.84,80.0,,37.15
199,3121501.0,76.4,79.16,80.0,,37.03
200,3121651.0,77.07,79.49,80.0,,36.95
201,3121801.0,77.67,79.79,80.0,,36.87
202,3121.801,,,,74.92,
203,3121951.0,78.4,80.08,80.0,,36.77
204,3122101.0,78.88,80.36,80.0,,36.7
205,3122251.0,79.27,80.59,80.0,,36.63
206,3122401.0,79.7,80.79,80.0,,36.56
207,3122.401,,,,76.38,
208,3122551.0,79.93,80.96,80.0,,36.51
209,3122701.0,80.1,81.09,80.0,,36.47
210,3122851.0,80.23,81.18,80.0,,36.43
211,3123001.0,80.3,81.24,80.0,,36.37
212,3123.001,,,,76.74,
213,3123151.0,80.32,81.27,80.0,,36.35
214,3123301.0,80.31,81.28,80.0,,36.33
215,3123452.0,80.26,81.26,80.0,,36.3
216,3123602.0,80.17,81.23,80.0,,36.27
217,3123.623,,,,76.45,
218,3123752.0,80.1,81.18,80.0,,36.24
219,3123903.0,79.99,81.13,80.0,,36.22
220,3124053.0,79.91,81.07,80.0,,36.19
221,3124203.0,79.82,81.0,80.0,,36.17
222,3124.203,,,,76.1,
223,3124353.0,79.72,80.94,80.0,,36.15
224,3124503.0,79.63,80.87,80.0,,36.13
225,3124653.0,79.55,80.81,80.0,,36.11
226,3124804.0,79.45,80.74,80.0,,36.08
227,3124.804,,,,75.83,
228,3124954.0,79.39,80.67,80.0,,36.06
229,3125104.0,79.33,80.62,80.0,,36.05
230,3125254.0,79.24,80.55,80.0,,36.03
231,3125404.0,79.19,80.49,80.0,,36.01
232,3125.404,,,,75.63,
233,3125554.0,79.15,80.44,80.0,,35.99
234,3125704.0,79.08,80.39,80.0,,35.97
235,3125854.0,79.05,80.34,80.0,,35.96
236,3126004.0,79.0,80.29,80.0,,35.94
237,3126.004,,,,75.46,
238,3126154.0,78.97,80.25,80.0,,35.92
239,3126304.0,78.94,80.21,80.0,,35.9
