timeSinceBoot,PCR Temp,PCR Modeled TempC,PCR Target TempC,PCR HeatSink TempC,PCR Ramp Set TempC,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,Nir,QDotRatio,FluorTemp,qDotPredictedTempC
2765.199,35.27,35.12,65.0,33.34,35.13,,,,,,,,,,,,,
2765.199,35.27,35.12,65.0,33.34,35.13,,,,,,,,,,,,,
2765.347,35.82,35.2,65.0,33.26,35.13,,,,,,,,,,,,,
2765.347,35.82,35.2,65.0,33.26,35.13,,,,,,,,,,,,,
2765.347,35.82,35.2,65.0,33.26,35.13,,,,,,,,,,,,,
2765.347,35.82,35.2,65.0,33.26,35.13,,,,,,,,,,,,,
2765.347,35.82,35.2,65.0,33.26,35.13,,,,,,,,,,,,,
2765.516,36.61,35.34,65.0,33.16,35.13,,,,,,,,,,,,,
2765.516,36.61,35.34,65.0,33.16,35.13,,,,,,,,,,,,,
2765.516,36.61,35.34,65.0,33.16,35.13,,,,,,,,,,,,,
2765.516,36.61,35.34,65.0,33.16,35.13,,,,,,,,,,,,,
2765.516,36.61,35.34,65.0,33.16,35.13,,,,,,,,,,,,,
2765.665,37.67,35.57,65.0,33.04,35.13,,,,,,,,,,,,,
2765.665,37.67,35.57,65.0,33.04,35.13,,,,,,,,,,,,,
2765.665,37.67,35.57,65.0,33.04,35.13,,,,,,,,,,,,,
2765.665,37.67,35.57,65.0,33.04,35.13,,,,,,,,,,,,,
2765.665,37.67,35.57,65.0,33.04,35.13,,,,,,,,,,,,,
2765.815,38.89,35.9,65.0,32.94,35.13,,,,,,,,,,,,,
2765.815,38.89,35.9,65.0,32.94,35.13,,,,,,,,,,,,,
2765.815,38.89,35.9,65.0,32.94,35.13,,,,,,,,,,,,,
2765.815,38.89,35.9,65.0,32.94,35.13,,,,,,,,,,,,,
2765.815,38.89,35.9,65.0,32.94,35.13,,,,,,,,,,,,,
2765.982,40.27,36.32,65.0,32.85,35.13,,,,,,,,,,,,,
2765.982,40.27,36.32,65.0,32.85,35.13,,,,,,,,,,,,,
2765.982,40.27,36.32,65.0,32.85,35.13,,,,,,,,,,,,,
2765.982,40.27,36.32,65.0,32.85,35.13,,,,,,,,,,,,,
2765.982,40.27,36.32,65.0,32.85,35.13,,,,,,,,,,,,,
