timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Target TempC,Stage1 Thermocouple TempC,Stage1 Heatsink,Stage1 Alternate1 Thermocouple TempC
2287.746,28.55,24,62,27.35,28.35,24.05
2287.746,28.55,24,62,27.35,28.35,24.05
2287.746,28.55,24,62,27.35,28.35,24.05
2287.746,28.55,24,62,27.35,28.35,24.05
2287.746,28.55,24,62,27.35,28.35,24.05
2287.746,28.55,24,62,27.35,28.35,24.05
2287.895,28.55,24,62,,28.36,
2287.895,28.55,24,62,,28.36,
2287.895,28.55,24,62,,28.36,
2287.895,28.55,24,62,,28.36,
2288.045,28.57,24,62,,28.36,
2288.045,28.57,24,62,,28.36,
2288.045,28.57,24,62,,28.36,
2288.045,28.57,24,62,,28.36,
2288.195,28.72,24,62,,28.35,
2288.195,28.72,24,62,,28.35,
2288.195,28.72,24,62,,28.35,
2288.195,28.72,24,62,,28.35,
2288.345,29.28,24,62,27.29,28.32,23.99
2288.345,29.28,24,62,27.29,28.32,23.99
2288.345,29.28,24,62,27.29,28.32,23.99
2288.345,29.28,24,62,27.29,28.32,23.99
2288.345,29.28,24,62,27.29,28.32,23.99
2288.345,29.28,24,62,27.29,28.32,23.99
2288.495,29.97,24,62,,28.29,
2288.495,29.97,24,62,,28.29,
2288.495,29.97,24,62,,28.29,
2288.495,29.97,24,62,,28.29,
2288.645,30.84,24,62,,28.25,
2288.645,30.84,24,62,,28.25,
2288.645,30.84,24,62,,28.25,
2288.645,30.84,24,62,,28.25,
2288.796,32.19,24,62,,28.19,
2288.796,32.19,24,62,,28.19,
2288.796,32.19,24,62,,28.19,
2288.796,32.19,24,62,,28.19,
2288.945,33.29,24,62,27.27,28.13,24.07
2288.945,33.29,24,62,27.27,28.13,24.07
2288.945,33.29,24,62,27.27,28.13,24.07
2288.945,33.29,24,62,27.27,28.13,24.07
2288.945,33.29,24,62,27.27,28.13,24.07
2288.945,33.29,24,62,27.27,28.13,24.07
2289.095,34.44,24,62,,28.08,
2289.095,34.44,24,62,,28.08,
2289.095,34.44,24,62,,28.08,
2289.095,34.44,24,62,,28.08,
2289.245,36.02,24,62,,28.01,
2289.245,36.02,24,62,,28.01,
2289.245,36.02,24,62,,28.01,
2289.245,36.02,24,62,,28.01,
2289.396,37.23,24,62,,27.95,
2289.396,37.23,24,62,,27.95,
2289.396,37.23,24,62,,27.95,
2289.396,37.23,24,62,,27.95,
2289.545,38.45,24,62,27.27,27.89,23.94
2289.545,38.45,24,62,27.27,27.89,23.94
2289.545,38.45,24,62,27.27,27.89,23.94
2289.545,38.45,24,62,27.27,27.89,23.94
2289.545,38.45,24,62,27.27,27.89,23.94
2289.545,38.45,24,62,27.27,27.89,23.94
2289.695,39.64,24,62,,27.84,
2289.695,39.64,24,62,,27.84,
2289.695,39.64,24,62,,27.84,
2289.695,39.64,24,62,,27.84,
2289.845,41.23,24,62,,27.76,
2289.845,41.23,24,62,,27.76,
2289.845,41.23,24,62,,27.76,
2289.845,41.23,24,62,,27.76,
2289.995,42.42,24,62,,27.71,
2289.995,42.42,24,62,,27.71,
2289.995,42.42,24,62,,27.71,
2289.995,42.42,24,62,,27.71,
2290.145,43.58,24,62,27.29,27.66,23.95
2290.145,43.58,24,62,27.29,27.66,23.95
2290.145,43.58,24,62,27.29,27.66,23.95
2290.145,43.58,24,62,27.29,27.66,23.95
2290.145,43.58,24,62,27.29,27.66,23.95
2290.145,43.58,24,62,27.29,27.66,23.95
2290.295,45.11,24,62,,27.58,
2290.295,45.11,24,62,,27.58,
2290.295,45.11,24,62,,27.58,
2290.295,45.11,24,62,,27.58,
2290.445,46.24,24,62,,27.51,
2290.445,46.24,24,62,,27.51,
2290.445,46.24,24,62,,27.51,
2290.445,46.24,24,62,,27.51,
2290.595,47.34,24,62,,27.46,
2290.595,47.34,24,62,,27.46,
2290.595,47.34,24,62,,27.46,
2290.595,47.34,24,62,,27.46,
2290.745,48.81,24,62,27.31,27.4,24.07
2290.745,48.81,24,62,27.31,27.4,24.07
2290.745,48.81,24,62,27.31,27.4,24.07
2290.745,48.81,24,62,27.31,27.4,24.07
2290.745,48.81,24,62,27.31,27.4,24.07
2290.745,48.81,24,62,27.31,27.4,24.07
2290.895,49.9,24,62,,27.34,
2290.895,49.9,24,62,,27.34,
2290.895,49.9,24,62,,27.34,
2290.895,49.9,24,62,,27.34,
2291.046,50.95,24,62,,27.28,
2291.046,50.95,24,62,,27.28,
2291.046,50.95,24,62,,27.28,
2291.046,50.95,24,62,,27.28,
2291.195,52.34,24,62,,27.21,
2291.195,52.34,24,62,,27.21,
2291.195,52.34,24,62,,27.21,
2291.195,52.34,24,62,,27.21,
2291.345,53.37,24,62,27.25,27.16,24.02
2291.345,53.37,24,62,27.25,27.16,24.02
2291.345,53.37,24,62,27.25,27.16,24.02
2291.345,53.37,24,62,27.25,27.16,24.02
2291.345,53.37,24,62,27.25,27.16,24.02
2291.345,53.37,24,62,27.25,27.16,24.02
2291.495,54.39,24,62,,27.11,
2291.495,54.39,24,62,,27.11,
2291.495,54.39,24,62,,27.11,
2291.495,54.39,24,62,,27.11,
2291.645,55.71,24,62,,27.05,
2291.645,55.71,24,62,,27.05,
2291.645,55.71,24,62,,27.05,
2291.645,55.71,24,62,,27.05,
2291.795,56.68,24,62,,27,
2291.795,56.68,24,62,,27,
2291.795,56.68,24,62,,27,
2291.795,56.68,24,62,,27,
2291.945,57.64,24,62,27.21,26.96,23.95
2291.945,57.64,24,62,27.21,26.96,23.95
2291.945,57.64,24,62,27.21,26.96,23.95
2291.945,57.64,24,62,27.21,26.96,23.95
2291.945,57.64,24,62,27.21,26.96,23.95
2291.945,57.64,24,62,27.21,26.96,23.95
2292.095,58.9,24,62,,26.9,
2292.095,58.9,24,62,,26.9,
2292.095,58.9,24,62,,26.9,
2292.095,58.9,24,62,,26.9,
2292.245,59.83,24,62,,26.85,
2292.245,59.83,24,62,,26.85,
2292.245,59.83,24,62,,26.85,
2292.245,59.83,24,62,,26.85,
2292.396,60.74,24,62,,26.8,
2292.396,60.74,24,62,,26.8,
2292.396,60.74,24,62,,26.8,
2292.396,60.74,24,62,,26.8,
2292.545,61.95,24,62,27.23,26.75,24.01
2292.545,61.95,24,62,27.23,26.75,24.01
2292.545,61.95,24,62,27.23,26.75,24.01
2292.545,61.95,24,62,27.23,26.75,24.01
2292.545,61.95,24,62,27.23,26.75,24.01
2292.545,61.95,24,62,27.23,26.75,24.01
2292.695,62.81,24,62,,26.7,
2292.695,62.81,24,62,,26.7,
2292.695,62.81,24,62,,26.7,
2292.695,62.81,24,62,,26.7,
2292.845,63.68,24.08,62,,26.66,
2292.845,63.68,24.08,62,,26.66,
2292.845,63.68,24.08,62,,26.66,
2292.845,63.68,24.08,62,,26.66,
2292.995,64.82,24.21,62,,26.6,
2292.995,64.82,24.21,62,,26.6,
2292.995,64.82,24.21,62,,26.6,
2292.995,64.82,24.21,62,,26.6,
2293.145,65.67,24.35,62,,26.55,
2293.145,65.67,24.35,62,,26.55,
2293.145,65.67,24.35,62,,26.55,
2293.145,65.67,24.35,62,,26.55,
2293.209,,,,27.25,,24.01
2293.209,,,,27.25,,24.01
2293.295,66.49,24.49,62,,26.52,
2293.295,66.49,24.49,62,,26.52,
2293.295,66.49,24.49,62,,26.52,
2293.295,66.49,24.49,62,,26.52,
2293.445,67.56,24.64,62,,26.46,
2293.445,67.56,24.64,62,,26.46,
2293.445,67.56,24.64,62,,26.46,
2293.445,67.56,24.64,62,,26.46,
2293.595,68.35,24.79,62,,26.42,
2293.595,68.35,24.79,62,,26.42,
2293.595,68.35,24.79,62,,26.42,
2293.595,68.35,24.79,62,,26.42,
2293.745,69.12,24.95,62,27.37,26.39,24
2293.745,69.12,24.95,62,27.37,26.39,24
2293.745,69.12,24.95,62,27.37,26.39,24
2293.745,69.12,24.95,62,27.37,26.39,24
2293.745,69.12,24.95,62,27.37,26.39,24
2293.745,69.12,24.95,62,27.37,26.39,24
2293.895,70.14,25.12,62,,26.34,
2293.895,70.14,25.12,62,,26.34,
2293.895,70.14,25.12,62,,26.34,
2293.895,70.14,25.12,62,,26.34,
2294.045,70.89,25.28,62,,26.31,
2294.045,70.89,25.28,62,,26.31,
2294.045,70.89,25.28,62,,26.31,
2294.045,70.89,25.28,62,,26.31,
2294.195,71.63,25.46,62,,26.28,
2294.195,71.63,25.46,62,,26.28,
2294.195,71.63,25.46,62,,26.28,
2294.195,71.63,25.46,62,,26.28,
2294.346,72.62,25.64,62,28.24,26.23,23.97
2294.346,72.62,25.64,62,28.24,26.23,23.97
2294.346,72.62,25.64,62,28.24,26.23,23.97
2294.346,72.62,25.64,62,28.24,26.23,23.97
2294.346,72.62,25.64,62,28.24,26.23,23.97
2294.346,72.62,25.64,62,28.24,26.23,23.97
2294.495,73.33,25.82,62,,26.19,
2294.495,73.33,25.82,62,,26.19,
2294.495,73.33,25.82,62,,26.19,
2294.495,73.33,25.82,62,,26.19,
