ID,inst,cp,tm,type,lot,fmax
533d0316-db32-4dce-a4d9-906c588dcb0b,13,28,76,SNP928 With PK,3028,1462
f3ebc38c-4414-474b-9014-81cbd1ae4ae9,13,28,76,SNP928 With PK,3028,1132
ef2de72f-b4b0-4954-aac7-c34192da283c,13,28,76,SNP928 With PK,3028,2470
8d888477-7be4-480d-a250-ce3c7e66dd87,13,28,76,SNP928 With PK,3028,1669
3bc649f3-2b7b-4ff1-a45d-95b1a0ae28b2,15,28,76,SNP928 With PK,3028,1419
3c9510e1-8fa2-4076-ac78-e220f64ed39c,15,28,76,SNP928 With PK,3028,1573
e3ab38d8-3513-4aa5-81dd-c8e6628a462a,15,28,76,SNP928 With PK,3028,1736
1b7a081f-5f01-4102-9352-7f52870b3c05,15,28,76,SNP928 With PK,3028,1005
fa393697-b263-4b9d-8fea-9f92c9bc3883,18,28,76,SNP928 With PK,3028,2457
debc9131-156c-4b4a-8254-fbb651555da6,18,28,76,SNP928 With PK,3028,1671
38bf8d3f-8bd3-4383-8c55-f50db0c65795,18,28,76,SNP928 With PK,3028,1706
5c8f800a-ea1b-499b-aaf7-3085df17d4da,18,28,76,SNP928 With PK,3028,2078
b7192088-04b2-4839-addd-c417ed5d722d,18,28,76,SNP928 With PK,3028,1641
4a426fc0-d0d7-44f5-8c4d-cc55c9e1d313,27,28,76,SNP928 With PK,3028,1255
10c62ec1-a57b-41f2-a578-ccd9a7e01c02,27,28,76,SNP928 With PK,3028,950
f405b6ce-4cea-4ba2-a762-1d855ef6bc95,15,29,76,SNP928 With PK,3028,1550
8dc1a2ca-8555-4daa-b7c8-9a0e11353c02,15,29,76,SNP928 With PK,3028,1369
eff7a665-4c9c-4b15-834f-9942e5f04f34,13,30,76,SNP928 With PK,3028,164
ec8976fa-4ac0-41c4-98dc-95143ce51604,2,23,77,SNP928 With PK,3028,23
b1df543f-df35-4263-bb04-2999ae16f73d,2,25,77,SNP928 With PK,3028,183
a2596daf-198c-4c9a-90b5-6bedeadad963,13,26,77,SNP928 With PK,3028,609
a54f394b-3b66-4ca0-94c3-a7323280351f,13,26,77,SNP928 No PK,2959,1034
13c61a6e-a612-4e73-8e59-23acfb03dbcc,15,26,77,SNP928 No PK,2849,938
36357111-4bd3-4802-b85a-b6b6f3ddcf90,15,26,77,SNP928 No PK,2893,1056
7cf75963-21fa-4071-84c4-7a9be3f6eb1c,18,26,77,SNP928 With PK,3028,244
b1165448-7b07-424a-8be4-90a626f040a0,18,26,77,SNP928 No PK,2957,1023
262c52da-46eb-4335-b4ee-388bd3e88555,18,26,77,SNP928 No PK,2959,991
91fc9eaa-cc98-4182-9bbd-1649a95e1a1e,18,26,77,SNP928 No PK,2957,995
a8397bad-3be9-4a88-b636-754de12fb407,25,26,77,SNP928 No PK,2893,949
59b5e55a-9e6c-4f70-a199-1ee776ccb6ee,27,26,77,SNP928 With PK,3028,700
d5581ac1-c14e-4ebf-b892-227c478f6744,27,26,77,SNP928 No PK,2957,848
23d6beda-4572-447e-9fb3-65528a7a18a4,27,26,77,SNP928 No PK,2957,959
f620c591-5a65-4843-85c6-1963904655df,27,26,77,SNP928 No PK,2957,849
8f15a629-24df-4c3f-86c3-6befcaa00afe,2,27,77,SNP928 No PK,2957,946
5a385243-b693-486a-b168-b9866919a032,10,27,77,SNP928 No PK,2957,631
c5d8764d-e6ed-4019-9854-c08007124d1f,10,27,77,SNP928 No PK,2957,719
51bf937f-a846-4ee5-abde-69b608b952d2,10,27,77,SNP928 No PK,2957,893
f283cd25-374f-498f-985a-721196c90338,13,27,77,SNP928 No PK,2957,839
fb4dc506-6e83-4ff9-af23-0f71c0808650,13,27,77,SNP928 With PK,3028,307
691ec8f8-cda8-4e22-abab-ba56c2da0238,13,27,77,SNP928 No PK,2957,847
f3607406-80ba-4da7-87b6-adf871c3debb,15,27,77,SNP928 No PK,2892,912
158c1b3f-771c-488f-a247-40e049d35b09,15,27,77,SNP928 No PK,2957,897
a0692ca0-7407-4fac-9c6e-db030670f664,18,27,77,SNP928 With PK,3028,431
82cd8043-854a-406b-93d0-a197d544d76f,25,27,77,SNP928 No PK,2957,680
e79d6dcf-9a23-4d0f-a57d-d01d15bdae54,15,28,77,SNP928 With PK,3028,600
52186332-08c3-4dfa-b8a0-fcfd0bd69ea2,15,28,77,SNP928 With PK,3028,146
1d230fcf-a8d0-41d3-b20e-42007f38277c,15,28,77,SNP928 With PK,3028,264
249fc043-fcc0-49cb-9634-d06acaaac284,15,28,77,SNP928 With PK,3028,1507
e70fc77f-1056-476c-85bf-a6f0dc1e316d,15,28,77,SNP928 No PK,2959,1011
68a30f69-0bb5-4b14-880d-e850cbbd1a20,27,21,78,SNP928 With PK,3028,-134
2d86a5cc-5cad-41c6-b389-c8bc45872e58,25,27,78,SNP928 No PK,2957,443
da08a4f9-6d90-45d8-9eca-4702a8efdff6,2,15,79,PMMV With PK,3012,-13
0aef1eed-3682-498e-a67e-c767e1873f06,2,21,79,SNP928 With PK,3028,-234
8b143314-4dbe-480e-9f71-f87dc5fcdd22,13,22,79,SNP928 With PK,3028,-105
b13a66b8-d848-4710-b199-30f8aeec21ff,15,25,79,SNP928 With PK,3028,135
25c5e31b-bb64-42d7-b2ff-890b17895c59,27,27,80,SNP928 With PK,3028,82
137a374c-d6ae-4653-9a60-898063fd742d,18,21,82,SNP928 With PK,3028,-129
