timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Expected TempC,Stage1 Target TempC,Stage1 Thermocouple TempC,Stage1 Output
906.235,30.01,30.01,0,50,26.69,100
906.235,30.01,30.01,0,50,26.69,100
906.235,30.01,30.01,0,50,26.69,100
906.235,30.01,30.01,0,50,26.69,100
906.235,30.01,30.01,0,50,26.69,100
906.385,30,30,0,50,26.69,100
906.385,30,30,0,50,26.69,100
906.385,30,30,0,50,26.69,100
906.385,30,30,0,50,26.69,100
906.385,30,30,0,50,26.69,100
906.535,30.07,30.07,0,50,26.69,100
906.535,30.07,30.07,0,50,26.69,100
906.535,30.07,30.07,0,50,26.69,100
906.535,30.07,30.07,0,50,26.69,100
906.535,30.07,30.07,0,50,26.69,100
906.684,30.5,30.5,0,50,26.69,100
906.684,30.5,30.5,0,50,26.69,100
906.684,30.5,30.5,0,50,26.69,100
906.684,30.5,30.5,0,50,26.69,100
906.684,30.5,30.5,0,50,26.69,100
906.684,30.5,30.5,0,50,26.69,100
906.835,31.13,31.13,0,50,,100
906.835,31.13,31.13,0,50,,100
906.835,31.13,31.13,0,50,,100
906.835,31.13,31.13,0,50,,100
906.835,31.13,31.13,0,50,,100
906.985,31.96,31.96,0,50,,100
906.985,31.96,31.96,0,50,,100
906.985,31.96,31.96,0,50,,100
906.985,31.96,31.96,0,50,,100
906.985,31.96,31.96,0,50,,100
907.135,33.31,33.31,0,50,,100
907.135,33.31,33.31,0,50,,100
907.135,33.31,33.31,0,50,,100
907.135,33.31,33.31,0,50,,100
907.135,33.31,33.31,0,50,,100
907.285,34.45,34.45,0,50,26.83,100
907.285,34.45,34.45,0,50,26.83,100
907.285,34.45,34.45,0,50,26.83,100
907.285,34.45,34.45,0,50,26.83,100
907.285,34.45,34.45,0,50,26.83,100
907.285,34.45,34.45,0,50,26.83,100
907.434,35.64,35.64,0,50,,100
907.434,35.64,35.64,0,50,,100
907.434,35.64,35.64,0,50,,100
907.434,35.64,35.64,0,50,,100
907.434,35.64,35.64,0,50,,100
907.585,37.31,37.31,0,50,,100
907.585,37.31,37.31,0,50,,100
907.585,37.31,37.31,0,50,,100
907.585,37.31,37.31,0,50,,100
907.585,37.31,37.31,0,50,,100
907.734,38.57,38.57,0,50,,100
907.734,38.57,38.57,0,50,,100
907.734,38.57,38.57,0,50,,100
907.734,38.57,38.57,0,50,,100
907.734,38.57,38.57,0,50,,100
907.885,39.84,39.84,0,50,26.78,100
907.885,39.84,39.84,0,50,26.78,100
907.885,39.84,39.84,0,50,26.78,100
907.885,39.84,39.84,0,50,26.78,100
907.885,39.84,39.84,0,50,26.78,100
907.885,39.84,39.84,0,50,26.78,100
908.034,41.54,41.54,0,50,,100
908.034,41.54,41.54,0,50,,100
908.034,41.54,41.54,0,50,,100
908.034,41.54,41.54,0,50,,100
908.034,41.54,41.54,0,50,,100
908.185,42.8,42.8,0,50,,100
908.185,42.8,42.8,0,50,,100
908.185,42.8,42.8,0,50,,100
908.185,42.8,42.8,0,50,,100
908.185,42.8,42.8,0,50,,100
908.335,44.06,44.06,50,50,,100
908.335,44.06,44.06,50,50,,100
908.335,44.06,44.06,50,50,,100
908.335,44.06,44.06,50,50,,100
908.335,44.06,44.06,50,50,,100
908.486,45.72,45.72,50,50,26.81,32.8
908.486,45.72,45.72,50,50,26.81,32.8
908.486,45.72,45.72,50,50,26.81,32.8
908.486,45.72,45.72,50,50,26.81,32.8
908.486,45.72,45.72,50,50,26.81,32.8
908.486,45.72,45.72,50,50,26.81,32.8
908.636,46.94,46.94,50,50,,28.7
908.636,46.94,46.94,50,50,,28.7
908.636,46.94,46.94,50,50,,28.7
908.636,46.94,46.94,50,50,,28.7
908.636,46.94,46.94,50,50,,28.7
908.786,48.08,48.08,50,50,,25
908.786,48.08,48.08,50,50,,25
908.786,48.08,48.08,50,50,,25
908.786,48.08,48.08,50,50,,25
908.786,48.08,48.08,50,50,,25
908.936,49.3,49.3,50,50,,23.1
908.936,49.3,49.3,50,50,,23.1
908.936,49.3,49.3,50,50,,23.1
908.936,49.3,49.3,50,50,,23.1
908.936,49.3,49.3,50,50,,23.1
909.086,49.93,49.93,50,50,26.8,23.8
909.086,49.93,49.93,50,50,26.8,23.8
909.086,49.93,49.93,50,50,26.8,23.8
909.086,49.93,49.93,50,50,26.8,23.8
909.086,49.93,49.93,50,50,26.8,23.8
909.086,49.93,49.93,50,50,26.8,23.8
909.237,50.36,50.36,50,50,,24.8
909.237,50.36,50.36,50,50,,24.8
909.237,50.36,50.36,50,50,,24.8
909.237,50.36,50.36,50,50,,24.8
