timeSinceBoot,PCR Temp,PCR Modeled TempC,PCR Target TempC,PCR HeatSink TempC,PCR Ramp Set TempC,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,Nir,QDotRatio,FluorTemp,qDotPredictedTempC
2934.699,33.0,33.24,65.0,32.22,33.25,,,,,,,,,,,,,
2934.699,33.0,33.24,65.0,32.22,33.25,,,,,,,,,,,,,
2934.699,33.0,33.24,65.0,32.22,33.25,,,,,,,,,,,,,
2934.699,33.0,33.24,65.0,32.22,33.25,,,,,,,,,,,,,
2934.699,33.0,33.24,65.0,32.22,33.25,,,,,,,,,,,,,
2934.85,32.99,33.23,65.0,32.23,33.25,,,,,,,,,,,,,
2934.85,32.99,33.23,65.0,32.23,33.25,,,,,,,,,,,,,
2934.85,32.99,33.23,65.0,32.23,33.25,,,,,,,,,,,,,
2934.85,32.99,33.23,65.0,32.23,33.25,,,,,,,,,,,,,
2934.85,32.99,33.23,65.0,32.23,33.25,,,,,,,,,,,,,
2934.999,33.02,33.22,65.0,32.19,33.25,,,,,,,,,,,,,
2934.999,33.02,33.22,65.0,32.19,33.25,,,,,,,,,,,,,
2934.999,33.02,33.22,65.0,32.19,33.25,,,,,,,,,,,,,
2934.999,33.02,33.22,65.0,32.19,33.25,,,,,,,,,,,,,
2934.999,33.02,33.22,65.0,32.19,33.25,,,,,,,,,,,,,
2935.149,33.17,33.23,65.0,32.16,33.25,,,,,,,,,,,,,
2935.149,33.17,33.23,65.0,32.16,33.25,,,,,,,,,,,,,
2935.149,33.17,33.23,65.0,32.16,33.25,,,,,,,,,,,,,
2935.149,33.17,33.23,65.0,32.16,33.25,,,,,,,,,,,,,
2935.149,33.17,33.23,65.0,32.16,33.25,,,,,,,,,,,,,
2935.299,33.5,33.27,65.0,32.1,33.25,,,,,,,,,,,,,
2935.299,33.5,33.27,65.0,32.1,33.25,,,,,,,,,,,,,
2935.299,33.5,33.27,65.0,32.1,33.25,,,,,,,,,,,,,
2935.299,33.5,33.27,65.0,32.1,33.25,,,,,,,,,,,,,
2935.299,33.5,33.27,65.0,32.1,33.25,,,,,,,,,,,,,
2935.45,34.26,33.38,65.0,32.01,33.25,,,,,,,,,,,,,
2935.45,34.26,33.38,65.0,32.01,33.25,,,,,,,,,,,,,
2935.45,34.26,33.38,65.0,32.01,33.25,,,,,,,,,,,,,
2935.45,34.26,33.38,65.0,32.01,33.25,,,,,,,,,,,,,
2935.45,34.26,33.38,65.0,32.01,33.25,,,,,,,,,,,,,
2935.599,35.06,33.56,65.0,31.93,33.25,,,,,,,,,,,,,
2935.599,35.06,33.56,65.0,31.93,33.25,,,,,,,,,,,,,
2935.599,35.06,33.56,65.0,31.93,33.25,,,,,,,,,,,,,
2935.599,35.06,33.56,65.0,31.93,33.25,,,,,,,,,,,,,
2935.599,35.06,33.56,65.0,31.93,33.25,,,,,,,,,,,,,
2935.749,36.05,33.81,65.0,31.83,33.25,,,,,,,,,,,,,
2935.749,36.05,33.81,65.0,31.83,33.25,,,,,,,,,,,,,
2935.749,36.05,33.81,65.0,31.83,33.25,,,,,,,,,,,,,
2935.749,36.05,33.81,65.0,31.83,33.25,,,,,,,,,,,,,
2935.749,36.05,33.81,65.0,31.83,33.25,,,,,,,,,,,,,
2935.899,37.18,34.15,65.0,31.73,33.25,,,,,,,,,,,,,
2935.899,37.18,34.15,65.0,31.73,33.25,,,,,,,,,,,,,
2935.899,37.18,34.15,65.0,31.73,33.25,,,,,,,,,,,,,
2935.899,37.18,34.15,65.0,31.73,33.25,,,,,,,,,,,,,
2935.899,37.18,34.15,65.0,31.73,33.25,,,,,,,,,,,,,
2936.049,38.89,34.62,65.0,31.62,33.25,,,,,,,,,,,,,
2936.049,38.89,34.62,65.0,31.62,33.25,,,,,,,,,,,,,
2936.049,38.89,34.62,65.0,31.62,33.25,,,,,,,,,,,,,
2936.049,38.89,34.62,65.0,31.62,33.25,,,,,,,,,,,,,
2936.049,38.89,34.62,65.0,31.62,33.25,,,,,,,,,,,,,
2936.199,40.27,35.15,65.0,31.53,33.25,,,,,,,,,,,,,
2936.199,40.27,35.15,65.0,31.53,33.25,,,,,,,,,,,,,
2936.199,40.27,35.15,65.0,31.53,33.25,,,,,,,,,,,,,
2936.199,40.27,35.15,65.0,31.53,33.25,,,,,,,,,,,,,
2936.199,40.27,35.15,65.0,31.53,33.25,,,,,,,,,,,,,
2936.349,41.72,35.76,65.0,31.43,33.25,,,,,,,,,,,,,
2936.349,41.72,35.76,65.0,31.43,33.25,,,,,,,,,,,,,
2936.349,41.72,35.76,65.0,31.43,33.25,,,,,,,,,,,,,
2936.349,41.72,35.76,65.0,31.43,33.25,,,,,,,,,,,,,
2936.349,41.72,35.76,65.0,31.43,33.25,,,,,,,,,,,,,
2936.499,43.75,36.47,65.0,31.32,33.25,,,,,,,,,,,,,
2936.499,43.75,36.47,65.0,31.32,33.25,,,,,,,,,,,,,
2936.499,43.75,36.47,65.0,31.32,33.25,,,,,,,,,,,,,
2936.499,43.75,36.47,65.0,31.32,33.25,,,,,,,,,,,,,
2936.499,43.75,36.47,65.0,31.32,33.25,,,,,,,,,,,,,
2936.649,45.3,37.24,65.0,31.25,33.25,,,,,,,,,,,,,
2936.649,45.3,37.24,65.0,31.25,33.25,,,,,,,,,,,,,
2936.649,45.3,37.24,65.0,31.25,33.25,,,,,,,,,,,,,
2936.649,45.3,37.24,65.0,31.25,33.25,,,,,,,,,,,,,
2936.649,45.3,37.24,65.0,31.25,33.25,,,,,,,,,,,,,
2936.799,46.85,38.05,65.0,31.17,33.25,,,,,,,,,,,,,
2936.799,46.85,38.05,65.0,31.17,33.25,,,,,,,,,,,,,
2936.799,46.85,38.05,65.0,31.17,33.25,,,,,,,,,,,,,
2936.799,46.85,38.05,65.0,31.17,33.25,,,,,,,,,,,,,
2936.799,46.85,38.05,65.0,31.17,33.25,,,,,,,,,,,,,
2936.949,48.93,38.93,65.0,31.1,33.25,,,,,,,,,,,,,
2936.949,48.93,38.93,65.0,31.1,33.25,,,,,,,,,,,,,
2936.949,48.93,38.93,65.0,31.1,33.25,,,,,,,,,,,,,
2936.949,48.93,38.93,65.0,31.1,33.25,,,,,,,,,,,,,
2936.949,48.93,38.93,65.0,31.1,33.25,,,,,,,,,,,,,
2937.099,50.48,39.86,65.0,31.03,33.25,,,,,,,,,,,,,
2937.099,50.48,39.86,65.0,31.03,33.25,,,,,,,,,,,,,
2937.099,50.48,39.86,65.0,31.03,33.25,,,,,,,,,,,,,
2937.099,50.48,39.86,65.0,31.03,33.25,,,,,,,,,,,,,
2937.099,50.48,39.86,65.0,31.03,33.25,,,,,,,,,,,,,
2937.249,52.03,40.8,65.0,30.94,33.25,,,,,,,,,,,,,
2937.249,52.03,40.8,65.0,30.94,33.25,,,,,,,,,,,,,
2937.249,52.03,40.8,65.0,30.94,33.25,,,,,,,,,,,,,
2937.249,52.03,40.8,65.0,30.94,33.25,,,,,,,,,,,,,
2937.249,52.03,40.8,65.0,30.94,33.25,,,,,,,,,,,,,
2937.399,53.57,41.75,65.0,30.89,33.25,,,,,,,,,,,,,
2937.399,53.57,41.75,65.0,30.89,33.25,,,,,,,,,,,,,
2937.399,53.57,41.75,65.0,30.89,33.25,,,,,,,,,,,,,
2937.399,53.57,41.75,65.0,30.89,33.25,,,,,,,,,,,,,
2937.399,53.57,41.75,65.0,30.89,33.25,,,,,,,,,,,,,
2937.549,55.6,42.78,65.0,30.83,33.25,,,,,,,,,,,,,
2937.549,55.6,42.78,65.0,30.83,33.25,,,,,,,,,,,,,
2937.549,55.6,42.78,65.0,30.83,33.25,,,,,,,,,,,,,
2937.549,55.6,42.78,65.0,30.83,33.25,,,,,,,,,,,,,
2937.549,55.6,42.78,65.0,30.83,33.25,,,,,,,,,,,,,
2937.699,57.1,43.8,65.0,30.77,33.25,,,,,,,,,,,,,
2937.699,57.1,43.8,65.0,30.77,33.25,,,,,,,,,,,,,
2937.699,57.1,43.8,65.0,30.77,33.25,,,,,,,,,,,,,
2937.699,57.1,43.8,65.0,30.77,33.25,,,,,,,,,,,,,
2937.699,57.1,43.8,65.0,30.77,33.25,,,,,,,,,,,,,
2937.849,58.58,44.82,65.0,30.73,33.25,,,,,,,,,,,,,
2937.849,58.58,44.82,65.0,30.73,33.25,,,,,,,,,,,,,
2937.849,58.58,44.82,65.0,30.73,33.25,,,,,,,,,,,,,
2937.849,58.58,44.82,65.0,30.73,33.25,,,,,,,,,,,,,
2937.849,58.58,44.82,65.0,30.73,33.25,,,,,,,,,,,,,
2937.999,60.55,45.89,65.0,30.67,33.25,,,,,,,,,,,,,
2937.999,60.55,45.89,65.0,30.67,33.25,,,,,,,,,,,,,
2937.999,60.55,45.89,65.0,30.67,33.25,,,,,,,,,,,,,
2937.999,60.55,45.89,65.0,30.67,33.25,,,,,,,,,,,,,
2937.999,60.55,45.89,65.0,30.67,33.25,,,,,,,,,,,,,
2938.149,61.98,46.94,65.0,30.64,33.25,,,,,,,,,,,,,
2938.149,61.98,46.94,65.0,30.64,33.25,,,,,,,,,,,,,
2938.149,61.98,46.94,65.0,30.64,33.25,,,,,,,,,,,,,
