Text,X,1: 1x,X,2: 10x,X,3: 100x,X,4: 1000x,X,5: Neg
60.027,60.027,76.0920028686523,60.021,88.5009994506836,60.02,88.5699996948242,60.021,88.4570007324219,60.023,17.3419990539551
60.043,60.043,76.0309982299805,60.035,88.4860000610352,60.037,88.4390029907227,60.038,88.3990020751953,60.039,17.2560005187988
60.056,60.056,76.0210037231445,60.05,88.4690017700195,60.053,88.411003112793,60.053,88.3619995117187,60.055,17.3050003051758
60.071,60.071,75.9459991455078,60.067,88.375,60.068,88.3830032348633,60.068,88.2509994506836,60.07,17.2329998016357
60.087,60.087,76.0019989013672,60.082,88.265998840332,60.084,88.390998840332,60.084,88.2060012817383,60.086,17.2269992828369
60.104,60.104,75.9169998168945,60.098,88.2580032348633,60.099,88.3130035400391,60.098,88.1809997558594,60.1,17.1870002746582
60.116,60.116,75.8270034790039,60.114,88.2009963989258,60.113,88.2330017089844,60.114,88.1029968261719,60.116,17.125
60.132,60.132,75.7939987182617,60.13,88.1719970703125,60.13,88.1679992675781,60.129,88.0459976196289,60.132,17.1520004272461
60.149,60.149,75.7630004882813,60.145,88.0780029296875,60.145,88.1589965820312,60.145,87.9530029296875,60.146,17.0739994049072
60.165,60.165,75.7610015869141,60.16,88.0370025634766,60.161,88.0690002441406,60.161,87.8990020751953,60.162,17.0429992675781
60.178,60.178,75.6780014038086,60.175,88.004997253418,60.177,88.0189971923828,60.176,87.8619995117187,60.177,17.0009994506836
60.193,60.193,75.6579971313477,60.19,87.9759979248047,60.19,87.9990005493164,60.191,87.7760009765625,60.193,16.9659996032715
60.207,60.207,75.6009979248047,60.207,87.9100036621094,60.207,87.963996887207,60.207,87.765998840332,60.208,16.9419994354248
60.222,60.222,75.5650024414062,60.223,87.875,60.221,87.8519973754883,60.221,87.7089996337891,60.225,16.8719997406006
60.238,60.238,75.4860000610352,60.239,87.8079986572266,60.238,87.8099975585938,60.236,87.6520004272461,60.242,16.8290004730225
60.251,60.251,75.4710006713867,60.255,87.7679977416992,60.255,87.7890014648438,60.253,87.568000793457,60.256,16.757999420166
60.268,60.268,75.4580001831055,60.268,87.6829986572266,60.269,87.7279968261719,60.267,87.5449981689453,60.273,16.7719993591309
60.282,60.282,75.3580017089844,60.285,87.6579971313477,60.285,87.6729965209961,60.283,87.4489974975586,60.285,16.7560005187988
60.298,60.298,75.3199996948242,60.301,87.5810012817383,60.302,87.588996887207,60.297,87.4100036621094,60.301,16.7369995117187
60.311,60.311,75.245002746582,60.316,87.5019989013672,60.317,87.5120010375977,60.312,87.3000030517578,60.314,16.6650009155273
60.327,60.327,75.2160034179688,60.333,87.4589996337891,60.332,87.4700012207031,60.327,87.2819976806641,60.332,16.6490001678467
60.344,60.344,75.1110000610352,60.35,87.4049987792969,60.348,87.5210037231445,60.343,87.286003112793,60.345,16.6100006103516
60.358,60.358,75.120002746582,60.362,87.3160018920898,60.361,87.4010009765625,60.357,87.2080001831055,60.359,16.5499992370605
60.372,60.372,75.0589981079102,60.375,87.2710037231445,60.377,87.3560028076172,60.373,87.1070022583008,60.375,16.5590000152588
60.385,60.385,75.0199966430664,60.391,87.2669982910156,60.393,87.3320007324219,60.389,86.9970016479492,60.39,16.4519996643066
60.401,60.401,74.9940032958984,60.404,87.1240005493164,60.408,87.213996887207,60.404,86.943000793457,60.406,16.4099998474121
60.418,60.418,74.9069976806641,60.42,87.0839996337891,60.423,87.1330032348633,60.42,86.8420028686523,60.421,16.3850002288818
60.433,60.433,74.9229965209961,60.437,86.9800033569336,60.438,87.0189971923828,60.436,86.8720016479492,60.436,16.3759994506836
60.449,60.449,74.9189987182617,60.453,87.0579986572266,60.452,86.9889984130859,60.449,86.7910003662109,60.453,16.3099994659424
60.464,60.464,74.8280029296875,60.469,86.9649963378906,60.469,87.0419998168945,60.465,86.754997253418,60.467,16.3099994659424
60.479,60.479,74.7679977416992,60.484,86.9580001831055,60.485,87.0059967041016,60.482,86.7480010986328,60.479,16.2490005493164
60.493,60.493,74.7200012207031,60.497,86.8619995117187,60.5,86.9850006103516,60.497,86.6429977416992,60.496,16.2229995727539
60.508,60.508,74.6630020141602,60.512,86.8170013427734,60.517,86.8850021362305,60.514,86.5869979858398,60.51,16.1770000457764
60.523,60.523,74.5370025634766,60.528,86.7649993896484,60.533,86.8610000610352,60.529,86.5370025634766,60.525,16.1979999542236
60.539,60.539,74.5989990234375,60.542,86.6549987792969,60.547,86.8960037231445,60.543,86.4589996337891,60.54,16.1480007171631
60.555,60.555,74.484001159668,60.558,86.5920028686523,60.563,86.7600021362305,60.559,86.4449996948242,60.557,16.1009998321533
60.568,60.568,74.4489974975586,60.577,86.6139984130859,60.577,86.6849975585938,60.576,86.3809967041016,60.571,16.0629997253418
60.583,60.583,74.4830017089844,60.593,86.5719985961914,60.593,86.6750030517578,60.596,86.3740005493164,60.586,16.0510005950928
60.599,60.599,74.4120025634766,60.608,86.5019989013672,60.608,86.5800018310547,60.613,86.2710037231445,60.6,15.9879999160767
60.615,60.615,74.370002746582,60.622,86.4469985961914,60.623,86.5260009765625,60.627,86.2229995727539,60.616,15.9449996948242
60.63,60.63,74.286003112793,60.638,86.4189987182617,60.639,86.3949966430664,60.642,86.1449966430664,60.631,15.9259996414185
60.643,60.643,74.2699966430664,60.652,86.3470001220703,60.653,86.3519973754883,60.651,86.0619964599609,60.648,15.8900003433228
60.658,60.658,74.1949996948242,60.67,86.338996887207,60.669,86.3089981079102,60.665,86.0019989013672,60.664,15.8929996490479
