timeSinceBoot,PCR Temp,PCR Modeled TempC,PCR Target TempC,PCR Thermocouple TempC,PCR HeatSink TempC
7136.498,86.43,65.76,90,,34.11
7136.498,86.43,65.76,90,,34.11
7136.498,86.43,65.76,90,,34.11
7136.648,87.86,66.65,90,64,34.08
7136.648,87.86,66.65,90,64,34.08
7136.648,87.86,66.65,90,64,34.08
7136.648,87.86,66.65,90,64,34.08
7136.648,87.86,66.65,90,64,34.08
7136.799,88.89,67.54,90,,34.06
7136.799,88.89,67.54,90,,34.06
7136.799,88.89,67.54,90,,34.06
7136.799,88.89,67.54,90,,34.06
7136.949,89.91,68.39,90,,34.03
7136.949,89.91,68.39,90,,34.03
7136.949,89.91,68.39,90,,34.03
7136.949,89.91,68.39,90,,34.03
7137.099,91.25,69.25,90,,34.01
7137.099,91.25,69.25,90,,34.01
7137.099,91.25,69.25,90,,34.01
7137.099,91.25,69.25,90,,34.01
7137.249,92.24,70.12,90,82.9,33.98
7137.249,92.24,70.12,90,82.9,33.98
7137.249,92.24,70.12,90,82.9,33.98
7137.249,92.24,70.12,90,82.9,33.98
7137.249,92.24,70.12,90,82.9,33.98
7137.399,93.2,70.95,90,,33.96
7137.399,93.2,70.95,90,,33.96
7137.399,93.2,70.95,90,,33.96
7137.399,93.2,70.95,90,,33.96
7137.549,94.47,71.8,90,,33.94
7137.549,94.47,71.8,90,,33.94
7137.549,94.47,71.8,90,,33.94
7137.549,94.47,71.8,90,,33.94
7137.699,95.37,72.64,90,,33.92
7137.699,95.37,72.64,90,,33.92
7137.699,95.37,72.64,90,,33.92
7137.699,95.37,72.64,90,,33.92
7137.849,96.3,73.45,90,91.54,33.91
7137.849,96.3,73.45,90,91.54,33.91
7137.849,96.3,73.45,90,91.54,33.91
7137.849,96.3,73.45,90,91.54,33.91
7137.849,96.3,73.45,90,91.54,33.91
7137.999,97.49,74.27,90,,33.88
7137.999,97.49,74.27,90,,33.88
7137.999,97.49,74.27,90,,33.88
7137.999,97.49,74.27,90,,33.88
7138.149,98.36,75.09,90,,33.88
7138.149,98.36,75.09,90,,33.88
7138.149,98.36,75.09,90,,33.88
7138.149,98.36,75.09,90,,33.88
7138.299,99.24,75.89,90,,33.86
7138.299,99.24,75.89,90,,33.86
7138.299,99.24,75.89,90,,33.86
7138.299,99.24,75.89,90,,33.86
7138.449,100.38,76.7,90,95.94,33.84
7138.449,100.38,76.7,90,95.94,33.84
7138.449,100.38,76.7,90,95.94,33.84
7138.449,100.38,76.7,90,95.94,33.84
7138.449,100.38,76.7,90,95.94,33.84
7138.599,101.23,77.5,90,,33.83
7138.599,101.23,77.5,90,,33.83
7138.599,101.23,77.5,90,,33.83
7138.599,101.23,77.5,90,,33.83
7138.75,102.04,78.28,90,,33.82
7138.75,102.04,78.28,90,,33.82
7138.75,102.04,78.28,90,,33.82
7138.75,102.04,78.28,90,,33.82
7138.9,103.14,79.07,90,,33.8
7138.9,103.14,79.07,90,,33.8
7138.9,103.14,79.07,90,,33.8
7138.9,103.14,79.07,90,,33.8
7139.05,103.94,79.86,90,99.69,33.8
7139.05,103.94,79.86,90,99.69,33.8
7139.05,103.94,79.86,90,99.69,33.8
7139.05,103.94,79.86,90,99.69,33.8
7139.05,103.94,79.86,90,99.69,33.8
7139.201,104.72,80.62,90,,33.79
7139.201,104.72,80.62,90,,33.79
7139.201,104.72,80.62,90,,33.79
7139.201,104.72,80.62,90,,33.79
7139.35,105.78,81.4,90,,33.79
