timeSinceBootSeconds,stage1TempC,stage1FilteredTempC,stage1SetTempC,dataQStage1Heatsink,dataQStage1PeltierTop,dataQStage1PeltierBottom,dataQLiquidStg1,dataQStg1Slug,pcrTempC,pcrFilteredTempC,pcrModeledTempC,pcrExpectedTempC,pcrSetTempC,dataQPcrSlug,dataQPcrPeltierTop,dataQPcrPeltierBottom,dataQPcrHeatsink,pcrPTerm,pcrITerm,pcrDTerm,pcrFFTerm,pidOutput,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,Nir,QDotRatio,FluorTemp,qDotPredictedTempC
78.061,60.7,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78.161,61.6,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78.26,62.2,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78.36,63.0,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78.46,63.7,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78.56,64.5,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78.66,65.5,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78.761,66.0,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78.86,66.8,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78.89,,,,,,,27.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78.982,67.3,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79.049,,,,,,,,,,,,,,,,,,,,,,,383.0,16203.0,6163.0,184.0,604.0,265.0,619.0,478.0,250.0,7713.0,0.4281098546042003,31.38,31.38
79.1,68.4,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79.2,68.9,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79.312,68.9,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79.412,69.9,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79.511,70.5,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79.611,71.2,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79.711,71.7,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79.811,72.3,,90.0,,,,27.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79.912,73.2,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80.011,74.2,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80.032,,,,,,,,,,,,,,,,,,,,,,,382.0,16120.0,6159.0,184.0,605.0,266.0,617.0,477.0,250.0,7689.0,0.43111831442463533,31.37,31.37
