timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Expected TempC,Stage1 Target TempC,Stage1 Controlled Ramp Target,dataQStg1Heatsink,dataQStg1PeltierTop,dataQStage1PeltierBottom,dataQLiquidStg1,dataQStg1Slug
2882.986,30.65,30.65,50,60,,,,,31.77,
2882.986,30.65,30.65,50,60,,,,,31.77,
2882.986,30.65,30.65,50,60,,,,,31.77,
2882.986,30.65,30.65,50,60,,,,,31.77,
2883.136,30.66,30.66,50,60,,,,,31.77,
2883.136,30.66,30.66,50,60,,,,,31.77,
2883.136,30.66,30.66,50,60,,,,,31.77,
2883.136,30.66,30.66,50,60,,,,,31.77,
2883.286,30.91,30.91,50,60,,,,,31.77,
2883.286,30.91,30.91,50,60,,,,,31.77,
2883.286,30.91,30.91,50,60,,,,,31.77,
2883.286,30.91,30.91,50,60,,,,,31.77,
2883.436,31.73,31.73,50,60,,,,,31.77,
2883.436,31.73,31.73,50,60,,,,,31.77,
2883.436,31.73,31.73,50,60,,,,,31.77,
2883.436,31.73,31.73,50,60,,,,,31.77,
2883.587,32.94,32.94,50,60,,,,,31.77,
2883.587,32.94,32.94,50,60,,,,,31.77,
2883.587,32.94,32.94,50,60,,,,,31.77,
2883.587,32.94,32.94,50,60,,,,,31.77,
2883.736,34.32,34.32,50,60,,,,,31.77,
2883.736,34.32,34.32,50,60,,,,,31.77,
2883.736,34.32,34.32,50,60,,,,,31.77,
2883.736,34.32,34.32,50,60,,,,,31.77,
2883.886,35.86,35.86,50,60,,,,,31.77,
2883.886,35.86,35.86,50,60,,,,,31.77,
2883.886,35.86,35.86,50,60,,,,,31.77,
2883.886,35.86,35.86,50,60,,,,,31.77,
2883.966,,,,,,,,,31.77,
2884.042,37.64,37.64,50,60,,,,,,
2884.042,37.64,37.64,50,60,,,,,,
2884.042,37.64,37.64,50,60,,,,,,
2884.042,37.64,37.64,50,60,,,,,,
2884.186,39.38,39.38,50,60,,,,,,
2884.186,39.38,39.38,50,60,,,,,,
2884.186,39.38,39.38,50,60,,,,,,
2884.186,39.38,39.38,50,60,,,,,,
2884.345,41.17,41.17,50,60,,,,,,
2884.345,41.17,41.17,50,60,,,,,,
2884.345,41.17,41.17,50,60,,,,,,
2884.345,41.17,41.17,50,60,,,,,,
2884.486,42.94,42.94,50,60,,,,,,
2884.486,42.94,42.94,50,60,,,,,,
2884.486,42.94,42.94,50,60,,,,,,
2884.486,42.94,42.94,50,60,,,,,,
2884.636,44.44,44.44,50,60,,,,,,
2884.636,44.44,44.44,50,60,,,,,,
2884.636,44.44,44.44,50,60,,,,,,
2884.636,44.44,44.44,50,60,,,,,,
2884.786,46.2,46.2,50,60,,,,,,
2884.786,46.2,46.2,50,60,,,,,,
2884.786,46.2,46.2,50,60,,,,,,
2884.786,46.2,46.2,50,60,,,,,,
2884.936,47.68,47.68,50,60,,,,,,
2884.936,47.68,47.68,50,60,,,,,,
2884.936,47.68,47.68,50,60,,,,,,
2884.936,47.68,47.68,50,60,,,,,,
2884.998,,,,,,,,,31.81,
2885.086,49.39,49.39,50,60,,,,,,
2885.086,49.39,49.39,50,60,,,,,,
2885.086,49.39,49.39,50,60,,,,,,
2885.086,49.39,49.39,50,60,,,,,,
2885.236,50.85,50.85,50,60,,,,,,
2885.236,50.85,50.85,50,60,,,,,,
2885.236,50.85,50.85,50,60,,,,,,
2885.236,50.85,50.85,50,60,,,,,,
2885.386,52.49,52.49,50,60,,,,,,
2885.386,52.49,52.49,50,60,,,,,,
2885.386,52.49,52.49,50,60,,,,,,
2885.386,52.49,52.49,50,60,,,,,,
2885.536,54.12,54.12,50,60,,,,,,
2885.536,54.12,54.12,50,60,,,,,,
2885.536,54.12,54.12,50,60,,,,,,
2885.536,54.12,54.12,50,60,,,,,,
2885.686,55.44,55.44,50,60,,,,,,
2885.686,55.44,55.44,50,60,,,,,,
2885.686,55.44,55.44,50,60,,,,,,
2885.686,55.44,55.44,50,60,,,,,,
2885.836,56.89,56.89,50,60,,,,,,
2885.836,56.89,56.89,50,60,,,,,,
2885.836,56.89,56.89,50,60,,,,,,
2885.836,56.89,56.89,50,60,,,,,,
2885.988,58.42,58.42,50,60,,,,,,
2885.988,58.42,58.42,50,60,,,,,,
2885.988,58.42,58.42,50,60,,,,,,
2885.988,58.42,58.42,50,60,,,,,,
2886,,,,,,,,,31.78,
2886.138,59.76,59.76,50,60,,,,,,
2886.138,59.76,59.76,50,60,,,,,,
2886.138,59.76,59.76,50,60,,,,,,
2886.138,59.76,59.76,50,60,,,,,,
2886.286,60.29,60.29,50,60,,,,,,
2886.286,60.29,60.29,50,60,,,,,,
2886.286,60.29,60.29,50,60,,,,,,
2886.286,60.29,60.29,50,60,,,,,,
2886.436,60.05,60.05,50,60,,,,,,
2886.436,60.05,60.05,50,60,,,,,,
2886.436,60.05,60.05,50,60,,,,,,
2886.436,60.05,60.05,50,60,,,,,,
2886.586,59.71,59.71,50,60,,,,,,
2886.586,59.71,59.71,50,60,,,,,,
2886.586,59.71,59.71,50,60,,,,,,
2886.586,59.71,59.71,50,60,,,,,,
2886.736,59.55,59.55,50,60,,,,,,
2886.736,59.55,59.55,50,60,,,,,,
2886.736,59.55,59.55,50,60,,,,,,
2886.736,59.55,59.55,50,60,,,,,,
2886.886,59.53,59.53,50,60,,,,,,
2886.886,59.53,59.53,50,60,,,,,,
2886.886,59.53,59.53,50,60,,,,,,
2886.886,59.53,59.53,50,60,,,,,,
2887.036,59.51,59.51,50,60,,,,,31.71,
2887.036,59.51,59.51,50,60,,,,,31.71,
2887.036,59.51,59.51,50,60,,,,,31.71,
2887.036,59.51,59.51,50,60,,,,,31.71,
2887.036,59.51,59.51,50,60,,,,,31.71,
2887.186,59.5,59.5,50,60,,,,,,
2887.186,59.5,59.5,50,60,,,,,,
2887.186,59.5,59.5,50,60,,,,,,
2887.186,59.5,59.5,50,60,,,,,,
2887.336,59.47,59.47,50,60,,,,,,
2887.336,59.47,59.47,50,60,,,,,,
2887.336,59.47,59.47,50,60,,,,,,
2887.336,59.47,59.47,50,60,,,,,,
2887.486,59.41,59.41,50,60,,,,,,
2887.486,59.41,59.41,50,60,,,,,,
2887.486,59.41,59.41,50,60,,,,,,
2887.486,59.41,59.41,50,60,,,,,,
2887.636,59.36,59.36,50,60,,,,,,
2887.636,59.36,59.36,50,60,,,,,,
2887.636,59.36,59.36,50,60,,,,,,
2887.636,59.36,59.36,50,60,,,,,,
2887.786,59.3,59.3,50,60,,,,,,
2887.786,59.3,59.3,50,60,,,,,,
2887.786,59.3,59.3,50,60,,,,,,
2887.786,59.3,59.3,50,60,,,,,,
2887.936,59.25,59.25,50,60,,,,,33.5,
2887.936,59.25,59.25,50,60,,,,,33.5,
2887.936,59.25,59.25,50,60,,,,,33.5,
2887.936,59.25,59.25,50,60,,,,,33.5,
2887.936,59.25,59.25,50,60,,,,,33.5,
2888.086,59.21,59.21,50,60,,,,,,
2888.086,59.21,59.21,50,60,,,,,,
2888.086,59.21,59.21,50,60,,,,,,
2888.086,59.21,59.21,50,60,,,,,,
2888.236,59.14,59.14,50,60,,,,,,
2888.236,59.14,59.14,50,60,,,,,,
2888.236,59.14,59.14,50,60,,,,,,
2888.236,59.14,59.14,50,60,,,,,,
2888.386,59.1,59.1,50,60,,,,,,
2888.386,59.1,59.1,50,60,,,,,,
2888.386,59.1,59.1,50,60,,,,,,
2888.386,59.1,59.1,50,60,,,,,,
2888.536,59.04,59.04,50,60,,,,,,
2888.536,59.04,59.04,50,60,,,,,,
