timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Expected TempC,Stage1 Target TempC,Stage1 Controlled Ramp Target,dataQStg1Heatsink,dataQStg1PeltierTop,dataQStage1PeltierBottom,dataQLiquidStg1,dataQStg1Slug
1065.758,27.97,27.97,0,60,,,,,25.69,
1065.758,27.97,27.97,0,60,,,,,25.69,
1065.758,27.97,27.97,0,60,,,,,25.69,
1065.758,27.97,27.97,0,60,,,,,25.69,
1065.916,28.04,28.04,0,60,,,,,25.69,
1065.916,28.04,28.04,0,60,,,,,25.69,
1065.916,28.04,28.04,0,60,,,,,25.69,
1065.916,28.04,28.04,0,60,,,,,25.69,
1066.066,28.75,28.75,0,60,,,,,25.69,
1066.066,28.75,28.75,0,60,,,,,25.69,
1066.066,28.75,28.75,0,60,,,,,25.69,
1066.066,28.75,28.75,0,60,,,,,25.69,
1066.216,29.93,29.93,0,60,,,,,25.69,
1066.216,29.93,29.93,0,60,,,,,25.69,
1066.216,29.93,29.93,0,60,,,,,25.69,
1066.216,29.93,29.93,0,60,,,,,25.69,
1066.366,31.19,31.19,0,60,,,,,25.69,
1066.366,31.19,31.19,0,60,,,,,25.69,
1066.366,31.19,31.19,0,60,,,,,25.69,
1066.366,31.19,31.19,0,60,,,,,25.69,
1066.463,,,,,,,,,25.69,
1066.516,32.78,32.78,0,60,,,,,,
1066.516,32.78,32.78,0,60,,,,,,
1066.516,32.78,32.78,0,60,,,,,,
1066.516,32.78,32.78,0,60,,,,,,
1066.666,34.4,34.4,0,60,,,,,,
1066.666,34.4,34.4,0,60,,,,,,
1066.666,34.4,34.4,0,60,,,,,,
1066.666,34.4,34.4,0,60,,,,,,
1066.816,36.22,36.22,0,60,,,,,,
1066.816,36.22,36.22,0,60,,,,,,
1066.816,36.22,36.22,0,60,,,,,,
1066.816,36.22,36.22,0,60,,,,,,
1066.966,38.04,38.04,0,60,,,,,,
1066.966,38.04,38.04,0,60,,,,,,
1066.966,38.04,38.04,0,60,,,,,,
1066.966,38.04,38.04,0,60,,,,,,
1067.116,39.71,39.71,0,60,,,,,,
1067.116,39.71,39.71,0,60,,,,,,
1067.116,39.71,39.71,0,60,,,,,,
1067.116,39.71,39.71,0,60,,,,,,
1067.267,41.51,41.51,0,60,,,,,,
1067.267,41.51,41.51,0,60,,,,,,
1067.267,41.51,41.51,0,60,,,,,,
1067.267,41.51,41.51,0,60,,,,,,
1067.416,43.24,43.24,0,60,,,,,,
1067.416,43.24,43.24,0,60,,,,,,
1067.416,43.24,43.24,0,60,,,,,,
1067.416,43.24,43.24,0,60,,,,,,
1067.478,,,,,,,,,25.73,
1067.566,44.78,44.78,0,60,,,,,,
1067.566,44.78,44.78,0,60,,,,,,
1067.566,44.78,44.78,0,60,,,,,,
1067.566,44.78,44.78,0,60,,,,,,
1067.716,46.61,46.61,0,60,,,,,,
1067.716,46.61,46.61,0,60,,,,,,
1067.716,46.61,46.61,0,60,,,,,,
1067.716,46.61,46.61,0,60,,,,,,
1067.866,48.3,48.3,0,60,,,,,,
1067.866,48.3,48.3,0,60,,,,,,
1067.866,48.3,48.3,0,60,,,,,,
1067.866,48.3,48.3,0,60,,,,,,
1068.016,49.94,49.94,0,60,,,,,,
1068.016,49.94,49.94,0,60,,,,,,
1068.016,49.94,49.94,0,60,,,,,,
