timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Expected TempC,Stage1 Target TempC,Stage1 Controlled Ramp Target,dataQStg1Heatsink,dataQStg1PeltierTop,dataQStage1PeltierBottom,dataQLiquidStg1,dataQStg1Slug
657.574,27.57,27.57,0,60,,,,,25.96,
657.574,27.57,27.57,0,60,,,,,25.96,
657.574,27.57,27.57,0,60,,,,,25.96,
657.574,27.57,27.57,0,60,,,,,25.96,
657.724,27.7,27.7,0,60,,,,,25.96,
657.724,27.7,27.7,0,60,,,,,25.96,
657.724,27.7,27.7,0,60,,,,,25.96,
657.724,27.7,27.7,0,60,,,,,25.96,
657.874,28.32,28.32,0,60,,,,,25.96,
657.874,28.32,28.32,0,60,,,,,25.96,
657.874,28.32,28.32,0,60,,,,,25.96,
657.874,28.32,28.32,0,60,,,,,25.96,
658.024,29.39,29.39,0,60,,,,,25.96,
658.024,29.39,29.39,0,60,,,,,25.96,
658.024,29.39,29.39,0,60,,,,,25.96,
658.024,29.39,29.39,0,60,,,,,25.96,
658.174,30.84,30.84,0,60,,,,,25.96,
658.174,30.84,30.84,0,60,,,,,25.96,
658.174,30.84,30.84,0,60,,,,,25.96,
658.174,30.84,30.84,0,60,,,,,25.96,
658.261,,,,,,,,,25.96,
658.324,32.5,32.5,0,60,,,,,,
658.324,32.5,32.5,0,60,,,,,,
658.324,32.5,32.5,0,60,,,,,,
658.324,32.5,32.5,0,60,,,,,,
658.485,34.24,34.24,0,60,,,,,,
658.485,34.24,34.24,0,60,,,,,,
658.485,34.24,34.24,0,60,,,,,,
658.485,34.24,34.24,0,60,,,,,,
658.635,35.98,35.98,0,60,,,,,,
658.635,35.98,35.98,0,60,,,,,,
658.635,35.98,35.98,0,60,,,,,,
658.635,35.98,35.98,0,60,,,,,,
658.785,37.77,37.77,0,60,,,,,,
658.785,37.77,37.77,0,60,,,,,,
658.785,37.77,37.77,0,60,,,,,,
658.785,37.77,37.77,0,60,,,,,,
658.938,39.5,39.5,0,60,,,,,,
658.938,39.5,39.5,0,60,,,,,,
658.938,39.5,39.5,0,60,,,,,,
658.938,39.5,39.5,0,60,,,,,,
659.113,41.43,41.43,0,60,,,,,,
659.113,41.43,41.43,0,60,,,,,,
659.113,41.43,41.43,0,60,,,,,,
659.113,41.43,41.43,0,60,,,,,,
659.263,43.15,43.15,0,60,,,,,25.95,
659.263,43.15,43.15,0,60,,,,,25.95,
659.263,43.15,43.15,0,60,,,,,25.95,
659.263,43.15,43.15,0,60,,,,,25.95,
659.263,43.15,43.15,0,60,,,,,25.95,
659.413,44.86,44.86,0,60,,,,,,
659.413,44.86,44.86,0,60,,,,,,
659.413,44.86,44.86,0,60,,,,,,
659.413,44.86,44.86,0,60,,,,,,
659.563,46.55,46.55,0,60,,,,,,
659.563,46.55,46.55,0,60,,,,,,
659.563,46.55,46.55,0,60,,,,,,
659.563,46.55,46.55,0,60,,,,,,
659.713,48.21,48.21,0,60,,,,,,
659.713,48.21,48.21,0,60,,,,,,
659.713,48.21,48.21,0,60,,,,,,
659.713,48.21,48.21,0,60,,,,,,
659.863,49.8,49.8,0,60,,,,,,
659.863,49.8,49.8,0,60,,,,,,
659.863,49.8,49.8,0,60,,,,,,
659.863,49.8,49.8,0,60,,,,,,
660.013,51.36,51.36,0,60,,,,,,
660.013,51.36,51.36,0,60,,,,,,
660.013,51.36,51.36,0,60,,,,,,
660.013,51.36,51.36,0,60,,,,,,
660.163,52.92,52.92,0,60,,,,,26.01,
660.163,52.92,52.92,0,60,,,,,26.01,
660.163,52.92,52.92,0,60,,,,,26.01,
660.163,52.92,52.92,0,60,,,,,26.01,
660.163,52.92,52.92,0,60,,,,,26.01,
660.313,54.45,54.45,0,60,,,,,,
