Text,1: +Heat then Salliva,2: -Heat then Saliva,3: + Control,4: - RT
1,13.6995496749878,12.8633556365967,14.393835067749,14.145112991333
2,14.1283283233643,12.9884796142578,14.4869155883789,14.0978107452393
3,14.2137784957886,12.9320211410522,14.4243535995483,14.0794992446899
4,14.2198829650879,12.9198141098022,14.3602657318115,14.0291442871094
5,14.1771574020386,12.9137105941772,14.2824449539185,14.0337228775024
6,14.102388381958,12.8374147415161,14.1863126754761,13.9589529037476
7,14.0520334243774,12.7901124954224,14.0642404556274,13.8948650360107
8,13.9711608886719,12.7031354904175,13.9635305404663,13.8460369110107
9,13.865873336792,12.6466770172119,13.9238576889038,13.7422752380371
10,13.8490886688232,12.6146335601807,13.8277254104614,13.7315940856934
11,13.7895784378052,12.5825891494751,13.8216218948364,13.688868522644
12,13.7773704528809,12.5505456924438,13.7575340270996,13.604944229126
13,13.7514305114746,12.523078918457,13.7178602218628,13.623254776001
14,13.7178602218628,12.5078201293945,13.7499046325684,13.6369876861572
15,13.7087049484253,12.4727249145508,13.7392234802246,13.5683221817017
16,13.6964979171753,12.4879837036133,13.7056531906128,13.5851068496704
17,13.694972038269,12.4788284301758,13.7148084640503,13.5652704238892
18,13.688868522644,12.4818801879883,13.623254776001,13.5744256973267
19,13.6873426437378,12.4757766723633,13.6507205963135,13.5500116348267
20,13.6522464752197,12.439154624939,13.6186771392822,13.5393304824829
21,13.6522464752197,12.4116888046265,13.6369876861572,13.5576410293579
22,13.6369876861572,12.4299993515015,13.5362787246704,13.5240707397461
23,13.6552982330322,12.414740562439,13.6156253814697,13.4905014038086
24,13.6247806549072,12.3994808197021,13.6278324127197,13.4843978881836
25,13.629358291626,12.408637046814,13.6812391281128,13.4721908569336
26,13.6034183502197,12.4071111679077,13.8292512893677,13.458456993103
27,13.629358291626,12.3964290618896,14.1115436553955,13.4447240829468
28,13.6079959869385,12.4406805038452,14.6349277496338,13.4828720092773
29,13.5957889556885,12.4544134140015,15.7198448181152,13.440146446228
30,13.604944229126,12.504768371582,17.7203025817871,13.39284324646
31,13.6034183502197,12.6787214279175,20.8819713592529,13.4126806259155
32,13.5973148345947,12.9701690673828,25.36354637146,13.4035243988037
33,13.6018924713135,13.4126806259155,30.8888378143311,13.398946762085
34,13.5790033340454,14.3327989578247,37.5341415405273,13.3791103363037
35,13.5851068496704,15.7839326858521,43.8757934570313,13.4126806259155
36,13.5591669082642,17.911039352417,49.9000549316406,13.3607997894287
37,13.5927362442017,20.5325393676758,55.5657272338867,13.4004726409912
38,13.5698480606079,23.4241237640381,60.4089431762695,13.4035243988037
39,13.5698480606079,26.0212097167969,65.1667022705078,13.3653774261475
40,13.6095218658447,28.4397659301758,69.3629379272461,13.4019985198975
41,13.5835809707642,30.5989170074463,73.2478790283203,13.362325668335
42,13.5820550918579,32.680248260498,76.4232864379883,13.3958950042725
43,13.5759515762329,34.5403213500977,79.343864440918,13.3897914886475
44,13.5652704238892,36.3424110412598,82.3620986938477,13.3852138519287
45,13.5530633926392,37.7355613708496,84.438850402832,13.3897914886475
46,13.5744256973267,38.9868011474609,86.3141860961914,13.3714809417725
47,13.5561151504517,39.951171875,87.525749206543,13.3333330154419
48,13.5667963027954,40.7919425964355,88.6472854614258,13.3607997894287
49,13.5667963027954,41.3168525695801,89.3308944702148,13.36842918396
50,13.5667963027954,41.7883567810059,90.0267028808594,13.38063621521

