Text,1: 10^5,2: 10^4,3: 10^3,4: NTC
1,9.26832962036133,11.6182193756104,12.1171894073486,12.5993747711182
2,9.25307083129883,11.6548404693604,12.3918514251709,12.6344699859619
3,9.20271587371826,11.5861749649048,12.5123977661133,12.5520715713501
4,9.1462574005127,11.5419244766235,12.5902185440063,12.5200271606445
5,9.07911777496338,11.4930953979492,12.5856409072876,12.3628597259521
6,9.01197814941406,11.4229040145874,12.5337610244751,12.2713050842285
7,8.95094203948975,11.326771736145,12.504768371582,12.1950101852417
8,8.92652797698975,11.2565803527832,12.4437322616577,12.1934843063354
9,8.86091423034668,11.2092771530151,12.3872737884521,12.0820932388306
10,8.83802509307861,11.1741819381714,12.3582820892334,12.0286865234375
11,8.82429218292236,11.1543445587158,12.2819871902466,12.0180053710938
12,8.79224872589111,11.0688943862915,12.2758827209473,11.9630727767944
13,8.7464714050293,11.0444803237915,12.2514686584473,11.9676504135132
14,8.71442699432373,11.0124359130859,12.2133207321167,11.8791484832764
15,8.66254711151123,10.9513998031616,12.0958271026611,11.8608379364014
16,8.67017650604248,10.9117269515991,12.0225830078125,11.8287935256958
17,8.65186500549316,10.9117269515991,12.0241088867188,11.8516826629639
18,8.64728736877441,10.8796825408936,12.0225830078125,11.8669414520264
19,8.63355445861816,10.9025707244873,11.976806640625,11.7845430374146
20,8.65033912658691,10.9025707244873,11.9539175033569,11.7845430374146
21,8.64118385314941,10.9330892562866,11.9066152572632,11.752498626709
22,8.60761451721191,11.0002288818359,11.8654155731201,11.7296104431152
23,8.63050270080566,11.1757078170776,11.8684673309326,11.7158765792847
24,8.65491676330566,11.4518957138062,11.7891206741333,11.7067213058472
25,8.7525749206543,12.0241088867188,11.7784385681152,11.7067213058472
26,8.84107685089111,13.0815591812134,11.7112989425659,11.721981048584
27,9.06996250152588,14.9019603729248,11.7555503845215,11.6868848800659
28,9.45448970794678,17.5860233306885,11.734188079834,11.6990919113159
29,10.2204933166504,21.1047534942627,11.7845430374146,11.6762037277222
30,11.5999088287354,25.2979316711426,11.8822002410889,11.6624708175659
31,13.8735027313232,29.9214153289795,12.0790414810181,11.6777296066284
32,17.0672168731689,34.3373756408691,12.5368127822876,11.6929883956909
33,21.0162506103516,38.9700164794922,13.2967119216919,11.6685743331909
34,25.2765693664551,43.0426483154297,14.7173261642456,11.6243228912354
35,29.9885559082031,46.8436698913574,17.1145191192627,11.6350040435791
36,34.4411392211914,50.2769508361816,20.540168762207,11.6441593170166
37,38.6968803405762,53.1410713195801,25.0553131103516,11.6487369537354
38,42.5467300415039,55.4222946166992,30.0526428222656,11.6334781646729
39,46.1219177246094,57.2426948547363,35.3688850402832,11.6639966964722
40,49.1584663391113,58.8067436218262,40.7476921081543,11.6609449386597
41,51.8699913024902,59.4522018432617,46.1203918457031,11.6227970123291
42,54.1023864746094,59.9832153320312,51.2047004699707,11.6044864654541
43,55.7076377868652,60.3662147521973,55.8297080993652,11.5983829498291
44,57.1892890930176,60.8438224792481,60.2441444396973,11.6060123443604
45,57.9934387207031,60.8667106628418,64.2938919067383,11.6273746490479
46,58.5198745727539,61.2695503234863,67.8171997070312,11.6090641021729
47,58.7991142272949,61.3229560852051,70.6218032836914,11.5846490859985
48,59.1561775207519,61.5335311889648,73.1837921142578,11.6090641021729
49,59.2324714660644,61.4831771850586,75.1049041748047,11.6105899810791
50,59.600212097168,61.6281394958496,76.379035949707,11.6121158599854

