Text,1: + RT,2: - RT,3: - Heat
1,26.9336986541748,29.0867481231689,24.8416881561279
2,27.4158840179443,29.0836963653564,25.2170600891113
3,27.3105964660645,28.9524688720703,25.2903022766113
4,27.2083625793457,28.7586784362793,25.2140083312988
5,27.1061267852783,28.7556266784668,25.0858325958252
6,26.9611663818359,28.6121921539307,24.9698638916016
7,26.8741893768311,28.5221633911133,24.7867546081543
8,26.7246513366699,28.3115882873535,24.7745475769043
9,26.6834506988525,28.3802547454834,24.6463718414307
10,26.5918979644775,28.223087310791,24.6234836578369
11,26.5552749633789,28.2581825256348,24.6082248687744
12,26.431676864624,28.0628681182861,24.5197219848633
13,26.4270992279053,28.0460815429688,24.4800491333008
14,26.3874263763428,28.0994892120361,24.463264465332
15,26.3752193450928,27.9270610809326,24.4708938598633
16,26.3630123138428,27.9209575653076,24.4586868286133
17,26.407262802124,27.9957275390625,24.4190120697021
18,26.4881362915039,28.0369262695313,24.4953079223633
19,26.5415420532227,27.9560546875,24.4419021606445
20,26.8436717987061,27.9423217773438,24.4235897064209
21,27.3640041351318,27.7973594665527,24.5792331695557
22,28.4199275970459,27.9011211395264,24.8126964569092
23,30.3288326263428,27.7332725524902,25.2887763977051
24,33.7163352966309,27.7851524353027,26.0135803222656
25,38.5915908813477,27.8629741668701,27.6798648834229
26,44.7592887878418,27.7286949157715,30.2922096252441
27,52.4330520629883,27.6539249420166,34.3129615783691
28,60.8484001159668,27.6813907623291,39.641414642334
29,69.0867462158203,27.6844425201416,45.7602806091309
30,77.0138092041016,27.6264591217041,52.9488067626953
31,84.9362945556641,27.6203556060791,59.9740600585938
32,92.4055862426758,27.7515830993652,66.8192596435547
33,99.7131271362305,27.707332611084,73.2402496337891
34,100,27.5806827545166,79.6826095581055
35,100,27.6630802154541,85.6061630249023
36,100,27.6188297271729,91.5800704956055
37,100,27.5577926635742,96.9939727783203
38,100,27.489128112793,100
39,100,27.6325626373291,100
40,100,27.5745792388916,100
41,100,27.4128322601318,100
42,100,27.6279850006104,100
43,100,27.4982833862305,100
44,100,27.5455856323242,100
45,100,27.531852722168,100
46,100,27.5883121490479,100
47,100,27.4631881713867,100
48,100,27.544059753418,100
49,100,27.489128112793,100
50,100,27.4021511077881,100

