***Stage1 ON***
[28]TC TEC set to 50°C
(1453890) _setStage1TecTempC: TEC Set Temp 50.000000
(1453891) _applyThermalBrakeUpdate: Worst Temp: 68.365395
(1453894) _resetThermalControlState: RESET Peltier 0 control state
(1453901) thermalControlSetTargetTempC: [0] MAX RAMPING  goto 50.0
(1453908) _setThermalControlState: thermalControl-0: changing state 3->1
(1453916) tecCurvePredictorSetHoldPower: Not setting hold Power for ST1
(1453923) thermalControlSetEnable: Enabling Peltier 0
(1453940) TC: TC-0 = 22.49, modeled = 21.03, target = 50.00, heatSink = -86.08, output = 50.0, timeout = 0, exptTempC = 50.00, TecRate = 0.001
(1454075) TC: TC-0 = 22.49, modeled = 21.03, target = 50.00, heatSink = -86.01, output = 100.0, timeout = 150, exptTempC = 50.00, TecRate = 0.001
(1454223) TC: TC-0 = 22.49, modeled = 21.03, target = 50.00, heatSink = -85.93, output = 100.0, timeout = 300, exptTempC = 50.00, TecRate = 0.001
(1454373) TC: TC-0 = 22.49, modeled = 21.03, target = 50.00, heatSink = -86.04, output = 100.0, timeout = 450, exptTempC = 50.00, TecRate = 0.001
(1454524) TC: TC-0 = 22.49, modeled = 21.03, target = 50.00, heatSink = -86.19, output = 100.0, timeout = 600, exptTempC = 50.00, TecRate = 0.001
(1454679) TC: TC-0 = 22.49, modeled = 21.03, target = 50.00, heatSink = -86.04, output = 100.0, timeout = 750, exptTempC = 50.00, TecRate = 0.001
(1454825) TC: TC-0 = 22.49, modeled = 21.03, target = 50.00, heatSink = -86.19, output = 100.0, timeout = 900, exptTempC = 50.00, TecRate = 0.001
(1454975) TC: TC-0 = 22.49, modeled = 21.03, target = 50.00, heatSink = -86.09, output = 100.0, timeout = 1050, exptTempC = 50.00, TecRate = 0.001
(1455126) TC: TC-0 = 22.50, modeled = 21.03, target = 50.00, heatSink = -85.86, output = 100.0, timeout = 1200, exptTempC = 50.00, TecRate = 0.001
(1455275) TC: TC-0 = 22.49, modeled = 21.03, target = 50.00, heatSink = -86.16, output = 100.0, timeout = 1350, exptTempC = 50.00, TecRate = 0.001
(1455425) TC: TC-0 = 22.49, modeled = 21.03, target = 50.00, heatSink = -86.17, output = 100.0, timeout = 1500, exptTempC = 50.00, TecRate = 0.001
