***Stage1 ON***
[43]TC TEC set to 50°C
(2846775) _setStage1TecTempC: TEC Set Temp 50.000000
(2846776) _resetThermalControlState: RESET Peltier 0 control state
(2846780) thermalControlSetTargetTempC: [0] MAX RAMPING  goto 50.0
(2846787) _setThermalControlState: thermalControl-0: changing state 3->1
(2846794) tecCurvePredictorSetHoldPower: Not setting hold Power for ST1
(2846802) thermalControlSetEnable: Enabling Peltier 0
(2846816) TC: TC-0 = 21.98, modeled = 11.29, target = 50.00, heatSink = -87.36, output = 50.0, timeout = 0, exptTempC = 50.00, TecRate = 0.225
(2846944) TC: TC-0 = 21.97, modeled = 11.33, target = 50.00, heatSink = -87.16, output = 100.0, timeout = 150, exptTempC = 50.00, TecRate = 0.225
(2847099) TC: TC-0 = 21.98, modeled = 11.36, target = 50.00, heatSink = -87.36, output = 100.0, timeout = 300, exptTempC = 50.00, TecRate = 0.224
(2847244) TC: TC-0 = 21.97, modeled = 11.40, target = 50.00, heatSink = -87.20, output = 100.0, timeout = 450, exptTempC = 50.00, TecRate = 0.223
(2847394) TC: TC-0 = 21.98, modeled = 11.43, target = 50.00, heatSink = -87.00, output = 100.0, timeout = 600, exptTempC = 50.00, TecRate = 0.222
(2847543) TC: TC-0 = 21.98, modeled = 11.46, target = 50.00, heatSink = -87.44, output = 100.0, timeout = 750, exptTempC = 50.00, TecRate = 0.221
(2847694) TC: TC-0 = 21.98, modeled = 11.50, target = 50.00, heatSink = -87.40, output = 100.0, timeout = 900, exptTempC = 50.00, TecRate = 0.221
(2847850) TC: TC-0 = 21.98, modeled = 11.53, target = 50.00, heatSink = -87.53, output = 100.0, timeout = 1050, exptTempC = 50.00, TecRate = 0.220
(2848006) TC: TC-0 = 21.98, modeled = 11.56, target = 50.00, heatSink = -87.57, output = 100.0, timeout = 1200, exptTempC = 50.00, TecRate = 0.219
(2848150) TC: TC-0 = 21.98, modeled = 11.59, target = 50.00, heatSink = -87.40, output = 100.0, timeout = 1350, exptTempC = 50.00, TecRate = 0.218
(2848302) TC: TC-0 = 21.98, modeled = 11.63, target = 50.00, heatSink = -87.07, output = 100.0, timeout = 1500, exptTempC = 50.00, TecRate = 0.217
(2848450) TC: TC-0 = 21.98, modeled = 11.66, target = 50.00, heatSink = -87.36, output = 100.0, timeout = 1650, exptTempC = 50.00, TecRate = 0.217
(2848601) TC: TC-0 = 21.98, modeled = 11.69, target = 50.00, heatSink = -87.53, output = 100.0, timeout = 1800, exptTempC = 50.00, TecRate = 0.216
(2848756) TC: TC-0 = 21.98, modeled = 11.72, target = 50.00, heatSink = -87.79, output = 100.0, timeout = 1950, exptTempC = 50.00, TecRate = 0.215
(2848903) TC: TC-0 = 21.98, modeled = 11.76, target = 50.00, heatSink = -87.54, output = 100.0, timeout = 2100, exptTempC = 50.00, TecRate = 0.214
(2849052) TC: TC-0 = 21.98, modeled = 11.79, target = 50.00, heatSink = -87.11, output = 100.0, timeout = 2250, exptTempC = 50.00, TecRate = 0.214
(2849202) TC: TC-0 = 21.98, modeled = 11.82, target = 50.00, heatSink = -87.57, output = 100.0, timeout = 2400, exptTempC = 50.00, TecRate = 0.213
(2849352) TC: TC-0 = 21.98, modeled = 11.85, target = 50.00, heatSink = -87.40, output = 100.0, timeout = 2550, exptTempC = 50.00, TecRate = 0.212
(2849505) TC: TC-0 = 21.98, modeled = 11.88, target = 50.00, heatSink = -87.61, output = 100.0, timeout = 2700, exptTempC = 50.00, TecRate = 0.211
(2849653) TC: TC-0 = 21.98, modeled = 11.92, target = 50.00, heatSink = -87.61, output = 100.0, timeout = 2850, exptTempC = 50.00, TecRate = 0.211
(2849803) TC: TC-0 = 21.98, modeled = 11.95, target = 50.00, heatSink = -87.19, output = 100.0, timeout = 3000, exptTempC = 50.00, TecRate = 0.210
(2849952) TC: TC-0 = 21.98, modeled = 11.98, target = 50.00, heatSink = -87.23, output = 100.0, timeout = 3150, exptTempC = 50.00, TecRate = 0.209
(2850103) TC: TC-0 = 21.98, modeled = 12.01, target = 50.00, heatSink = -87.66, output = 100.0, timeout = 3300, exptTempC = 50.00, TecRate = 0.208
(2850252) TC: TC-0 = 21.98, modeled = 12.04, target = 50.00, heatSink = -87.49, output = 100.0, timeout = 3450, exptTempC = 50.00, TecRate = 0.208
(2850410) TC: TC-0 = 21.98, modeled = 12.07, target = 50.00, heatSink = -87.40, output = 100.0, timeout = 3600, exptTempC = 50.00, TecRate = 0.207
(2850556) TC: TC-0 = 21.99, modeled = 12.10, target = 50.00, heatSink = -87.62, output = 100.0, timeout = 3750, exptTempC = 50.00, TecRate = 0.206
(2850706) TC: TC-0 = 21.98, modeled = 12.13, target = 50.00, heatSink = -87.03, output = 100.0, timeout = 3900, exptTempC = 50.00, TecRate = 0.205
(2850857) TC: TC-0 = 21.99, modeled = 12.16, target = 50.00, heatSink = -87.29, output = 100.0, timeout = 4050, exptTempC = 50.00, TecRate = 0.205
(2851006) TC: TC-0 = 21.99, modeled = 12.19, target = 50.00, heatSink = -87.46, output = 100.0, timeout = 4200, exptTempC = 50.00, TecRate = 0.204
(2851160) TC: TC-0 = 21.99, modeled = 12.23, target = 50.00, heatSink = -87.33, output = 100.0, timeout = 4350, exptTempC = 50.00, TecRate = 0.203
(2851314) TC: TC-0 = 21.99, modeled = 12.26, target = 50.00, heatSink = -87.61, output = 100.0, timeout = 4500, exptTempC = 50.00, TecRate = 0.202
(2851459) TC: TC-0 = 21.99, modeled = 12.29, target = 50.00, heatSink = -87.61, output = 100.0, timeout = 4650, exptTempC = 50.00, TecRate = 0.202
(2851611) TC: TC-0 = 22.00, modeled = 12.32, target = 50.00, heatSink = -87.28, output = 100.0, timeout = 4800, exptTempC = 50.00, TecRate = 0.201
(2851760) TC: TC-0 = 22.00, modeled = 12.35, target = 50.00, heatSink = -87.70, output = 100.0, timeout = 4950, exptTempC = 50.00, TecRate = 0.201
(2851911) TC: TC-0 = 22.01, modeled = 12.38, target = 50.00, heatSink = -87.83, output = 100.0, timeout = 5100, exptTempC = 50.00, TecRate = 0.200
