***Stage1 ON***
[43]TC TEC set to 50°C
(1522216) _setStage1TecTempC: TEC Set Temp 50.000000
(1522217) _resetThermalControlState: RESET Peltier 0 control state
(1522221) thermalControlSetTargetTempC: [0] MAX RAMPING  goto 50.0
(1522228) _setThermalControlState: thermalControl-0: changing state 3->1
(1522235) tecCurvePredictorSetHoldPower: Not setting hold Power for ST1
(1522243) thermalControlSetEnable: Enabling Peltier 0
(1522284) TC: TC-0 = 21.32, modeled = 11.42, target = 50.00, heatSink = -86.70, output = 100.0, timeout = 50, exptTempC = 50.00, TecRate = 0.210
(1522433) TC: TC-0 = 21.32, modeled = 11.45, target = 50.00, heatSink = -86.74, output = 100.0, timeout = 200, exptTempC = 50.00, TecRate = 0.209
(1522582) TC: TC-0 = 21.32, modeled = 11.48, target = 50.00, heatSink = -86.54, output = 100.0, timeout = 350, exptTempC = 50.00, TecRate = 0.208
(1522731) TC: TC-0 = 21.32, modeled = 11.51, target = 50.00, heatSink = -86.66, output = 100.0, timeout = 500, exptTempC = 50.00, TecRate = 0.208
(1522882) TC: TC-0 = 21.32, modeled = 11.54, target = 50.00, heatSink = -86.70, output = 100.0, timeout = 650, exptTempC = 50.00, TecRate = 0.207
(1523034) TC: TC-0 = 21.32, modeled = 11.57, target = 50.00, heatSink = -86.70, output = 100.0, timeout = 800, exptTempC = 50.00, TecRate = 0.206
(1523190) TC: TC-0 = 21.32, modeled = 11.60, target = 50.00, heatSink = -86.74, output = 100.0, timeout = 950, exptTempC = 50.00, TecRate = 0.205
(1523333) TC: TC-0 = 21.32, modeled = 11.63, target = 50.00, heatSink = -86.28, output = 100.0, timeout = 1100, exptTempC = 50.00, TecRate = 0.205
(1523483) TC: TC-0 = 21.32, modeled = 11.67, target = 50.00, heatSink = -86.44, output = 100.0, timeout = 1250, exptTempC = 50.00, TecRate = 0.204
(1523634) TC: TC-0 = 21.32, modeled = 11.70, target = 50.00, heatSink = -86.62, output = 100.0, timeout = 1400, exptTempC = 50.00, TecRate = 0.203
(1523784) TC: TC-0 = 21.32, modeled = 11.73, target = 50.00, heatSink = -86.74, output = 100.0, timeout = 1550, exptTempC = 50.00, TecRate = 0.203
(1523936) TC: TC-0 = 21.32, modeled = 11.76, target = 50.00, heatSink = -86.62, output = 100.0, timeout = 1700, exptTempC = 50.00, TecRate = 0.202
(1524085) TC: TC-0 = 21.32, modeled = 11.79, target = 50.00, heatSink = -86.74, output = 100.0, timeout = 1850, exptTempC = 50.00, TecRate = 0.201
(1524235) TC: TC-0 = 21.32, modeled = 11.82, target = 50.00, heatSink = -86.43, output = 100.0, timeout = 2000, exptTempC = 50.00, TecRate = 0.200
(1524385) TC: TC-0 = 21.32, modeled = 11.85, target = 50.00, heatSink = -86.70, output = 100.0, timeout = 2150, exptTempC = 50.00, TecRate = 0.200
(1524536) TC: TC-0 = 21.32, modeled = 11.88, target = 50.00, heatSink = -86.74, output = 100.0, timeout = 2300, exptTempC = 50.00, TecRate = 0.199
(1524686) TC: TC-0 = 21.32, modeled = 11.91, target = 50.00, heatSink = -86.54, output = 100.0, timeout = 2450, exptTempC = 50.00, TecRate = 0.198
(1524840) TC: TC-0 = 21.32, modeled = 11.94, target = 50.00, heatSink = -86.74, output = 100.0, timeout = 2600, exptTempC = 50.00, TecRate = 0.198
(1524987) TC: TC-0 = 21.33, modeled = 11.97, target = 50.00, heatSink = -86.62, output = 100.0, timeout = 2750, exptTempC = 50.00, TecRate = 0.197
(1525136) TC: TC-0 = 21.33, modeled = 11.99, target = 50.00, heatSink = -86.43, output = 100.0, timeout = 2900, exptTempC = 50.00, TecRate = 0.196
(1525286) TC: TC-0 = 21.35, modeled = 12.02, target = 50.00, heatSink = -86.62, output = 100.0, timeout = 3050, exptTempC = 50.00, TecRate = 0.196
(1525438) TC: TC-0 = 21.35, modeled = 12.05, target = 50.00, heatSink = -86.82, output = 100.0, timeout = 3200, exptTempC = 50.00, TecRate = 0.195
(1525587) TC: TC-0 = 21.36, modeled = 12.08, target = 50.00, heatSink = -86.66, output = 100.0, timeout = 3350, exptTempC = 50.00, TecRate = 0.195
(1525743) TC: TC-0 = 21.37, modeled = 12.11, target = 50.00, heatSink = -86.70, output = 100.0, timeout = 3500, exptTempC = 50.00, TecRate = 0.194
(1525888) TC: TC-0 = 21.38, modeled = 12.14, target = 50.00, heatSink = -86.74, output = 100.0, timeout = 3650, exptTempC = 50.00, TecRate = 0.194
(1526038) TC: TC-0 = 21.38, modeled = 12.17, target = 50.00, heatSink = -86.51, output = 100.0, timeout = 3800, exptTempC = 50.00, TecRate = 0.193
(1526189) TC: TC-0 = 21.39, modeled = 12.20, target = 50.00, heatSink = -86.43, output = 100.0, timeout = 3950, exptTempC = 50.00, TecRate = 0.193
(1526338) TC: TC-0 = 21.40, modeled = 12.23, target = 50.00, heatSink = -86.70, output = 100.0, timeout = 4100, exptTempC = 50.00, TecRate = 0.192
(1526488) TC: TC-0 = 21.41, modeled = 12.26, target = 50.00, heatSink = -86.86, output = 100.0, timeout = 4250, exptTempC = 50.00, TecRate = 0.191
(1526643) TC: TC-0 = 21.42, modeled = 12.29, target = 50.00, heatSink = -86.71, output = 100.0, timeout = 4400, exptTempC = 50.00, TecRate = 0.191
(1526790) TC: TC-0 = 21.42, modeled = 12.31, target = 50.00, heatSink = -86.67, output = 100.0, timeout = 4550, exptTempC = 50.00, TecRate = 0.190
(1526938) TC: TC-0 = 21.43, modeled = 12.34, target = 50.00, heatSink = -86.32, output = 100.0, timeout = 4700, exptTempC = 50.00, TecRate = 0.190
(1527089) TC: TC-0 = 21.44, modeled = 12.37, target = 50.00, heatSink = -86.32, output = 100.0, timeout = 4850, exptTempC = 50.00, TecRate = 0.189
(1527239) TC: TC-0 = 21.44, modeled = 12.40, target = 50.00, heatSink = -86.47, output = 100.0, timeout = 5000, exptTempC = 50.00, TecRate = 0.189
(1527389) TC: TC-0 = 21.44, modeled = 12.43, target = 50.00, heatSink = -86.74, output = 100.0, timeout = 5150, exptTempC = 50.00, TecRate = 0.188
(1527543) TC: TC-0 = 21.45, modeled = 12.46, target = 50.00, heatSink = -86.74, output = 100.0, timeout = 5300, exptTempC = 50.00, TecRate = 0.187
(1527693) TC: TC-0 = 21.45, modeled = 12.48, target = 50.00, heatSink = -86.62, output = 100.0, timeout = 5450, exptTempC = 50.00, TecRate = 0.187
(1527843) TC: TC-0 = 21.46, modeled = 12.51, target = 50.00, heatSink = -86.31, output = 100.0, timeout = 5600, exptTempC = 50.00, TecRate = 0.186
(1527992) TC: TC-0 = 21.46, modeled = 12.54, target = 50.00, heatSink = -86.70, output = 100.0, timeout = 5750, exptTempC = 50.00, TecRate = 0.186
(1528142) TC: TC-0 = 21.48, modeled = 12.57, target = 50.00, heatSink = -86.54, output = 100.0, timeout = 5900, exptTempC = 50.00, TecRate = 0.185
(1528293) TC: TC-0 = 21.48, modeled = 12.59, target = 50.00, heatSink = -86.59, output = 100.0, timeout = 6050, exptTempC = 50.00, TecRate = 0.185
(1528449) TC: TC-0 = 21.49, modeled = 12.62, target = 50.00, heatSink = -86.94, output = 100.0, timeout = 6200, exptTempC = 50.00, TecRate = 0.184
(1528595) TC: TC-0 = 21.50, modeled = 12.65, target = 50.00, heatSink = -86.70, output = 100.0, timeout = 6350, exptTempC = 50.00, TecRate = 0.184
(1528746) TC: TC-0 = 21.51, modeled = 12.68, target = 50.00, heatSink = -86.58, output = 100.0, timeout = 6500, exptTempC = 50.00, TecRate = 0.183
(1528896) TC: TC-0 = 21.53, modeled = 12.71, target = 50.00, heatSink = -86.43, output = 100.0, timeout = 6650, exptTempC = 50.00, TecRate = 0.183
(1529048) TC: TC-0 = 21.57, modeled = 12.73, target = 50.00, heatSink = -86.47, output = 100.0, timeout = 6800, exptTempC = 50.00, TecRate = 0.183
(1529197) TC: TC-0 = 21.59, modeled = 12.76, target = 50.00, heatSink = -86.86, output = 100.0, timeout = 6950, exptTempC = 50.00, TecRate = 0.183
(1529349) TC: TC-0 = 21.62, modeled = 12.79, target = 50.00, heatSink = -86.78, output = 100.0, timeout = 7100, exptTempC = 50.00, TecRate = 0.183
(1529499) TC: TC-0 = 21.63, modeled = 12.81, target = 50.00, heatSink = -86.78, output = 100.0, timeout = 7250, exptTempC = 50.00, TecRate = 0.182
(1529649) TC: TC-0 = 21.64, modeled = 12.84, target = 50.00, heatSink = -86.50, output = 100.0, timeout = 7400, exptTempC = 50.00, TecRate = 0.182
(1529800) TC: TC-0 = 21.66, modeled = 12.87, target = 50.00, heatSink = -86.51, output = 100.0, timeout = 7550, exptTempC = 50.00, TecRate = 0.181
(1529952) TC: TC-0 = 21.67, modeled = 12.90, target = 50.00, heatSink = -86.78, output = 100.0, timeout = 7700, exptTempC = 50.00, TecRate = 0.181
(1530101) TC: TC-0 = 21.74, modeled = 12.92, target = 50.00, heatSink = -86.62, output = 100.0, timeout = 7850, exptTempC = 50.00, TecRate = 0.182
(1530253) TC: TC-0 = 21.92, modeled = 12.95, target = 50.00, heatSink = -86.63, output = 100.0, timeout = 8000, exptTempC = 50.00, TecRate = 0.185
(1530402) TC: TC-0 = 22.09, modeled = 12.98, target = 50.00, heatSink = -86.47, output = 100.0, timeout = 8150, exptTempC = 50.00, TecRate = 0.187
(1530552) TC: TC-0 = 22.36, modeled = 13.01, target = 50.00, heatSink = -86.35, output = 100.0, timeout = 8300, exptTempC = 50.00, TecRate = 0.192
(1530703) TC: TC-0 = 22.64, modeled = 13.04, target = 50.00, heatSink = -86.66, output = 100.0, timeout = 8450, exptTempC = 50.00, TecRate = 0.196
(1530853) TC: TC-0 = 22.94, modeled = 13.07, target = 50.00, heatSink = -86.82, output = 100.0, timeout = 8600, exptTempC = 50.00, TecRate = 0.201
(1531003) TC: TC-0 = 23.31, modeled = 13.10, target = 50.00, heatSink = -86.52, output = 100.0, timeout = 8750, exptTempC = 50.00, TecRate = 0.208
(1531157) TC: TC-0 = 23.74, modeled = 13.13, target = 50.00, heatSink = -86.55, output = 100.0, timeout = 8900, exptTempC = 50.00, TecRate = 0.215
(1531303) TC: TC-0 = 24.07, modeled = 13.16, target = 50.00, heatSink = -86.55, output = 100.0, timeout = 9050, exptTempC = 50.00, TecRate = 0.221
(1531453) TC: TC-0 = 24.73, modeled = 13.20, target = 50.00, heatSink = -86.62, output = 100.0, timeout = 9200, exptTempC = 50.00, TecRate = 0.233
(1531603) TC: TC-0 = 25.67, modeled = 13.23, target = 50.00, heatSink = -86.39, output = 100.0, timeout = 9350, exptTempC = 50.00, TecRate = 0.250
(1531754) TC: TC-0 = 26.86, modeled = 13.27, target = 50.00, heatSink = -86.58, output = 100.0, timeout = 9500, exptTempC = 50.00, TecRate = 0.272
(1531903) TC: TC-0 = 28.18, modeled = 13.32, target = 50.00, heatSink = -86.74, output = 100.0, timeout = 9650, exptTempC = 50.00, TecRate = 0.296
(1532058) TC: TC-0 = 29.52, modeled = 13.36, target = 50.00, heatSink = -86.70, output = 100.0, timeout = 9800, exptTempC = 50.00, TecRate = 0.322
(1532204) TC: TC-0 = 30.47, modeled = 13.41, target = 50.00, heatSink = -86.47, output = 100.0, timeout = 9950, exptTempC = 50.00, TecRate = 0.339
(1532354) TC: TC-0 = 31.93, modeled = 13.47, target = 50.00, heatSink = -86.39, output = 100.0, timeout = 10100, exptTempC = 50.00, TecRate = 0.366
(1532504) TC: TC-0 = 33.45, modeled = 13.52, target = 50.00, heatSink = -86.39, output = 100.0, timeout = 10250, exptTempC = 50.00, TecRate = 0.395
(1532654) TC: TC-0 = 34.95, modeled = 13.59, target = 50.00, heatSink = -86.58, output = 100.0, timeout = 10400, exptTempC = 50.00, TecRate = 0.423
