***Stage1 ON***
[32]TC TEC set to 50°C
(2361323) _setStage1TecTempC: TEC Set Temp 50.000000
(2361324) _applyThermalBrakeUpdate: Worst Temp: 58.379440
(2361327) _resetThermalControlState: RESET Peltier 0 control state
(2361334) thermalControlSetTargetTempC: [0] MAX RAMPING  goto 50.0
(2361341) _setThermalControlState: thermalControl-0: changing state 3->1
(2361349) tecCurvePredictorSetHoldPower: Not setting hold Power for ST1
(2361356) thermalControlSetEnable: Enabling Peltier 0
(2361453) TC: TC-0 = 23.26, modeled = 21.69, target = 50.00, heatSink = -85.79, output = 100.0, timeout = 100, exptTempC = 50.00, TecRate = 0.000
(2361602) TC: TC-0 = 23.26, modeled = 21.69, target = 50.00, heatSink = -85.79, output = 100.0, timeout = 250, exptTempC = 50.00, TecRate = 0.000
(2361752) TC: TC-0 = 23.26, modeled = 21.69, target = 50.00, heatSink = -86.01, output = 100.0, timeout = 400, exptTempC = 50.00, TecRate = 0.000
(2361902) TC: TC-0 = 23.26, modeled = 21.69, target = 50.00, heatSink = -86.31, output = 100.0, timeout = 550, exptTempC = 50.00, TecRate = 0.000
(2362057) TC: TC-0 = 23.26, modeled = 21.69, target = 50.00, heatSink = -86.20, output = 100.0, timeout = 700, exptTempC = 50.00, TecRate = 0.000
(2362203) TC: TC-0 = 23.26, modeled = 21.69, target = 50.00, heatSink = -86.08, output = 100.0, timeout = 850, exptTempC = 50.00, TecRate = 0.000
(2362355) TC: TC-0 = 23.26, modeled = 21.69, target = 50.00, heatSink = -85.79, output = 100.0, timeout = 1000, exptTempC = 50.00, TecRate = 0.000
(2362505) TC: TC-0 = 23.26, modeled = 21.69, target = 50.00, heatSink = -86.16, output = 100.0, timeout = 1150, exptTempC = 50.00, TecRate = 0.000
(2362654) TC: TC-0 = 23.26, modeled = 21.69, target = 50.00, heatSink = -86.16, output = 100.0, timeout = 1300, exptTempC = 50.00, TecRate = 0.000
(2362806) TC: TC-0 = 23.26, modeled = 21.69, target = 50.00, heatSink = -86.23, output = 100.0, timeout = 1450, exptTempC = 50.00, TecRate = 0.000
(2362961) TC: TC-0 = 23.26, modeled = 21.69, target = 50.00, heatSink = -86.43, output = 100.0, timeout = 1600, exptTempC = 50.00, TecRate = 0.000
***Stage1 OFF***
[33]TC TEC Turned Off
(2363064) _deviceLogsSetTC: Adding Time 1695
***Stage1 ON***
[34]TC TEC set to 50°C
(2375164) _setStage1TecTempC: TEC Set Temp 50.000000
(2375165) _resetThermalControlState: RESET Peltier 0 control state
(2375169) thermalControlSetTargetTempC: [0] MAX RAMPING  goto 50.0
(2375176) _setThermalControlState: thermalControl-0: changing state 3->1
(2375183) tecCurvePredictorSetHoldPower: Not setting hold Power for ST1
(2375191) thermalControlSetEnable: Enabling Peltier 0
(2375204) TC: TC-0 = 25.03, modeled = 21.83, target = 50.00, heatSink = -86.12, output = 50.0, timeout = 0, exptTempC = 50.00, TecRate = 0.031
(2375342) TC: TC-0 = 25.06, modeled = 21.83, target = 50.00, heatSink = -85.97, output = 100.0, timeout = 150, exptTempC = 50.00, TecRate = 0.031
(2375491) TC: TC-0 = 25.10, modeled = 21.84, target = 50.00, heatSink = -86.23, output = 100.0, timeout = 300, exptTempC = 50.00, TecRate = 0.032
(2375645) TC: TC-0 = 25.13, modeled = 21.84, target = 50.00, heatSink = -86.04, output = 100.0, timeout = 450, exptTempC = 50.00, TecRate = 0.033
(2375799) TC: TC-0 = 25.15, modeled = 21.85, target = 50.00, heatSink = -86.27, output = 100.0, timeout = 600, exptTempC = 50.00, TecRate = 0.033
(2375944) TC: TC-0 = 25.17, modeled = 21.85, target = 50.00, heatSink = -85.97, output = 100.0, timeout = 750, exptTempC = 50.00, TecRate = 0.033
(2376093) TC: TC-0 = 25.19, modeled = 21.86, target = 50.00, heatSink = -85.78, output = 100.0, timeout = 900, exptTempC = 50.00, TecRate = 0.033
(2376244) TC: TC-0 = 25.22, modeled = 21.86, target = 50.00, heatSink = -86.08, output = 100.0, timeout = 1050, exptTempC = 50.00, TecRate = 0.034
(2376393) TC: TC-0 = 25.25, modeled = 21.87, target = 50.00, heatSink = -86.12, output = 100.0, timeout = 1200, exptTempC = 50.00, TecRate = 0.034
(2376547) TC: TC-0 = 25.27, modeled = 21.87, target = 50.00, heatSink = -86.16, output = 100.0, timeout = 1350, exptTempC = 50.00, TecRate = 0.035
(2376697) TC: TC-0 = 25.29, modeled = 21.88, target = 50.00, heatSink = -86.23, output = 100.0, timeout = 1500, exptTempC = 50.00, TecRate = 0.035
(2376846) TC: TC-0 = 25.32, modeled = 21.88, target = 50.00, heatSink = -85.93, output = 100.0, timeout = 1650, exptTempC = 50.00, TecRate = 0.035
(2376996) TC: TC-0 = 25.35, modeled = 21.89, target = 50.00, heatSink = -85.93, output = 100.0, timeout = 1800, exptTempC = 50.00, TecRate = 0.036
(2377148) TC: TC-0 = 25.38, modeled = 21.89, target = 50.00, heatSink = -85.90, output = 100.0, timeout = 1950, exptTempC = 50.00, TecRate = 0.036
(2377297) TC: TC-0 = 25.40, modeled = 21.90, target = 50.00, heatSink = -86.19, output = 100.0, timeout = 2100, exptTempC = 50.00, TecRate = 0.036
(2377453) TC: TC-0 = 25.43, modeled = 21.90, target = 50.00, heatSink = -86.19, output = 100.0, timeout = 2250, exptTempC = 50.00, TecRate = 0.037
(2377598) TC: TC-0 = 25.46, modeled = 21.91, target = 50.00, heatSink = -86.16, output = 100.0, timeout = 2400, exptTempC = 50.00, TecRate = 0.037
(2377749) TC: TC-0 = 25.50, modeled = 21.91, target = 50.00, heatSink = -85.82, output = 100.0, timeout = 2550, exptTempC = 50.00, TecRate = 0.038
(2377898) TC: TC-0 = 25.54, modeled = 21.92, target = 50.00, heatSink = -86.05, output = 100.0, timeout = 2700, exptTempC = 50.00, TecRate = 0.039
(2378050) TC: TC-0 = 25.59, modeled = 21.93, target = 50.00, heatSink = -86.31, output = 100.0, timeout = 2850, exptTempC = 50.00, TecRate = 0.039
(2378199) TC: TC-0 = 25.63, modeled = 21.93, target = 50.00, heatSink = -86.04, output = 100.0, timeout = 3000, exptTempC = 50.00, TecRate = 0.040
(2378356) TC: TC-0 = 25.65, modeled = 21.94, target = 50.00, heatSink = -86.23, output = 100.0, timeout = 3150, exptTempC = 50.00, TecRate = 0.040
(2378501) TC: TC-0 = 25.68, modeled = 21.94, target = 50.00, heatSink = -86.27, output = 100.0, timeout = 3300, exptTempC = 50.00, TecRate = 0.041
(2378651) TC: TC-0 = 25.71, modeled = 21.95, target = 50.00, heatSink = -85.75, output = 100.0, timeout = 3450, exptTempC = 50.00, TecRate = 0.041
(2378801) TC: TC-0 = 25.74, modeled = 21.96, target = 50.00, heatSink = -85.86, output = 100.0, timeout = 3600, exptTempC = 50.00, TecRate = 0.042
(2378951) TC: TC-0 = 25.84, modeled = 21.96, target = 50.00, heatSink = -85.93, output = 100.0, timeout = 3750, exptTempC = 50.00, TecRate = 0.043
(2379101) TC: TC-0 = 26.38, modeled = 21.97, target = 50.00, heatSink = -86.08, output = 100.0, timeout = 3900, exptTempC = 50.00, TecRate = 0.054
(2379257) TC: TC-0 = 27.09, modeled = 21.98, target = 50.00, heatSink = -86.04, output = 100.0, timeout = 4050, exptTempC = 50.00, TecRate = 0.067
(2379402) TC: TC-0 = 28.68, modeled = 21.99, target = 50.00, heatSink = -86.04, output = 100.0, timeout = 4200, exptTempC = 50.00, TecRate = 0.098
(2379553) TC: TC-0 = 30.78, modeled = 22.01, target = 50.00, heatSink = -85.89, output = 100.0, timeout = 4350, exptTempC = 50.00, TecRate = 0.139
(2379702) TC: TC-0 = 33.12, modeled = 22.04, target = 50.00, heatSink = -86.12, output = 100.0, timeout = 4500, exptTempC = 50.00, TecRate = 0.184
(2379853) TC: TC-0 = 35.60, modeled = 22.07, target = 50.00, heatSink = -86.27, output = 100.0, timeout = 4650, exptTempC = 50.00, TecRate = 0.233
(2380003) TC: TC-0 = 38.30, modeled = 22.11, target = 50.00, heatSink = -86.05, output = 100.0, timeout = 4800, exptTempC = 50.00, TecRate = 0.286
(2380160) TC: TC-0 = 40.08, modeled = 22.16, target = 50.00, heatSink = -86.17, output = 100.0, timeout = 4950, exptTempC = 50.00, TecRate = 0.321
