id,type,inst,cq,fmax,pcr noise,melt noise,tm
691a0535-bbc2-46d7-b01b-abcb21c25c8b,AdvBuild,1,18,-2337,0.37,0.08, 
6116829f-1e1d-455c-967a-7fb7bb49ffca,AdvBuild,1,16,-1054,0.24,0.11,81
d69869d5-f325-4656-a213-71537c94f1b3,AdvBuild,1,16,-302,0.42,0.12,79
8dce3fb6-34ed-4745-a95b-8ae9ed28a15b,AdvBuild,1,24,-103,0.21,0.06, 
f2b962f7-783f-4b47-9cd7-abe1f4a872a5,AdvBuild,1,19,-64,0.15,0.09, 
a06ccbf0-9675-4dee-bb77-c080bf42a5d2,AdvBuild,1,16,-48,0.14,0.96,81
b154da72-1a30-4daf-9abe-d27305d0b3f9,AdvBuild,1,21,-46,1.59,0.2,85
80124ceb-1819-475a-b91f-3e178a5f16d8,AdvBuild,1,15,-21,0.28,10.08,82
533446bf-a983-48de-82cd-057132b657f1,AdvBuild,1,12,-14,0.48,  , 
d82adf13-a451-4a4a-ae05-1f072782bac6,AdvBuild,1,35,-13,4.09,0.07, 
15ab6687-0697-479e-b0ee-985fd08ac286,AdvBuild,1,36,523,0.11,0.04,84
aeda265b-4ee7-448b-860a-bea5bff31801,AdvBuild,1,36,566,0.07,0.16,84
e6c28e7f-59e1-4966-a692-ea00d1a04e9b,AdvBuild,1,35,1006,0.08,0.03,83
e9e9176a-3b23-408d-a174-0636c1b2dbba,AdvBuild,1,32,1011,0.29,0.04,84
1ab5a6c3-2ebe-4978-a703-08c93c907e1f,AdvBuild,1,31,1062,0.03,0.03,83
82a7a3be-f00a-4a5c-92b7-bb3b90105fc8,AdvBuild,1,35,1121,0.08,0.03,83
f890c6fc-b0ec-4b15-b8e6-c78d544084fc,AdvBuild,1,34,1146,0.25,0.03,83
45609043-42ad-4f16-945a-b124d2399802,AdvBuild,1,30,1182,0.02,0.03,84
bb012e5d-4adb-4e8c-a08e-98a29acddac0,AdvBuild,1,31,1355,0.12,0.07,84
557f756b-7fb9-441f-8cb7-a89e35b414af,AdvBuild,1,29,1360,0.05,0.04,83
66776652-6526-46d1-ad7e-79539dbd3df7,AdvBuild,1,27,1446,0.09,0.04,85
806f9566-c713-45d7-b70b-238ec65d1d0d,AdvBuild,1,31,1485,0.03,0.03,83
6793c00f-996c-495c-9344-e09c441cbfbc,AdvBuild,1,30,1489,0.02,0.04,84
61c87245-0dd8-456c-b76a-854cbe0ca612,AdvBuild,1,29,1516,0.05,0.04,83
a64b124d-c778-4ca6-af55-5e1e82e4b96a,AdvBuild,1,27,1540,0.09,0.41,85
8ed970de-681c-4718-9dde-564930144fb6,AdvBuild,1,30,1552,0.03,0.04,83
edd9467d-50ca-43c7-a175-4f8a0127263f,AdvBuild,1,31,1627,0.02,0.03,85
cb7d037a-8bea-4d82-902d-69817ff8048a,AdvBuild,1,29,1669,0.03,0.04,83
036d8254-1786-434f-8d14-57f6ffc54bd7,AdvBuild,1,27,1702,0.01,0.03,83
148a154b-215f-4134-9940-a4c593ec22af,AdvBuild,1,31,1841,0.02,0.03,84
60874a41-3479-45f5-a7e3-60d105c41f90,AdvBuild,1,29,1921,0.03,0.15,83
ccd3dc7a-02a6-44e2-a70e-521f53da06cd,AdvBuild,1,28,1933,0.05,0.05,83
6fcac625-5937-41e5-aac6-8e36cbc2faae,AdvBuild,1,27,1981,0.04,0.03,83
88373f26-633a-4db7-bd21-f750decbf0b8,AdvBuild,1,34,2006,0.05,0.12,83
8fb2ee44-94d7-4472-8e09-fcc041f3cd99,AdvBuild,1,30,2133,0.02,0.05,83
8d6d717e-53ed-4ffa-8f0a-51456a54eee0,AdvBuild,1,26,2183,0.02,0.03,83
3d6f6123-c79f-4d75-94b4-7e10c63c5144,AdvBuild,1,26,2385,0.06,0.04,83
0432147a-8bc6-4daf-9449-69bacfbda17f,AdvBuild,1,26,2486,0.04,0.04,83
766d8f25-7c9b-434a-b2d4-f621e1f9f50a,AdvBuild,1,29,2514,0.12,0.02,83
f3419165-04d9-476b-8061-4e26536207fb,AdvBuild,1,27,2535,0.03,0.04,83
f78434d0-6fc7-401d-9fb5-b800afbd3c0f,AdvBuild,1,29,2584,0.09,0.02,83
1cef5e97-cc87-4f92-a8e7-25858c186832,AdvBuild,1,25,2828,0.02,0.04,83
8a0066dd-4ecf-46e1-99eb-dd67160ee012,AdvBuild,1,28,2853,0.01,0.02,84
