Text,1: WEEV+,2: WEEV-,3: SLEV+,4: SLEV-,5: WNV+,6: WNV-,7: NAM+,8: NAM-
1,0.89265281,0.889600992,0.865186512,0.863660634,1.080338717,1.077286959,0.898756385,0.895704567
2,0.89265281,0.888075054,0.860608816,0.865186512,1.083390594,1.080338717,0.898756385,0.895704567
3,0.891126871,0.886549175,0.860608816,0.860608816,1.078812838,1.068131566,0.903334081,0.895704567
4,0.891126871,0.885023296,0.860608816,0.862134755,1.080338717,1.065079689,0.898756385,0.895704567
5,0.891126871,0.886549175,0.860608816,0.866712451,1.074235201,1.062027931,0.898756385,0.889600992
6,0.891126871,0.888075054,0.862134755,0.865186512,1.074235201,1.06355381,0.898756385,0.89265281
7,0.889600992,0.886549175,0.863660634,0.869764268,1.072709203,1.054398417,0.898756385,0.895704567
8,0.891126871,0.886549175,0.860608816,0.86823833,1.069657445,1.057450175,0.900282264,0.898756385
9,0.89265281,0.886549175,0.860608816,0.871290147,1.071183324,1.054398417,0.901808202,0.898756385
10,0.894178689,0.885023296,0.860608816,0.869764268,1.074235201,1.058976173,0.897230506,0.898756385
11,0.89265281,0.888075054,0.857557058,0.875867844,1.069657445,1.052872539,0.900282264,0.897230506
12,0.891126871,0.891126871,0.862134755,0.872816026,1.066605687,1.054398417,0.901808202,0.901808202
13,0.89265281,0.886549175,0.866712451,0.874341965,1.066605687,1.055924296,0.90486002,0.901808202
14,0.894178689,0.889600992,0.865186512,0.88044554,1.069657445,1.057450175,0.90486002,0.903334081
15,0.898756385,0.89265281,0.860608816,0.874341965,1.072709203,1.057450175,0.906385899,0.909437716
16,0.898756385,0.894178689,0.86823833,0.88044554,1.071183324,1.055924296,0.907911777,0.906385899
17,0.898756385,0.894178689,0.865186512,0.881971478,1.065079689,1.052872539,0.906385899,0.907911777
18,0.898756385,0.89265281,0.865186512,0.885023296,1.071183324,1.057450175,0.907911777,0.914015412
19,0.900282264,0.895704567,0.869764268,0.888075054,1.074235201,1.057450175,0.910963595,0.914015412
20,0.900282264,0.898756385,0.869764268,0.886549175,1.077286959,1.062027931,0.914015412,0.912489533
21,0.906385899,0.89265281,0.865186512,0.888075054,1.081864595,1.060502052,0.912489533,0.912489533
22,0.906385899,0.894178689,0.871290147,0.891126871,1.077286959,1.060502052,0.912489533,0.915541291
23,0.907911777,0.89265281,0.869764268,0.891126871,1.07576108,1.058976173,0.914015412,0.91706723
24,0.914015412,0.894178689,0.86823833,0.888075054,1.074235201,1.062027931,0.91706723,0.915541291
25,0.920119047,0.900282264,0.871290147,0.89265281,1.084916472,1.06355381,0.920119047,0.918593109
26,0.938429832,0.895704567,0.872816026,0.895704567,1.081864595,1.065079689,0.920119047,0.918593109
27,0.96589607,0.900282264,0.871290147,0.897230506,1.089494109,1.060502052,0.923170805,0.920119047
28,0.999465942,0.897230506,0.872816026,0.898756385,1.086442351,1.066605687,0.923170805,0.920119047
29,1.054398417,0.900282264,0.871290147,0.897230506,1.101701379,1.06355381,0.923170805,0.923170805
30,1.126115799,0.897230506,0.878919661,0.898756385,1.118486285,1.065079689,0.92927444,0.923170805
31,1.190203667,0.90486002,0.878919661,0.901808202,1.138323069,1.071183324,0.938429832,0.924696743
32,1.260395169,0.903334081,0.878919661,0.903334081,1.181048274,1.066605687,0.946059346,0.921644926
33,1.326009035,0.90486002,0.881971478,0.90486002,1.231403112,1.066605687,0.95368886,0.926222622
34,1.376363754,0.906385899,0.881971478,0.906385899,1.292439103,1.068131566,0.968947887,0.927748561
35,1.437399864,0.90486002,0.886549175,0.907911777,1.348897576,1.074235201,0.991836429,0.927748561
36,1.467917919,0.906385899,0.889600992,0.909437716,1.409933567,1.071183324,1.022354484,0.926222622
37,1.510643125,0.907911777,0.891126871,0.909437716,1.454184771,1.072709203,1.052872539,0.930800319
38,1.533531666,0.912489533,0.891126871,0.906385899,1.496910095,1.07576108,1.08796823,0.932326257
39,1.553368449,0.910963595,0.894178689,0.910963595,1.518272638,1.072709203,1.129167676,0.930800319
40,1.560997963,0.912489533,0.894178689,0.910963595,1.521324515,1.074235201,1.167315125,0.930800319
41,1.574731112,0.910963595,0.894178689,0.909437716,1.538109422,1.071183324,1.200885057,0.930800319
42,1.582360625,0.910963595,0.895704567,0.912489533,1.559472084,1.07576108,1.243610263,0.924696743
43,1.591516018,0.912489533,0.89265281,0.912489533,1.560997963,1.072709203,1.269550681,0.92927444
44,1.596093655,0.914015412,0.895704567,0.915541291,1.559472084,1.072709203,1.301594615,0.92927444
45,1.593041897,0.912489533,0.897230506,0.912489533,1.559472084,1.072709203,1.326009035,0.927748561
46,1.596093655,0.915541291,0.900282264,0.915541291,1.571679235,1.07576108,1.348897576,0.935378015
47,1.600671411,0.91706723,0.898756385,0.915541291,1.573205113,1.078812838,1.371786118,0.935378015
48,1.602197289,0.921644926,0.901808202,0.910963595,1.571679235,1.077286959,1.388571024,0.932326257
49,1.606775045,0.920119047,0.903334081,0.914015412,1.57625699,1.081864595,1.408407688,0.930800319
50,1.608300924,0.915541291,0.897230506,0.915541291,1.574731112,1.078812838,1.417563081,0.930800319
