Text,1: EEEV+,2: EEEV-,3: SLEV+,4: SLEV-,5: WNV+,6: WNV-,7: NAM+,8: NAM-
1,1.03608763217926,1.03761351108551,11.5342950820923,11.989013671875,0.976577401161194,0.999465942382813,0.979629218578339,1.00099182128906
2,1.03608763217926,1.04066526889801,11.3771266937256,11.9035625457764,0.976577401161194,0.994888246059418,0.979629218578339,0.999465942382813
3,1.03303575515747,1.03761351108551,11.3786525726318,11.8623638153076,0.975051522254944,0.997940003871918,0.981155097484589,1.00099182128906
4,1.03303575515747,1.03913938999176,11.3252458572388,11.8059053421021,0.976577401161194,0.996414124965668,0.984206914901733,0.997940003871918
5,1.02998399734497,1.03456163406372,11.3511867523193,11.7631797790527,0.976577401161194,0.999465942382813,0.985732793807983,0.997940003871918
6,1.02998399734497,1.03303575515747,11.2596321105957,11.6517887115479,0.978103280067444,0.994888246059418,0.987258732318878,0.994888246059418
7,1.02845811843872,1.03761351108551,11.2321662902832,11.6227970123291,0.979629218578339,0.997940003871918,0.984206914901733,0.997940003871918
8,1.03303575515747,1.02845811843872,11.1802854537964,11.5541315078735,0.981155097484589,0.987258732318878,0.982681035995483,0.996414124965668
9,1.03150987625122,1.03303575515747,11.1726560592651,11.5739679336548,0.976577401161194,0.991836428642273,0.985732793807983,0.993362307548523
10,1.02998399734497,1.02845811843872,11.1177234649658,11.4503698348999,0.975051522254944,0.990310549736023,0.981155097484589,0.990310549736023
11,1.02998399734497,1.02998399734497,11.0872049331665,11.3862819671631,0.975051522254944,0.990310549736023,0.981155097484589,0.988784611225128
12,1.03303575515747,1.02845811843872,11.1100940704346,11.3588161468506,0.978103280067444,0.991836428642273,0.985732793807983,0.994888246059418
13,1.02998399734497,1.02845811843872,11.0170135498047,11.2657356262207,0.976577401161194,0.988784611225128,0.979629218578339,0.988784611225128
14,1.03150987625122,1.02082860469818,11.0124359130859,11.2199592590332,0.976577401161194,0.985732793807983,0.982681035995483,0.988784611225128
15,1.02693212032318,1.02388036251068,10.9620809555054,11.2001218795776,0.975051522254944,0.987258732318878,0.979629218578339,0.988784611225128
16,1.02845811843872,1.02693212032318,10.9056224822998,11.1268787384033,0.979629218578339,0.987258732318878,0.981155097484589,0.988784611225128
17,1.02998399734497,1.02845811843872,10.8995189666748,11.1146717071533,0.978103280067444,0.990310549736023,0.982681035995483,0.988784611225128
18,1.03303575515747,1.02845811843872,10.8445873260498,11.0856790542603,0.976577401161194,0.988784611225128,0.979629218578339,0.990310549736023
19,1.03608763217926,1.02998399734497,10.817120552063,11.0002288818359,0.978103280067444,0.990310549736023,0.982681035995483,0.990310549736023
20,1.03761351108551,1.02998399734497,10.7347221374512,10.9239339828491,0.978103280067444,0.990310549736023,0.982681035995483,0.987258732318878
21,1.04524302482605,1.02693212032318,10.7331962585449,10.8888378143311,0.979629218578339,0.990310549736023,0.982681035995483,0.990310549736023
22,1.05134665966034,1.02845811843872,10.7270927429199,10.8690013885498,0.976577401161194,0.990310549736023,0.982681035995483,0.987258732318878
23,1.06813156604767,1.02845811843872,10.7270927429199,10.8369569778442,0.981155097484589,0.988784611225128,0.984206914901733,0.987258732318878
24,1.09864962100983,1.02693212032318,10.7225151062012,10.7774467468262,0.976577401161194,0.987258732318878,0.982681035995483,0.984206914901733
25,1.1551079750061,1.02540624141693,10.8186464309692,10.7286186218262,0.975051522254944,0.988784611225128,0.981155097484589,0.987258732318878
