Test Report 


Serial Number: A-AB2
Build Config: G.02
ESP Firmware Version: 1.3.0-d
STM Firmware Version: B0.2.4s
Technician ID: jw
Mac Address: 78:21:84:43:e4:8c
Hardware ID: 265b56b2-48cf-5e81-8c34-dd8ceaba982f
Board Version: 5.5


System Fluorimeter Test:

Lowering lifter...
Heating PCR to 30°C...
Blue LED Stabilized

Ch415,Ch445,Ch480,Ch515,Ch555,Ch590,Ch630,Ch680
25,542,249,22,32,44,64,36
25,538,247,22,32,44,64,36
25,536,246,22,32,44,63,36
25,535,246,22,32,44,63,36
25,534,245,22,32,44,63,36
25,536,246,22,32,44,64,36
25,533,245,22,32,44,63,36
25,535,246,22,32,44,63,36
25,533,245,22,32,44,63,36
25,532,244,22,32,44,63,36
25,531,244,22,32,44,63,36
25,531,244,22,32,44,63,36
25,531,244,22,32,44,63,36
25,530,243,22,32,44,63,36
25,530,243,22,32,44,63,36
25,530,243,22,32,44,63,36
25,532,244,22,32,44,63,36
25,530,243,22,32,44,63,36
25,529,243,22,32,44,63,36
25,529,243,22,32,44,63,36
25,532,244,22,32,44,63,36
25,530,243,22,32,44,63,36
25,529,243,22,32,44,63,36
25,531,244,22,32,44,63,36
25,529,243,22,32,44,63,36
25,528,243,22,32,44,63,36
25,528,242,22,32,44,63,36
25,529,243,22,32,44,63,36
25,528,242,22,32,44,63,36
25,528,242,22,32,44,63,36

Passed test

Comments:
