Test Report 


Serial Number: A-AB2
Build Config: G.02
ESP Firmware Version: 1.3.0-d
STM Firmware Version: B0.2.4s
Technician ID: jw
Mac Address: 78:21:84:43:e4:8c
Hardware ID: 265b56b2-48cf-5e81-8c34-dd8ceaba982f
Board Version: 5.5


System Fluorimeter Test:

Lowering lifter...
Heating PCR to 30°C...
Blue LED Stabilized

Ch415,Ch445,Ch480,Ch515,Ch555,Ch590,Ch630,Ch680
27,679,282,21,31,42,62,37
27,676,281,21,31,42,62,37
27,675,280,21,31,42,62,37
27,674,279,21,31,42,62,37
27,673,279,21,31,42,62,37
27,672,279,21,31,42,62,37
27,674,279,21,31,42,62,37
27,672,278,21,31,42,62,37
27,671,278,21,31,42,62,37
27,669,277,21,31,42,62,37
27,669,277,21,31,42,62,37
27,669,277,21,31,42,62,37
27,668,277,21,31,42,62,37
27,667,276,21,31,42,62,37
27,667,276,21,31,42,62,36
27,666,276,21,31,42,62,36
27,667,276,21,31,42,62,36
27,666,276,21,31,42,62,36
27,666,276,21,31,42,62,36
27,668,277,21,31,42,62,37
27,666,276,21,31,42,62,36
27,665,275,21,31,42,62,36
27,664,275,21,31,42,62,36
27,665,275,21,31,42,62,36
27,664,275,21,31,41,61,36
27,663,275,21,31,41,61,36
27,663,275,21,31,41,61,36
27,663,275,21,31,41,61,36
27,665,276,21,31,42,62,36
27,666,276,21,31,42,62,37

Passed test

Comments:
