consumableId,415,445,480,515,555,590,630,680,NIR,CLR,DARK
1e9ebb6b-3695-471d-9eaf-3ec84f823de0,30,106,1330,828,271,95,60,57,29,773,0
aefcd937-0387-4e14-b26a-6a4e2b425132,26,131,1140,716,221,81,50,46,22,526,0
0621bd93-267a-4892-9b5e-d97bbaf09030,26,101,1152,712,232,82,53,51,26,653,0
7b2ab41b-5c89-4f91-9b85-55448e013e3b,29,144,1277,823,245,90,59,52,27,624,0
5d92ce93-ca4e-4669-8674-f6a73f456fb8,23,82,1008,634,203,72,47,42,24,690,0
752398f6-f8be-4225-a290-1830d92f35bc,28,153,1287,819,250,89,58,52,26,630,0
dcf799f9-924f-4a30-b8fe-4ef180999fca,25,142,1207,762,236,83,55,49,26,619,0
9c19926f-0dbd-4b29-9049-52148a740be9,20,70,968,585,197,64,42,41,22,585,0
1ad72469-7b58-4c49-b10d-0aa6ea2ea656,27,82,1255,738,247,83,54,53,27,663,0
3680ce49-08af-4b22-9fc3-25632b1da392,29,140,1292,823,250,90,59,52,28,674,0
