consumableId,415,445,480,515,555,590,630,680,NIR,CLR,DARK
1e9ebb6b-3695-471d-9eaf-3ec84f823de0,30,30.2,30.2,30,30.2,30.2,30,30.2,30.4,30.2,null
aefcd937-0387-4e14-b26a-6a4e2b425132,31.2,34.1,30.9,30.8,30.9,30.9,31.2,31.2,31,31,null
0621bd93-267a-4892-9b5e-d97bbaf09030,30.2,29.1,30.4,30.5,30.5,30.9,30.2,30.5,30.4,30.8,null
7b2ab41b-5c89-4f91-9b85-55448e013e3b,31,32.9,30.5,30.2,30.2,30.6,30.9,30.8,30.2,30.8,null
5d92ce93-ca4e-4669-8674-f6a73f456fb8,31,31,30.9,30.8,30.9,31.5,30.4,31.2,30.9,31,null
752398f6-f8be-4225-a290-1830d92f35bc,30,30.6,30,30,30.2,30.2,29.9,30,30.2,29.9,null
dcf799f9-924f-4a30-b8fe-4ef180999fca,30.5,32.4,30.4,30.2,30.4,30.5,30.4,30.7,30.2,30.2,null
9c19926f-0dbd-4b29-9049-52148a740be9,30.4,30.7,30.2,30.2,30.2,30.2,29.9,30,29.7,30.2,null
1ad72469-7b58-4c49-b10d-0aa6ea2ea656,29.9,28,30.2,30,30.2,30,29.9,30,29.4,29.7,null
3680ce49-08af-4b22-9fc3-25632b1da392,29.9,24.1,30.2,30.2,30.4,30.4,30.4,30.4,30.4,30.2,null
