(8625944) systemRequestStateChange: System State Transition WARNING -> ERROR
(8625944) blePeriphNotifySubscription: ENTER NOTIFY
(8625947) systemRequestStateChange: Notify exit state change
***PCR ON***
[91]PCR TEC set to 50°C
(8631203) _setPcrTecTempC: TEC Set Temp 50.000000
(8631204) _resetThermalControlState: RESET Peltier 1 control state
(8631208) thermalControlSetTargetTempC: [1] MAX RAMPING  goto 50.0
(8631215) _setThermalControlState: thermalControl-1: changing state 3->1
(8631222) tecCurvePredictorSetHoldPower: holdPower is NaN
(8631228) thermalControlSetEnable: Enabling Peltier 1
(8631251) TC: TC-1 = 22.24, modeled = 21.48, target = 50.00, heatSink = -86.28, output = 50.0, timeout = 0, exptTempC = 50.00, TecRate = 0.191
(8631401) TC: TC-1 = 22.27, modeled = 21.51, target = 50.00, heatSink = -86.54, output = 100.0, timeout = 150, exptTempC = 50.00, TecRate = 0.191
(8631552) TC: TC-1 = 22.29, modeled = 21.54, target = 50.00, heatSink = -86.82, output = 100.0, timeout = 300, exptTempC = 50.00, TecRate = 0.190
(8631708) TC: TC-1 = 22.31, modeled = 21.57, target = 50.00, heatSink = -86.74, output = 100.0, timeout = 450, exptTempC = 50.00, TecRate = 0.176
(8631851) TC: TC-1 = 22.34, modeled = 21.60, target = 50.00, heatSink = -86.24, output = 100.0, timeout = 600, exptTempC = 50.00, TecRate = 0.184
(8632004) TC: TC-1 = 22.36, modeled = 21.62, target = 50.00, heatSink = -85.78, output = 100.0, timeout = 750, exptTempC = 50.00, TecRate = 0.187
(8632152) TC: TC-1 = 22.39, modeled = 21.65, target = 50.00, heatSink = -86.32, output = 100.0, timeout = 900, exptTempC = 50.00, TecRate = 0.183
(8632303) TC: TC-1 = 22.41, modeled = 21.68, target = 50.00, heatSink = -86.82, output = 100.0, timeout = 1050, exptTempC = 50.00, TecRate = 0.186
(8632458) TC: TC-1 = 22.45, modeled = 21.71, target = 50.00, heatSink = -86.74, output = 100.0, timeout = 1200, exptTempC = 50.00, TecRate = 0.193
(8632605) TC: TC-1 = 22.47, modeled = 21.73, target = 50.00, heatSink = -86.54, output = 100.0, timeout = 1350, exptTempC = 50.00, TecRate = 0.191
(8632754) TC: TC-1 = 22.51, modeled = 21.76, target = 50.00, heatSink = -86.35, output = 100.0, timeout = 1500, exptTempC = 50.00, TecRate = 0.196
(8632906) TC: TC-1 = 22.54, modeled = 21.79, target = 50.00, heatSink = -86.20, output = 100.0, timeout = 1650, exptTempC = 50.00, TecRate = 0.198
(8633055) TC: TC-1 = 22.57, modeled = 21.82, target = 50.00, heatSink = -86.66, output = 100.0, timeout = 1800, exptTempC = 50.00, TecRate = 0.202
(8633208) TC: TC-1 = 22.64, modeled = 21.86, target = 50.00, heatSink = -86.70, output = 100.0, timeout = 1950, exptTempC = 50.00, TecRate = 0.234
(8633365) TC: TC-1 = 22.75, modeled = 21.90, target = 50.00, heatSink = -86.70, output = 100.0, timeout = 2100, exptTempC = 50.00, TecRate = 0.281
(8633507) TC: TC-1 = 23.32, modeled = 21.99, target = 50.00, heatSink = -86.35, output = 100.0, timeout = 2250, exptTempC = 50.00, TecRate = 0.770
(8633659) TC: TC-1 = 24.53, modeled = 22.19, target = 50.00, heatSink = -86.35, output = 100.0, timeout = 2400, exptTempC = 50.00, TecRate = 1.644
(8633808) TC: TC-1 = 26.26, modeled = 22.54, target = 50.00, heatSink = -86.50, output = 100.0, timeout = 2550, exptTempC = 50.00, TecRate = 2.721
(8633960) TC: TC-1 = 28.38, modeled = 23.06, target = 50.00, heatSink = -86.39, output = 100.0, timeout = 2700, exptTempC = 50.00, TecRate = 3.893
(8634114) TC: TC-1 = 30.76, modeled = 23.76, target = 50.00, heatSink = -86.58, output = 100.0, timeout = 2850, exptTempC = 50.00, TecRate = 5.027
(8634266) TC: TC-1 = 32.42, modeled = 24.54, target = 50.00, heatSink = -86.58, output = 100.0, timeout = 3000, exptTempC = 50.00, TecRate = 5.413
(8634411) TC: TC-1 = 34.93, modeled = 25.45, target = 50.00, heatSink = -86.66, output = 100.0, timeout = 3150, exptTempC = 50.00, TecRate = 6.361
(8634560) TC: TC-1 = 37.43, modeled = 26.48, target = 50.00, heatSink = -86.08, output = 100.0, timeout = 3300, exptTempC = 50.00, TecRate = 7.125
(8634711) TC: TC-1 = 39.86, modeled = 27.61, target = 50.00, heatSink = -86.28, output = 100.0, timeout = 3450, exptTempC = 50.00, TecRate = 7.709
(8634860) TC: TC-1 = 42.24, modeled = 28.81, target = 50.00, heatSink = -86.54, output = 100.0, timeout = 3600, exptTempC = 50.00, TecRate = 8.148
(8635014) TC: TC-1 = 44.52, modeled = 30.06, target = 50.00, heatSink = -86.54, output = 100.0, timeout = 3750, exptTempC = 50.00, TecRate = 8.453
(8635170) TC: TC-1 = 46.00, modeled = 31.31, target = 50.00, heatSink = -86.43, output = 100.0, timeout = 3900, exptTempC = 50.00, TecRate = 7.788
(8635314) TC: TC-1 = 48.15, modeled = 32.55, target = 50.00, heatSink = -86.50, output = 100.0, timeout = 4050, exptTempC = 50.00, TecRate = 8.326
(8635465) TC: TC-1 = 50.17, modeled = 33.81, target = 50.00, heatSink = -86.35, output = 100.0, timeout = 4200, exptTempC = 50.00, TecRate = 8.433
(8635615) TC: TC-1 = 52.05, modeled = 35.07, target = 50.00, heatSink = -86.66, output = 100.0, timeout = 4350, exptTempC = 50.00, TecRate = 8.415
(8635765) TC: TC-1 = 53.85, modeled = 36.33, target = 50.00, heatSink = -86.62, output = 100.0, timeout = 4500, exptTempC = 50.00, TecRate = 8.380
(8635920) TC: TC-1 = 55.61, modeled = 37.58, target = 50.00, heatSink = -86.86, output = 100.0, timeout = 4650, exptTempC = 50.00, TecRate = 8.317
(8636066) TC: TC-1 = 56.79, modeled = 38.77, target = 50.00, heatSink = -86.66, output = 100.0, timeout = 4800, exptTempC = 50.00, TecRate = 7.872
(8636215) TC: TC-1 = 58.63, modeled = 39.96, target = 50.00, heatSink = -86.39, output = 100.0, timeout = 4950, exptTempC = 50.00, TecRate = 8.002
(8636367) TC: TC-1 = 60.36, modeled = 41.16, target = 50.00, heatSink = -86.39, output = 100.0, timeout = 5100, exptTempC = 50.00, TecRate = 8.012
(8636515) TC: TC-1 = 61.99, modeled = 42.36, target = 50.00, heatSink = -86.70, output = 100.0, timeout = 5250, exptTempC = 50.00, TecRate = 7.952
(8636669) TC: TC-1 = 63.52, modeled = 43.54, target = 50.00, heatSink = -86.58, output = 100.0, timeout = 5400, exptTempC = 50.00, TecRate = 7.849
(8636824) TC: TC-1 = 64.50, modeled = 44.68, target = 50.00, heatSink = -86.62, output = 100.0, timeout = 5550, exptTempC = 50.00, TecRate = 7.152
(8636969) TC: TC-1 = 65.95, modeled = 45.78, target = 50.00, heatSink = -86.58, output = 100.0, timeout = 5700, exptTempC = 50.00, TecRate = 7.313
(8637119) TC: TC-1 = 67.28, modeled = 46.87, target = 50.00, heatSink = -86.12, output = 100.0, timeout = 5850, exptTempC = 50.00, TecRate = 7.194
(8637274) TC: TC-1 = 68.52, modeled = 47.93, target = 50.00, heatSink = -86.16, output = -50.0, timeout = 5950, exptTempC = 50.00, TecRate = 7.037
(8637425) TC: TC-1 = 69.70, modeled = 48.97, target = 50.00, heatSink = -86.54, output = -100.0, timeout = 6100, exptTempC = 50.00, TecRate = 6.886
(8637580) TC: TC-1 = 70.84, modeled = 49.99, target = 50.00, heatSink = -86.47, output = -100.0, timeout = 6250, exptTempC = 50.00, TecRate = 6.733
(8637731) TC: TC-1 = 71.57, modeled = 50.94, target = 50.00, heatSink = -86.59, output = -100.0, timeout = 6400, exptTempC = 50.00, TecRate = 6.311
(8637875) _thermalBrakeCheck: HEATING MAX RAMP: SWITCH to STEADY STATE - THERMAL BRAKE! model: 51.879929, threshold: 50.200001
(8637878) TC: TC-1 = 72.62, modeled = 51.88, target = 50.00, heatSink = -85.89, output = -100.0, timeout = 6550, exptTempC = 50.00, TecRate = 6.203
(8637913) _setThermalControlState: thermalControl-1: changing state 1->3
(8637914) _setTempReachedCallback: Set Temp Reached
(8638020) TC: TC-1 = 73.56, modeled = 52.79, target = 50.00, heatSink = -85.90, output = -73.8, timeout = 6700, exptTempC = 50.00, TecRate = 6.028
(8638169) TC: TC-1 = 74.46, modeled = 53.68, target = 50.00, heatSink = -86.62, output = -100.0, timeout = 6850, exptTempC = 50.00, TecRate = 5.876
(8638323) TC: TC-1 = 75.33, modeled = 54.55, target = 50.00, heatSink = -86.39, output = -100.0, timeout = 7000, exptTempC = 50.00, TecRate = 5.723
(8638471) TC: TC-1 = 75.88, modeled = 55.37, target = 50.00, heatSink = -86.43, output = -100.0, timeout = 7150, exptTempC = 50.00, TecRate = 5.245
(8638621) TC: TC-1 = 76.70, modeled = 56.17, target = 50.00, heatSink = -86.35, output = -100.0, timeout = 7300, exptTempC = 50.00, TecRate = 5.272
(8638770) TC: TC-1 = 77.45, modeled = 56.95, target = 50.00, heatSink = -86.05, output = -100.0, timeout = 7450, exptTempC = 50.00, TecRate = 5.152
(8638921) TC: TC-1 = 78.18, modeled = 57.71, target = 50.00, heatSink = -86.59, output = -100.0, timeout = 7600, exptTempC = 50.00, TecRate = 5.038
(8639070) TC: TC-1 = 78.87, modeled = 58.45, target = 50.00, heatSink = -86.70, output = -100.0, timeout = 7750, exptTempC = 50.00, TecRate = 4.919
(8639230) TC: TC-1 = 79.53, modeled = 59.18, target = 50.00, heatSink = -86.43, output = -100.0, timeout = 7900, exptTempC = 50.00, TecRate = 4.807
(8639376) TC: TC-1 = 79.97, modeled = 59.87, target = 50.00, heatSink = -86.47, output = -100.0, timeout = 8050, exptTempC = 50.00, TecRate = 4.555
(8639525) TC: TC-1 = 80.63, modeled = 60.55, target = 50.00, heatSink = -86.16, output = -100.0, timeout = 8200, exptTempC = 50.00, TecRate = 4.503
(8639676) TC: TC-1 = 81.21, modeled = 61.21, target = 50.00, heatSink = -86.50, output = -100.0, timeout = 8350, exptTempC = 50.00, TecRate = 4.395
(8639826) TC: TC-1 = 81.73, modeled = 61.86, target = 50.00, heatSink = -86.66, output = -100.0, timeout = 8500, exptTempC = 50.00, TecRate = 4.272
(8639978) TC: TC-1 = 82.25, modeled = 62.49, target = 50.00, heatSink = -86.46, output = -100.0, timeout = 8650, exptTempC = 50.00, TecRate = 4.176
(8640128) TC: TC-1 = 82.59, modeled = 63.10, target = 50.00, heatSink = -86.54, output = -100.0, timeout = 8800, exptTempC = 50.00, TecRate = 3.882
(8640277) TC: TC-1 = 83.10, modeled = 63.69, target = 50.00, heatSink = -86.94, output = -100.0, timeout = 8950, exptTempC = 50.00, TecRate = 3.904
(8640429) TC: TC-1 = 83.57, modeled = 64.27, target = 50.00, heatSink = -85.95, output = -100.0, timeout = 9100, exptTempC = 50.00, TecRate = 3.826
(8640577) TC: TC-1 = 84.01, modeled = 64.83, target = 50.00, heatSink = -86.39, output = -100.0, timeout = 9250, exptTempC = 50.00, TecRate = 3.744
(8640728) TC: TC-1 = 84.44, modeled = 65.39, target = 50.00, heatSink = -86.70, output = -100.0, timeout = 9400, exptTempC = 50.00, TecRate = 3.669
(8640882) TC: TC-1 = 84.84, modeled = 65.93, target = 50.00, heatSink = -86.43, output = -100.0, timeout = 9550, exptTempC = 50.00, TecRate = 3.587
(8641029) TC: TC-1 = 85.10, modeled = 66.45, target = 50.00, heatSink = -86.35, output = -100.0, timeout = 9700, exptTempC = 50.00, TecRate = 3.414
(8641178) TC: TC-1 = 85.51, modeled = 66.96, target = 50.00, heatSink = -86.66, output = -100.0, timeout = 9850, exptTempC = 50.00, TecRate = 3.392
(8641329) TC: TC-1 = 85.89, modeled = 67.46, target = 50.00, heatSink = -86.47, output = -100.0, timeout = 10000, exptTempC = 50.00, TecRate = 3.333
(8641479) TC: TC-1 = 86.23, modeled = 67.95, target = 50.00, heatSink = -86.50, output = -100.0, timeout = 10150, exptTempC = 50.00, TecRate = 3.255
