(7559155) systemRequestStateChange: System State Transition WARNING -> ERROR
(7559155) blePeriphNotifySubscription: ENTER NOTIFY
(7559158) systemRequestStateChange: Notify exit state change
***PCR ON***
[71]PCR TEC set to 50°C
(7587264) _setPcrTecTempC: TEC Set Temp 50.000000
(7587265) _resetThermalControlState: RESET Peltier 1 control state
(7587269) thermalControlSetTargetTempC: [1] MAX RAMPING  goto 50.0
(7587276) _setThermalControlState: thermalControl-1: changing state 3->1
(7587283) tecCurvePredictorSetHoldPower: holdPower is NaN
(7587289) thermalControlSetEnable: Enabling Peltier 1
(7587382) TC: TC-1 = 21.32, modeled = 21.31, target = 50.00, heatSink = -85.82, output = 100.0, timeout = 100, exptTempC = 50.00, TecRate = 0.038
(7587533) TC: TC-1 = 21.33, modeled = 21.31, target = 50.00, heatSink = -85.79, output = 100.0, timeout = 250, exptTempC = 50.00, TecRate = 0.038
(7587681) TC: TC-1 = 21.34, modeled = 21.32, target = 50.00, heatSink = -85.97, output = 100.0, timeout = 400, exptTempC = 50.00, TecRate = 0.044
(7587841) TC: TC-1 = 21.35, modeled = 21.32, target = 50.00, heatSink = -85.97, output = 100.0, timeout = 550, exptTempC = 50.00, TecRate = 0.043
(7587988) TC: TC-1 = 21.35, modeled = 21.33, target = 50.00, heatSink = -86.01, output = 100.0, timeout = 700, exptTempC = 50.00, TecRate = 0.042
(7588137) TC: TC-1 = 21.36, modeled = 21.34, target = 50.00, heatSink = -85.64, output = 100.0, timeout = 850, exptTempC = 50.00, TecRate = 0.046
(7588287) TC: TC-1 = 21.37, modeled = 21.34, target = 50.00, heatSink = -85.46, output = 100.0, timeout = 1000, exptTempC = 50.00, TecRate = 0.045
(7588438) TC: TC-1 = 21.38, modeled = 21.35, target = 50.00, heatSink = -86.01, output = 100.0, timeout = 1150, exptTempC = 50.00, TecRate = 0.049
(7588588) TC: TC-1 = 21.39, modeled = 21.36, target = 50.00, heatSink = -85.83, output = 100.0, timeout = 1300, exptTempC = 50.00, TecRate = 0.049
(7588746) TC: TC-1 = 21.40, modeled = 21.37, target = 50.00, heatSink = -86.01, output = 100.0, timeout = 1450, exptTempC = 50.00, TecRate = 0.050
(7588893) TC: TC-1 = 21.40, modeled = 21.37, target = 50.00, heatSink = -86.04, output = 100.0, timeout = 1600, exptTempC = 50.00, TecRate = 0.047
(7589042) TC: TC-1 = 21.41, modeled = 21.38, target = 50.00, heatSink = -85.61, output = 100.0, timeout = 1750, exptTempC = 50.00, TecRate = 0.046
(7589194) TC: TC-1 = 21.41, modeled = 21.39, target = 50.00, heatSink = -85.46, output = 100.0, timeout = 1900, exptTempC = 50.00, TecRate = 0.044
(7589343) TC: TC-1 = 21.41, modeled = 21.39, target = 50.00, heatSink = -85.97, output = 100.0, timeout = 2050, exptTempC = 50.00, TecRate = 0.043
(7589497) TC: TC-1 = 21.42, modeled = 21.40, target = 50.00, heatSink = -85.82, output = 100.0, timeout = 2200, exptTempC = 50.00, TecRate = 0.045
