***PCR ON***
[60]PCR TEC set to 50°C
(4352690) _setPcrTecTempC: TEC Set Temp 50.000000
(4352691) _applyThermalBrakeUpdate: Worst Temp: 97.022705
(4352694) _updateInertiaCompensation: overshoot: 47.022705, updatedComp: 47.022705, atIndex: 4 atTemp: 50.0
(4352705) _resetThermalControlState: RESET Peltier 1 control state
(4352711) thermalControlSetTargetTempC: [1] MAX RAMPING  goto 50.0
(4352719) _setThermalControlState: thermalControl-1: changing state 3->1
(4352726) tecCurvePredictorSetHoldPower: hold power: -154627.453125 filtered: -130606.437500 temp: 23.575153
(4352737) thermalControlSetEnable: Enabling Peltier 1
(4352745) _findInertiaCompensation: Inertia Compensation is too large: 47.022705
(4352751) _findInertiaCompensation: Resetting IC to 0...
(4352757) taskMonitor_task: Task Thermal Control Task hasn't checked in for 100 ms
(4352765) stashException: Exception Stashed (0x0B1E1)
(4352773) printException: ************
(4352776) printException: Error Code:  (0x0000B1E1)
(4352782) thermalControlTask: thermal control sleep.
(4352787) printException: Originator:   (0x0B)  System
(4352793) printException: Error Type:  (0x1E)  Inertia Compenstaion Reset
(4352801) printException: Priority:       (0x01)  Log Only
(4354768) TC: TC-1 = 23.45, modeled = 23.58, target = 50.00, heatSink = -88.26, output = 100.0, timeout = 2000, exptTempC = 50.00, TecRate = -0.000
(4354916) TC: TC-1 = 23.45, modeled = 23.58, target = 50.00, heatSink = -87.36, output = 100.0, timeout = 2150, exptTempC = 50.00, TecRate = 0.000
(4355067) TC: TC-1 = 23.45, modeled = 23.58, target = 50.00, heatSink = -88.29, output = 100.0, timeout = 2300, exptTempC = 50.00, TecRate = 0.001
(4355218) TC: TC-1 = 23.45, modeled = 23.58, target = 50.00, heatSink = -88.24, output = 100.0, timeout = 2450, exptTempC = 50.00, TecRate = 0.001
(4355375) TC: TC-1 = 23.45, modeled = 23.58, target = 50.00, heatSink = -88.42, output = 100.0, timeout = 2600, exptTempC = 50.00, TecRate = 0.002
(4355521) TC: TC-1 = 23.45, modeled = 23.58, target = 50.00, heatSink = -88.42, output = 100.0, timeout = 2750, exptTempC = 50.00, TecRate = 0.001
(4355670) TC: TC-1 = 23.45, modeled = 23.58, target = 50.00, heatSink = -87.38, output = 100.0, timeout = 2900, exptTempC = 50.00, TecRate = 0.003
(4355821) TC: TC-1 = 23.45, modeled = 23.58, target = 50.00, heatSink = -87.55, output = 100.0, timeout = 3050, exptTempC = 50.00, TecRate = 0.001
(4355972) TC: TC-1 = 23.45, modeled = 23.58, target = 50.00, heatSink = -88.20, output = 100.0, timeout = 3200, exptTempC = 50.00, TecRate = 0.001
(4356121) TC: TC-1 = 23.45, modeled = 23.58, target = 50.00, heatSink = -87.93, output = 100.0, timeout = 3350, exptTempC = 50.00, TecRate = 0.000
(4356280) TC: TC-1 = 23.45, modeled = 23.58, target = 50.00, heatSink = -88.28, output = 100.0, timeout = 3500, exptTempC = 50.00, TecRate = 0.000
(4356431) TC: TC-1 = 23.45, modeled = 23.58, target = 50.00, heatSink = -87.83, output = 100.0, timeout = 3650, exptTempC = 50.00, TecRate = -0.000
(4356577) TC: TC-1 = 23.45, modeled = 23.58, target = 50.00, heatSink = -88.24, output = 100.0, timeout = 3800, exptTempC = 50.00, TecRate = 0.003
(4356727) TC: TC-1 = 23.45, modeled = 23.58, target = 50.00, heatSink = -87.67, output = 100.0, timeout = 3950, exptTempC = 50.00, TecRate = 0.004
(4356878) TC: TC-1 = 23.45, modeled = 23.58, target = 50.00, heatSink = -88.29, output = 100.0, timeout = 4100, exptTempC = 50.00, TecRate = 0.004
(4357027) TC: TC-1 = 23.46, modeled = 23.58, target = 50.00, heatSink = -87.62, output = 100.0, timeout = 4250, exptTempC = 50.00, TecRate = 0.006
(4357180) TC: TC-1 = 23.46, modeled = 23.58, target = 50.00, heatSink = -88.20, output = 100.0, timeout = 4400, exptTempC = 50.00, TecRate = 0.012
(4357329) TC: TC-1 = 23.47, modeled = 23.58, target = 50.00, heatSink = -88.34, output = 100.0, timeout = 4550, exptTempC = 50.00, TecRate = 0.019
