(9192059) systemRequestStateChange: System State Transition WARNING -> ERROR
(9192059) blePeriphNotifySubscription: ENTER NOTIFY
(9192062) systemRequestStateChange: Notify exit state change
***PCR ON***
[99]PCR TEC set to 50°C
(9203218) _setPcrTecTempC: TEC Set Temp 50.000000
(9203219) _resetThermalControlState: RESET Peltier 1 control state
(9203223) thermalControlSetTargetTempC: [1] MAX RAMPING  goto 50.0
(9203230) _setThermalControlState: thermalControl-1: changing state 3->1
(9203237) tecCurvePredictorSetHoldPower: holdPower is NaN
(9203243) thermalControlSetEnable: Enabling Peltier 1
(9208607) TC: TC-1 = 66.77, modeled = 45.25, target = 50.00, heatSink = -86.27, output = 100.0, timeout = 5350, exptTempC = 50.00, TecRate = 7.890
(9208764) TC: TC-1 = 67.70, modeled = 46.38, target = 50.00, heatSink = -86.19, output = 50.0, timeout = 5500, exptTempC = 50.00, TecRate = 7.412
(9208908) TC: TC-1 = 69.09, modeled = 47.48, target = 50.00, heatSink = -86.05, output = -100.0, timeout = 5600, exptTempC = 50.00, TecRate = 7.347
(9209060) TC: TC-1 = 70.38, modeled = 48.57, target = 50.00, heatSink = -85.71, output = -100.0, timeout = 5750, exptTempC = 50.00, TecRate = 7.225
(9209209) TC: TC-1 = 71.62, modeled = 49.64, target = 50.00, heatSink = -86.08, output = -100.0, timeout = 5900, exptTempC = 50.00, TecRate = 7.091
(9209362) TC: TC-1 = 72.79, modeled = 50.69, target = 50.00, heatSink = -86.31, output = -100.0, timeout = 6050, exptTempC = 50.00, TecRate = 6.943
(9209517) TC: TC-1 = 73.54, modeled = 51.69, target = 50.00, heatSink = -86.39, output = -100.0, timeout = 6200, exptTempC = 50.00, TecRate = 6.348
(9209568) _thermalBrakeCheck: HEATING MAX RAMP: SWITCH to STEADY STATE - THERMAL BRAKE! model: 52.017994, threshold: 50.200001
(9209599) _setThermalControlState: thermalControl-1: changing state 1->3
(9209599) _setTempReachedCallback: Set Temp Reached
(9209657) TC: TC-1 = 74.62, modeled = 52.66, target = 50.00, heatSink = -86.27, output = -72.7, timeout = 6350, exptTempC = 50.00, TecRate = 6.398
(9209807) TC: TC-1 = 75.65, modeled = 53.61, target = 50.00, heatSink = -85.90, output = -100.0, timeout = 6500, exptTempC = 50.00, TecRate = 6.293
(9209955) TC: TC-1 = 76.64, modeled = 54.54, target = 50.00, heatSink = -86.12, output = -100.0, timeout = 6650, exptTempC = 50.00, TecRate = 6.167
(9210105) TC: TC-1 = 77.53, modeled = 55.45, target = 50.00, heatSink = -86.05, output = -100.0, timeout = 6800, exptTempC = 50.00, TecRate = 5.993
(9210256) TC: TC-1 = 78.40, modeled = 56.33, target = 50.00, heatSink = -86.16, output = -100.0, timeout = 6950, exptTempC = 50.00, TecRate = 5.846
(9210406) TC: TC-1 = 78.96, modeled = 57.18, target = 50.00, heatSink = -86.08, output = -100.0, timeout = 7100, exptTempC = 50.00, TecRate = 5.381
(9210555) TC: TC-1 = 79.79, modeled = 58.00, target = 50.00, heatSink = -86.19, output = -100.0, timeout = 7250, exptTempC = 50.00, TecRate = 5.414
(9210706) TC: TC-1 = 80.59, modeled = 58.80, target = 50.00, heatSink = -86.04, output = -100.0, timeout = 7400, exptTempC = 50.00, TecRate = 5.331
(9210855) TC: TC-1 = 81.33, modeled = 59.59, target = 50.00, heatSink = -86.16, output = -100.0, timeout = 7550, exptTempC = 50.00, TecRate = 5.209
(9211006) TC: TC-1 = 82.03, modeled = 60.36, target = 50.00, heatSink = -86.35, output = -100.0, timeout = 7700, exptTempC = 50.00, TecRate = 5.087
(9211161) TC: TC-1 = 82.74, modeled = 61.11, target = 50.00, heatSink = -86.31, output = -100.0, timeout = 7850, exptTempC = 50.00, TecRate = 5.007
(9211307) TC: TC-1 = 83.20, modeled = 61.83, target = 50.00, heatSink = -86.02, output = -100.0, timeout = 8000, exptTempC = 50.00, TecRate = 4.746
(9211456) TC: TC-1 = 83.82, modeled = 62.53, target = 50.00, heatSink = -85.61, output = -100.0, timeout = 8150, exptTempC = 50.00, TecRate = 4.650
(9211607) TC: TC-1 = 84.40, modeled = 63.22, target = 50.00, heatSink = -86.27, output = -100.0, timeout = 8300, exptTempC = 50.00, TecRate = 4.540
(9211757) TC: TC-1 = 84.95, modeled = 63.89, target = 50.00, heatSink = -86.23, output = -100.0, timeout = 8450, exptTempC = 50.00, TecRate = 4.435
(9211909) TC: TC-1 = 85.49, modeled = 64.55, target = 50.00, heatSink = -86.54, output = -100.0, timeout = 8600, exptTempC = 50.00, TecRate = 4.338
(9212059) TC: TC-1 = 85.84, modeled = 65.18, target = 50.00, heatSink = -86.54, output = -100.0, timeout = 8750, exptTempC = 50.00, TecRate = 4.043
(9212209) TC: TC-1 = 86.35, modeled = 65.79, target = 50.00, heatSink = -86.20, output = -100.0, timeout = 8900, exptTempC = 50.00, TecRate = 4.054
(9212359) TC: TC-1 = 86.85, modeled = 66.39, target = 50.00, heatSink = -85.86, output = -100.0, timeout = 9050, exptTempC = 50.00, TecRate = 3.995
(9212510) TC: TC-1 = 87.30, modeled = 66.98, target = 50.00, heatSink = -86.39, output = -100.0, timeout = 9200, exptTempC = 50.00, TecRate = 3.906
(9212660) TC: TC-1 = 87.73, modeled = 67.56, target = 50.00, heatSink = -86.20, output = -100.0, timeout = 9350, exptTempC = 50.00, TecRate = 3.818
(9212817) TC: TC-1 = 88.16, modeled = 68.13, target = 50.00, heatSink = -86.39, output = -100.0, timeout = 9500, exptTempC = 50.00, TecRate = 3.752
(9212964) TC: TC-1 = 88.43, modeled = 68.67, target = 50.00, heatSink = -86.46, output = -100.0, timeout = 9650, exptTempC = 50.00, TecRate = 3.574
