***Stage1 ON***
[69]TC TEC set to 50°C
(3195105) _setStage1TecTempC: TEC Set Temp 50.000000
(3195106) _resetThermalControlState: RESET Peltier 0 control state
(3195110) thermalControlSetTargetTempC: [0] MAX RAMPING  goto 50.0
(3195117) _setThermalControlState: thermalControl-0: changing state 3->1
(3195124) tecCurvePredictorSetHoldPower: Not setting hold Power for ST1
(3195132) thermalControlSetEnable: Enabling Peltier 0
(3195143) TC: TC-0 = 19.99, modeled = 11.22, target = 50.00, heatSink = -86.43, output = 50.0, timeout = 0, exptTempC = 50.00, TecRate = 0.189
(3195281) TC: TC-0 = 20.00, modeled = 11.25, target = 50.00, heatSink = -86.19, output = 100.0, timeout = 150, exptTempC = 50.00, TecRate = 0.189
(3195438) TC: TC-0 = 20.01, modeled = 11.28, target = 50.00, heatSink = -86.31, output = 100.0, timeout = 300, exptTempC = 50.00, TecRate = 0.188
(3195585) TC: TC-0 = 20.02, modeled = 11.31, target = 50.00, heatSink = -86.27, output = 100.0, timeout = 450, exptTempC = 50.00, TecRate = 0.188
(3195735) TC: TC-0 = 20.03, modeled = 11.34, target = 50.00, heatSink = -86.04, output = 100.0, timeout = 600, exptTempC = 50.00, TecRate = 0.187
(3195884) TC: TC-0 = 20.04, modeled = 11.36, target = 50.00, heatSink = -86.24, output = 100.0, timeout = 750, exptTempC = 50.00, TecRate = 0.187
(3196034) TC: TC-0 = 20.05, modeled = 11.39, target = 50.00, heatSink = -86.50, output = 100.0, timeout = 900, exptTempC = 50.00, TecRate = 0.186
(3196186) TC: TC-0 = 20.06, modeled = 11.42, target = 50.00, heatSink = -86.23, output = 100.0, timeout = 1050, exptTempC = 50.00, TecRate = 0.186
(3196341) TC: TC-0 = 20.07, modeled = 11.45, target = 50.00, heatSink = -86.31, output = 100.0, timeout = 1200, exptTempC = 50.00, TecRate = 0.185
(3196485) TC: TC-0 = 20.08, modeled = 11.48, target = 50.00, heatSink = -86.31, output = 100.0, timeout = 1350, exptTempC = 50.00, TecRate = 0.185
(3196636) TC: TC-0 = 20.10, modeled = 11.50, target = 50.00, heatSink = -86.01, output = 100.0, timeout = 1500, exptTempC = 50.00, TecRate = 0.185
(3196786) TC: TC-0 = 20.11, modeled = 11.53, target = 50.00, heatSink = -86.39, output = 100.0, timeout = 1650, exptTempC = 50.00, TecRate = 0.184
(3196937) TC: TC-0 = 20.12, modeled = 11.56, target = 50.00, heatSink = -86.43, output = 100.0, timeout = 1800, exptTempC = 50.00, TecRate = 0.184
(3197088) TC: TC-0 = 20.14, modeled = 11.59, target = 50.00, heatSink = -86.19, output = 100.0, timeout = 1950, exptTempC = 50.00, TecRate = 0.184
(3197242) TC: TC-0 = 20.16, modeled = 11.61, target = 50.00, heatSink = -86.39, output = 100.0, timeout = 2100, exptTempC = 50.00, TecRate = 0.183
(3197387) TC: TC-0 = 20.18, modeled = 11.64, target = 50.00, heatSink = -86.35, output = 100.0, timeout = 2250, exptTempC = 50.00, TecRate = 0.183
(3197538) TC: TC-0 = 20.21, modeled = 11.67, target = 50.00, heatSink = -85.97, output = 100.0, timeout = 2400, exptTempC = 50.00, TecRate = 0.183
(3197688) TC: TC-0 = 20.34, modeled = 11.70, target = 50.00, heatSink = -86.43, output = 100.0, timeout = 2550, exptTempC = 50.00, TecRate = 0.185
(3197838) TC: TC-0 = 20.72, modeled = 11.72, target = 50.00, heatSink = -86.54, output = 100.0, timeout = 2700, exptTempC = 50.00, TecRate = 0.191
(3197990) TC: TC-0 = 21.22, modeled = 11.75, target = 50.00, heatSink = -86.27, output = 100.0, timeout = 2850, exptTempC = 50.00, TecRate = 0.200
(3198139) TC: TC-0 = 21.54, modeled = 11.78, target = 50.00, heatSink = -86.50, output = 100.0, timeout = 3000, exptTempC = 50.00, TecRate = 0.205
(3198289) TC: TC-0 = 22.09, modeled = 11.82, target = 50.00, heatSink = -86.05, output = 100.0, timeout = 3150, exptTempC = 50.00, TecRate = 0.215
(3198439) TC: TC-0 = 22.77, modeled = 11.85, target = 50.00, heatSink = -86.12, output = 100.0, timeout = 3300, exptTempC = 50.00, TecRate = 0.227
(3198589) TC: TC-0 = 23.59, modeled = 11.89, target = 50.00, heatSink = -86.47, output = 100.0, timeout = 3450, exptTempC = 50.00, TecRate = 0.242
(3198740) TC: TC-0 = 24.50, modeled = 11.92, target = 50.00, heatSink = -86.51, output = 100.0, timeout = 3600, exptTempC = 50.00, TecRate = 0.259
(3198893) TC: TC-0 = 25.48, modeled = 11.96, target = 50.00, heatSink = -86.43, output = 100.0, timeout = 3750, exptTempC = 50.00, TecRate = 0.277
(3199042) TC: TC-0 = 26.15, modeled = 12.01, target = 50.00, heatSink = -86.58, output = 100.0, timeout = 3900, exptTempC = 50.00, TecRate = 0.289
(3199192) TC: TC-0 = 27.25, modeled = 12.05, target = 50.00, heatSink = -86.35, output = 100.0, timeout = 4050, exptTempC = 50.00, TecRate = 0.309
(3199342) TC: TC-0 = 28.37, modeled = 12.10, target = 50.00, heatSink = -86.35, output = 100.0, timeout = 4200, exptTempC = 50.00, TecRate = 0.329
(3199492) TC: TC-0 = 29.43, modeled = 12.15, target = 50.00, heatSink = -86.31, output = 100.0, timeout = 4350, exptTempC = 50.00, TecRate = 0.349
(3199642) TC: TC-0 = 30.50, modeled = 12.21, target = 50.00, heatSink = -86.39, output = 100.0, timeout = 4500, exptTempC = 50.00, TecRate = 0.369
(3199798) TC: TC-0 = 31.20, modeled = 12.26, target = 50.00, heatSink = -86.39, output = 100.0, timeout = 4650, exptTempC = 50.00, TecRate = 0.381
(3199944) TC: TC-0 = 32.27, modeled = 12.32, target = 50.00, heatSink = -86.50, output = 100.0, timeout = 4800, exptTempC = 50.00, TecRate = 0.401
(3200093) TC: TC-0 = 33.32, modeled = 12.38, target = 50.00, heatSink = -86.09, output = 100.0, timeout = 4950, exptTempC = 50.00, TecRate = 0.420
(3200243) TC: TC-0 = 34.36, modeled = 12.45, target = 50.00, heatSink = -85.97, output = 100.0, timeout = 5100, exptTempC = 50.00, TecRate = 0.439
(3200393) TC: TC-0 = 35.38, modeled = 12.52, target = 50.00, heatSink = -86.47, output = 100.0, timeout = 5250, exptTempC = 50.00, TecRate = 0.458
(3200543) TC: TC-0 = 36.38, modeled = 12.59, target = 50.00, heatSink = -86.46, output = 100.0, timeout = 5400, exptTempC = 50.00, TecRate = 0.476
(3200700) TC: TC-0 = 37.06, modeled = 12.66, target = 50.00, heatSink = -86.43, output = 100.0, timeout = 5550, exptTempC = 50.00, TecRate = 0.488
(3200844) TC: TC-0 = 38.06, modeled = 12.73, target = 50.00, heatSink = -86.35, output = 100.0, timeout = 5700, exptTempC = 50.00, TecRate = 0.506
(3200995) TC: TC-0 = 39.04, modeled = 12.81, target = 50.00, heatSink = -86.05, output = 100.0, timeout = 5850, exptTempC = 50.00, TecRate = 0.524
(3201143) TC: TC-0 = 39.97, modeled = 12.89, target = 50.00, heatSink = -86.16, output = 100.0, timeout = 6000, exptTempC = 50.00, TecRate = 0.541
(3201294) TC: TC-0 = 40.88, modeled = 12.98, target = 50.00, heatSink = -86.24, output = 100.0, timeout = 6150, exptTempC = 50.00, TecRate = 0.557
(3201444) TC: TC-0 = 41.78, modeled = 13.06, target = 50.00, heatSink = -86.32, output = 100.0, timeout = 6300, exptTempC = 50.00, TecRate = 0.574
(3201599) TC: TC-0 = 42.38, modeled = 13.15, target = 50.00, heatSink = -86.20, output = 100.0, timeout = 6450, exptTempC = 50.00, TecRate = 0.584
(3201744) TC: TC-0 = 43.26, modeled = 13.24, target = 50.00, heatSink = -86.39, output = 100.0, timeout = 6600, exptTempC = 50.00, TecRate = 0.600
(3201895) TC: TC-0 = 44.13, modeled = 13.33, target = 50.00, heatSink = -86.16, output = 100.0, timeout = 6750, exptTempC = 50.00, TecRate = 0.616
(3202044) TC: TC-0 = 45.00, modeled = 13.42, target = 50.00, heatSink = -86.16, output = 100.0, timeout = 6900, exptTempC = 50.00, TecRate = 0.631
(3202194) TC: TC-0 = 45.85, modeled = 13.52, target = 50.00, heatSink = -86.50, output = 100.0, timeout = 7050, exptTempC = 50.00, TecRate = 0.646
(3202345) TC: TC-0 = 46.67, modeled = 13.62, target = 50.00, heatSink = -86.43, output = 100.0, timeout = 7200, exptTempC = 50.00, TecRate = 0.661
(3202500) TC: TC-0 = 47.19, modeled = 13.72, target = 50.00, heatSink = -86.31, output = 100.0, timeout = 7350, exptTempC = 50.00, TecRate = 0.669
(3202645) TC: TC-0 = 47.99, modeled = 13.82, target = 50.00, heatSink = -86.31, output = 100.0, timeout = 7500, exptTempC = 50.00, TecRate = 0.683
(3202796) TC: TC-0 = 48.79, modeled = 13.92, target = 50.00, heatSink = -85.90, output = 100.0, timeout = 7650, exptTempC = 50.00, TecRate = 0.698
(3202946) TC: TC-0 = 49.55, modeled = 14.03, target = 50.00, heatSink = -86.35, output = 100.0, timeout = 7800, exptTempC = 50.00, TecRate = 0.711
(3203096) TC: TC-0 = 50.28, modeled = 14.14, target = 50.00, heatSink = -86.74, output = 100.0, timeout = 7950, exptTempC = 50.00, TecRate = 0.724
(3203248) TC: TC-0 = 51.02, modeled = 14.25, target = 50.00, heatSink = -86.27, output = 100.0, timeout = 8100, exptTempC = 50.00, TecRate = 0.736
(3203403) TC: TC-0 = 51.51, modeled = 14.36, target = 50.00, heatSink = -86.39, output = 100.0, timeout = 8250, exptTempC = 50.00, TecRate = 0.744
(3203547) TC: TC-0 = 52.20, modeled = 14.47, target = 50.00, heatSink = -86.27, output = 100.0, timeout = 8400, exptTempC = 50.00, TecRate = 0.756
(3203698) TC: TC-0 = 52.87, modeled = 14.59, target = 50.00, heatSink = -86.04, output = 100.0, timeout = 8550, exptTempC = 50.00, TecRate = 0.767
(3203848) TC: TC-0 = 53.51, modeled = 14.70, target = 50.00, heatSink = -86.24, output = 100.0, timeout = 8700, exptTempC = 50.00, TecRate = 0.778
(3203997) TC: TC-0 = 54.15, modeled = 14.82, target = 50.00, heatSink = -86.47, output = 100.0, timeout = 8850, exptTempC = 50.00, TecRate = 0.789
(3204150) TC: TC-0 = 54.77, modeled = 14.94, target = 50.00, heatSink = -86.27, output = 100.0, timeout = 9000, exptTempC = 50.00, TecRate = 0.799
(3204304) TC: TC-0 = 55.19, modeled = 15.06, target = 50.00, heatSink = -86.35, output = 100.0, timeout = 9150, exptTempC = 50.00, TecRate = 0.805
(3204449) TC: TC-0 = 55.82, modeled = 15.18, target = 50.00, heatSink = -86.31, output = 100.0, timeout = 9300, exptTempC = 50.00, TecRate = 0.816
(3204600) TC: TC-0 = 56.51, modeled = 15.30, target = 50.00, heatSink = -86.19, output = 100.0, timeout = 9450, exptTempC = 50.00, TecRate = 0.827
(3204750) TC: TC-0 = 57.16, modeled = 15.43, target = 50.00, heatSink = -86.31, output = 100.0, timeout = 9600, exptTempC = 50.00, TecRate = 0.838
(3204901) TC: TC-0 = 57.84, modeled = 15.56, target = 50.00, heatSink = -86.46, output = 100.0, timeout = 9750, exptTempC = 50.00, TecRate = 0.850
(3205051) TC: TC-0 = 58.50, modeled = 15.69, target = 50.00, heatSink = -86.31, output = 100.0, timeout = 9900, exptTempC = 50.00, TecRate = 0.861
(3205207) TC: TC-0 = 58.95, modeled = 15.82, target = 50.00, heatSink = -86.35, output = 100.0, timeout = 10050, exptTempC = 50.00, TecRate = 0.867
(3205353) TC: TC-0 = 59.60, modeled = 15.95, target = 50.00, heatSink = -86.24, output = 100.0, timeout = 10200, exptTempC = 50.00, TecRate = 0.878
(3205502) TC: TC-0 = 60.23, modeled = 16.08, target = 50.00, heatSink = -86.05, output = 100.0, timeout = 10350, exptTempC = 50.00, TecRate = 0.889
(3205652) TC: TC-0 = 60.84, modeled = 16.21, target = 50.00, heatSink = -86.28, output = 100.0, timeout = 10500, exptTempC = 50.00, TecRate = 0.899
(3205802) TC: TC-0 = 61.44, modeled = 16.35, target = 50.00, heatSink = -86.50, output = 100.0, timeout = 10650, exptTempC = 50.00, TecRate = 0.908
(3205952) TC: TC-0 = 62.00, modeled = 16.49, target = 50.00, heatSink = -86.39, output = 100.0, timeout = 10800, exptTempC = 50.00, TecRate = 0.917
(3206109) TC: TC-0 = 62.37, modeled = 16.62, target = 50.00, heatSink = -86.46, output = 100.0, timeout = 10950, exptTempC = 50.00, TecRate = 0.922
(3206253) TC: TC-0 = 62.92, modeled = 16.76, target = 50.00, heatSink = -86.46, output = 100.0, timeout = 11100, exptTempC = 50.00, TecRate = 0.931
(3206403) TC: TC-0 = 63.48, modeled = 16.90, target = 50.00, heatSink = -85.79, output = 100.0, timeout = 11250, exptTempC = 50.00, TecRate = 0.939
(3206553) TC: TC-0 = 64.01, modeled = 17.05, target = 50.00, heatSink = -86.02, output = 100.0, timeout = 11400, exptTempC = 50.00, TecRate = 0.948
(3206703) TC: TC-0 = 64.53, modeled = 17.19, target = 50.00, heatSink = -86.43, output = 100.0, timeout = 11550, exptTempC = 50.00, TecRate = 0.955
(3206855) TC: TC-0 = 65.08, modeled = 17.33, target = 50.00, heatSink = -86.23, output = 100.0, timeout = 11700, exptTempC = 50.00, TecRate = 0.964
(3207010) TC: TC-0 = 65.43, modeled = 17.48, target = 50.00, heatSink = -86.35, output = 100.0, timeout = 11850, exptTempC = 50.00, TecRate = 0.968
(3207155) TC: TC-0 = 65.91, modeled = 17.62, target = 50.00, heatSink = -86.43, output = 100.0, timeout = 12000, exptTempC = 50.00, TecRate = 0.975
(3207304) TC: TC-0 = 66.39, modeled = 17.77, target = 50.00, heatSink = -86.12, output = 100.0, timeout = 12150, exptTempC = 50.00, TecRate = 0.982
(3207454) TC: TC-0 = 66.88, modeled = 17.92, target = 50.00, heatSink = -86.43, output = 100.0, timeout = 12300, exptTempC = 50.00, TecRate = 0.989
(3207604) TC: TC-0 = 67.35, modeled = 18.07, target = 50.00, heatSink = -86.50, output = 100.0, timeout = 12450, exptTempC = 50.00, TecRate = 0.996
(3207756) TC: TC-0 = 67.82, modeled = 18.22, target = 50.00, heatSink = -86.50, output = 100.0, timeout = 12600, exptTempC = 50.00, TecRate = 1.003
(3207911) TC: TC-0 = 68.13, modeled = 18.37, target = 50.00, heatSink = -86.50, output = 100.0, timeout = 12750, exptTempC = 50.00, TecRate = 1.006
(3208055) TC: TC-0 = 68.58, modeled = 18.52, target = 50.00, heatSink = -86.47, output = 100.0, timeout = 12900, exptTempC = 50.00, TecRate = 1.013
(3208205) TC: TC-0 = 69.02, modeled = 18.67, target = 50.00, heatSink = -85.93, output = 100.0, timeout = 13050, exptTempC = 50.00, TecRate = 1.019
(3208356) TC: TC-0 = 69.46, modeled = 18.83, target = 50.00, heatSink = -86.27, output = 100.0, timeout = 13200, exptTempC = 50.00, TecRate = 1.025
(3208505) TC: TC-0 = 69.90, modeled = 18.98, target = 50.00, heatSink = -86.46, output = 100.0, timeout = 13350, exptTempC = 50.00, TecRate = 1.031
(3208658) TC: TC-0 = 70.31, modeled = 19.14, target = 50.00, heatSink = -86.50, output = 100.0, timeout = 13500, exptTempC = 50.00, TecRate = 1.036
(3208813) TC: TC-0 = 70.59, modeled = 19.29, target = 50.00, heatSink = -86.46, output = 100.0, timeout = 13650, exptTempC = 50.00, TecRate = 1.039
(3208957) TC: TC-0 = 71.00, modeled = 19.45, target = 50.00, heatSink = -86.27, output = 100.0, timeout = 13800, exptTempC = 50.00, TecRate = 1.044
(3209107) TC: TC-0 = 71.40, modeled = 19.61, target = 50.00, heatSink = -85.76, output = 100.0, timeout = 13950, exptTempC = 50.00, TecRate = 1.049
(3209257) TC: TC-0 = 71.80, modeled = 19.76, target = 50.00, heatSink = -86.35, output = 100.0, timeout = 14100, exptTempC = 50.00, TecRate = 1.054
(3209407) TC: TC-0 = 72.20, modeled = 19.92, target = 50.00, heatSink = -86.35, output = 100.0, timeout = 14250, exptTempC = 50.00, TecRate = 1.060
(3209559) TC: TC-0 = 72.58, modeled = 20.08, target = 50.00, heatSink = -86.50, output = 100.0, timeout = 14400, exptTempC = 50.00, TecRate = 1.064
(3209713) TC: TC-0 = 72.83, modeled = 20.24, target = 50.00, heatSink = -86.35, output = 100.0, timeout = 14550, exptTempC = 50.00, TecRate = 1.066
(3209858) TC: TC-0 = 73.22, modeled = 20.40, target = 50.00, heatSink = -86.20, output = 100.0, timeout = 14700, exptTempC = 50.00, TecRate = 1.071
(3210007) TC: TC-0 = 73.61, modeled = 20.56, target = 50.00, heatSink = -86.23, output = 100.0, timeout = 14850, exptTempC = 50.00, TecRate = 1.076
(3210158) TC: TC-0 = 73.97, modeled = 20.72, target = 50.00, heatSink = -86.39, output = 100.0, timeout = 15000, exptTempC = 50.00, TecRate = 1.080
(3210308) TC: TC-0 = 74.33, modeled = 20.89, target = 50.00, heatSink = -86.39, output = 100.0, timeout = 15150, exptTempC = 50.00, TecRate = 1.084
(3210462) TC: TC-0 = 74.68, modeled = 21.05, target = 50.00, heatSink = -86.39, output = 100.0, timeout = 15300, exptTempC = 50.00, TecRate = 1.088
(3210616) TC: TC-0 = 74.91, modeled = 21.21, target = 50.00, heatSink = -86.35, output = 100.0, timeout = 15450, exptTempC = 50.00, TecRate = 1.089
(3210761) TC: TC-0 = 75.25, modeled = 21.38, target = 50.00, heatSink = -86.46, output = 100.0, timeout = 15600, exptTempC = 50.00, TecRate = 1.093
(3210910) TC: TC-0 = 75.58, modeled = 21.54, target = 50.00, heatSink = -86.12, output = 100.0, timeout = 15750, exptTempC = 50.00, TecRate = 1.097
(3211060) TC: TC-0 = 75.91, modeled = 21.71, target = 50.00, heatSink = -86.16, output = 100.0, timeout = 15900, exptTempC = 50.00, TecRate = 1.100
(3211210) TC: TC-0 = 76.23, modeled = 21.87, target = 50.00, heatSink = -86.16, output = 100.0, timeout = 16050, exptTempC = 50.00, TecRate = 1.103
(3211361) TC: TC-0 = 76.55, modeled = 22.04, target = 50.00, heatSink = -86.39, output = 100.0, timeout = 16200, exptTempC = 50.00, TecRate = 1.107
(3211517) TC: TC-0 = 76.75, modeled = 22.20, target = 50.00, heatSink = -86.54, output = 100.0, timeout = 16350, exptTempC = 50.00, TecRate = 1.107
(3211663) TC: TC-0 = 77.06, modeled = 22.37, target = 50.00, heatSink = -86.50, output = 100.0, timeout = 16500, exptTempC = 50.00, TecRate = 1.110
(3211812) TC: TC-0 = 77.37, modeled = 22.54, target = 50.00, heatSink = -86.01, output = 100.0, timeout = 16650, exptTempC = 50.00, TecRate = 1.113
(3211962) TC: TC-0 = 77.66, modeled = 22.70, target = 50.00, heatSink = -85.86, output = 100.0, timeout = 16800, exptTempC = 50.00, TecRate = 1.116
(3212112) TC: TC-0 = 77.96, modeled = 22.87, target = 50.00, heatSink = -86.09, output = 100.0, timeout = 16950, exptTempC = 50.00, TecRate = 1.119
(3212262) TC: TC-0 = 78.26, modeled = 23.04, target = 50.00, heatSink = -86.50, output = 100.0, timeout = 17100, exptTempC = 50.00, TecRate = 1.121
(3212417) TC: TC-0 = 78.45, modeled = 23.21, target = 50.00, heatSink = -86.46, output = 100.0, timeout = 17250, exptTempC = 50.00, TecRate = 1.122
(3212563) TC: TC-0 = 78.73, modeled = 23.38, target = 50.00, heatSink = -86.20, output = 100.0, timeout = 17400, exptTempC = 50.00, TecRate = 1.124
(3212714) TC: TC-0 = 79.02, modeled = 23.55, target = 50.00, heatSink = -86.02, output = 100.0, timeout = 17550, exptTempC = 50.00, TecRate = 1.127
(3212863) TC: TC-0 = 79.30, modeled = 23.72, target = 50.00, heatSink = -86.39, output = 100.0, timeout = 17700, exptTempC = 50.00, TecRate = 1.129
(3213013) TC: TC-0 = 79.57, modeled = 23.88, target = 50.00, heatSink = -86.31, output = 100.0, timeout = 17850, exptTempC = 50.00, TecRate = 1.131
(3213164) TC: TC-0 = 79.83, modeled = 24.05, target = 50.00, heatSink = -86.43, output = 100.0, timeout = 18000, exptTempC = 50.00, TecRate = 1.133
(3213318) TC: TC-0 = 80.01, modeled = 24.22, target = 50.00, heatSink = -86.42, output = 100.0, timeout = 18150, exptTempC = 50.00, TecRate = 1.133
(3213464) TC: TC-0 = 80.29, modeled = 24.39, target = 50.00, heatSink = -86.27, output = 100.0, timeout = 18300, exptTempC = 50.00, TecRate = 1.135
(3213614) TC: TC-0 = 80.58, modeled = 24.57, target = 50.00, heatSink = -86.12, output = 100.0, timeout = 18450, exptTempC = 50.00, TecRate = 1.138
(3213764) TC: TC-0 = 80.83, modeled = 24.74, target = 50.00, heatSink = -86.35, output = 100.0, timeout = 18600, exptTempC = 50.00, TecRate = 1.140
(3213913) TC: TC-0 = 81.09, modeled = 24.91, target = 50.00, heatSink = -86.43, output = 100.0, timeout = 18750, exptTempC = 50.00, TecRate = 1.141
(3214066) TC: TC-0 = 81.35, modeled = 25.08, target = 50.00, heatSink = -86.46, output = 100.0, timeout = 18900, exptTempC = 50.00, TecRate = 1.143
(3214221) TC: TC-0 = 81.51, modeled = 25.25, target = 50.00, heatSink = -86.43, output = 100.0, timeout = 19050, exptTempC = 50.00, TecRate = 1.143
(3214365) TC: TC-0 = 81.74, modeled = 25.42, target = 50.00, heatSink = -86.19, output = 100.0, timeout = 19200, exptTempC = 50.00, TecRate = 1.144
(3214515) TC: TC-0 = 81.98, modeled = 25.59, target = 50.00, heatSink = -86.01, output = 100.0, timeout = 19350, exptTempC = 50.00, TecRate = 1.145
(3214665) TC: TC-0 = 82.22, modeled = 25.77, target = 50.00, heatSink = -86.20, output = 100.0, timeout = 19500, exptTempC = 50.00, TecRate = 1.147
(3214815) TC: TC-0 = 82.44, modeled = 25.94, target = 50.00, heatSink = -86.35, output = 100.0, timeout = 19650, exptTempC = 50.00, TecRate = 1.148
(3214967) TC: TC-0 = 82.68, modeled = 26.11, target = 50.00, heatSink = -86.39, output = 100.0, timeout = 19800, exptTempC = 50.00, TecRate = 1.149
