,a,b
0,2315.9252647513717,23.904345796740806
1,1221.0389108830973,27.150849269345482
2,183.03264077636504,30.277551674081757
3,-803.2618732925386,33.2929538860418
4,-1740.523222133845,36.20468521000505
5,-2632.8032738808674,39.01961834000762
6,-3482.4450621307215,41.74396600393492
7,-4292.574048025097,44.38336268109017
8,-5065.350312821576,46.94293407236979
9,-5802.34299898549,49.4257446150226
10,-6506.341636006312,51.83754797357266
11,-7179.147134712546,54.18258464233373
12,-7822.843219007019,56.464441037808335
13,-8438.461577585285,58.686422874602556
14,-9028.154240813878,60.85158365199447
15,-9592.40460380937,62.962749622904475
16,-10133.47672339401,65.02254175310368
17,-10651.000833379914,67.03254633000326
18,-11147.471887260148,68.99554518041593
19,-11622.983275594106,70.91408444934123
20,-12079.421993321745,72.79012754887232
21,-12516.866878661873,74.62551096730613
22,-12936.767819023464,76.42195495434402
23,-13339.416875717267,78.18107310719226
24,-13725.8491399363,79.90438099026379
25,-14096.367874267706,81.59285338307701
26,-14451.63553068886,83.24788143478445
27,-14792.625376731141,84.87119279809868
28,-15119.594169239408,86.46397664486803
29,-15433.53521858452,88.02735666963751
30,-15734.339473993075,89.56239579927178
31,-16023.24826033876,91.0701004874503
32,-16299.798691235528,92.55142463710915
33,-16565.377328462335,94.00704949451406
34,-16819.18556524731,95.43763878985483
35,-17062.887509247812,96.84446830897484
36,-17295.89394221855,98.22831202967417
37,-17519.35609471541,99.5899068152941
38,-17732.95557651046,100.92995474497941
39,-17937.508342292702,102.24912526425102
40,-18132.96724503916,103.54805717223176
41,-18319.779219304244,104.82727394097107
42,-18498.01143746569,106.08702919091812
43,-18668.042181477576,107.32832360431563
44,-18830.365845028882,108.55168880800959
45,-18984.83089621023,109.75762745121908
46,-19132.204861760063,110.94664332086396
47,-19272.03088562496,112.11918823678836
48,-19405.33952919177,113.27572706471638
49,-19531.37065940098,114.41667121576815
