time,xx,T,415,445,480,515,555,590,630,680,NIR,CLR,Dark
[10256,0,52.53,354,5818,3534,2283,998,487,381,273,134,5496,1]
[10485,0,52.62,353,5812,3520,2274,996,486,379,273,134,5480,1]
[10735,0,52.81,353,5800,3513,2270,994,485,378,272,134,5472,1]
[10992,0,53.08,352,5794,3504,2264,992,484,378,272,133,5462,1]
[11237,0,53.42,353,5783,3490,2256,988,483,377,271,133,5456,1]
[11485,0,53.78,353,5782,3476,2247,984,482,376,270,132,5443,1]
[11736,0,54.13,352,5773,3461,2238,981,480,375,270,132,5427,1]
[11987,0,54.45,352,5782,3446,2229,978,479,374,269,131,5417,1]
[12237,0,54.71,351,5762,3430,2219,974,477,373,268,131,5404,1]
[12490,0,54.89,350,5765,3414,2210,970,475,372,267,130,5385,1]
[12760,0,54.98,350,5752,3397,2200,965,473,370,266,130,5371,1]
[12986,0,55,349,5746,3374,2186,962,471,370,265,129,5344,1]
[13244,0,54.98,348,5746,3363,2180,958,470,368,264,129,5334,1]
[13490,0,54.93,348,5747,3349,2171,956,469,367,263,128,5318,1]
[13738,0,54.86,348,5736,3337,2164,953,468,366,263,128,5312,1]
[13986,0,54.8,347,5720,3327,2158,951,467,366,262,128,5300,1]
[14243,0,54.73,348,5714,3319,2153,948,466,365,262,126,5292,1]
[14485,0,54.69,347,5706,3308,2146,946,465,364,261,127,5275,1]
[14737,0,54.64,347,5703,3302,2143,944,464,364,261,127,5268,1]
[15010,0,54.6,346,5692,3295,2139,942,463,363,260,126,5260,1]
[15240,0,54.59,346,5676,3280,2130,939,462,362,259,126,5245,1]
[15494,0,54.62,347,5676,3275,2127,938,461,362,259,126,5245,1]
[15764,0,54.66,346,5665,3260,2118,935,460,361,258,125,5228,1]
[15992,0,54.71,345,5671,3254,2114,934,460,361,258,124,5222,1]
[16242,0,54.77,345,5659,3251,2113,934,459,360,258,125,5216,1]
[16505,0,54.83,345,5653,3246,2110,933,459,360,257,125,5219,1]
[16755,0,54.89,345,5653,3241,2108,932,459,360,257,125,5211,1]
[17005,0,54.95,345,5654,3236,2104,930,458,360,257,125,5208,1]
[17255,0,55,344,5656,3226,2098,928,457,359,256,124,5200,1]
[17505,0,55.05,344,5645,3217,2093,926,456,358,256,124,5185,1]
[17728,0,55.07,344,5646,3207,2088,924,455,358,255,124,5177,1]
[18005,0,55.08,345,5644,3209,2089,924,455,358,255,124,5180,1]
[18242,0,55.08,344,5637,3198,2082,922,454,357,255,123,5170,1]
[18492,0,55.07,344,5634,3193,2079,921,453,356,254,123,5166,1]
[18745,0,55.03,344,5633,3190,2077,919,453,356,254,123,5157,1]
[19005,0,55,343,5630,3185,2074,918,452,356,254,123,5153,1]
[19242,0,54.98,343,5623,3177,2070,916,452,355,253,123,5146,1]
[19492,0,54.97,342,5624,3175,2068,916,451,355,253,123,5145,1]
[19742,0,54.96,343,5624,3172,2066,915,451,356,253,122,5145,1]
[19992,0,54.93,343,5629,3171,2065,915,451,355,253,123,5143,1]
[20242,0,54.9,342,5622,3168,2064,915,451,355,253,123,5139,1]
[20492,0,54.88,342,5626,3166,2063,914,450,355,253,123,5139,1]
[20755,0,54.88,343,5627,3165,2062,914,450,355,253,123,5137,1]
[21005,0,54.9,342,5621,3158,2057,912,450,354,252,122,5129,1]
[21243,0,54.95,342,5608,3152,2054,911,449,354,252,121,5122,1]
[21505,0,55,342,5624,3150,2053,911,449,354,252,122,5121,1]
[21755,0,55.05,342,5613,3144,2048,909,448,353,251,122,5114,1]
[22005,0,55.07,342,5604,3137,2045,907,447,353,251,122,5111,1]
[22255,0,55.08,341,5594,3131,2041,905,447,352,251,121,5101,1]
[22492,0,55.08,341,5598,3130,2040,905,447,353,251,120,5099,1]
[22742,0,55.08,340,5597,3129,2039,905,446,352,250,121,5096,1]
[22992,0,55.06,341,5600,3127,2038,905,446,352,250,121,5090,1]
[23242,0,55.04,341,5598,3125,2037,904,446,352,250,121,5093,1]
[23492,0,55.01,341,5599,3124,2036,904,446,352,250,121,5092,1]
[23744,0,54.98,341,5592,3123,2035,904,445,352,250,121,5087,1]
[23992,0,54.97,341,5588,3120,2034,903,445,352,250,121,5085,1]
[24242,0,54.96,341,5594,3120,2033,903,445,351,250,121,5085,1]
[24492,0,54.94,341,5589,3119,2032,903,445,351,250,121,5085,1]
[24742,0,54.91,341,5589,3118,2032,902,445,351,250,121,5082,1]
[24992,0,54.88,341,5585,3117,2031,902,445,351,250,121,5083,1]
[25255,0,54.88,341,5587,3116,2031,902,445,351,250,121,5079,1]
[25505,0,54.9,341,5589,3110,2027,901,444,350,249,121,5074,1]
[25755,0,54.94,340,5579,3105,2023,899,444,350,249,120,5071,1]
[26005,0,54.98,340,5586,3100,2021,898,443,350,249,120,5062,1]
[26242,0,55.03,339,5584,3095,2017,897,442,349,249,120,5055,1]
[26492,0,55.06,340,5579,3094,2017,897,443,349,249,120,5056,1]
[26742,0,55.08,339,5583,3093,2016,896,442,349,249,120,5051,1]
[26992,0,55.08,339,5578,3092,2016,896,442,349,248,120,5046,1]
[27242,0,55.08,340,5582,3090,2015,896,442,349,248,120,5050,1]
[27492,0,55.06,340,5565,3089,2014,896,442,349,248,120,5046,1]
[27742,0,55.02,340,5567,3088,2014,895,442,349,248,120,5047,1]
[27992,0,55,340,5568,3088,2013,895,442,349,248,120,5050,1]
[28242,0,54.98,339,5568,3087,2013,895,442,349,248,120,5049,1]
[28492,0,54.96,339,5559,3086,2012,895,441,349,248,120,5049,1]
[28742,0,54.93,339,5564,3086,2012,895,441,349,248,120,5046,1]
[28992,0,54.91,339,5560,3085,2012,895,441,349,248,120,5045,1]
[29255,0,54.89,339,5565,3085,2011,894,441,349,248,120,5043,1]
[29505,0,54.89,339,5566,3079,2008,893,441,348,248,119,5036,1]
[29755,0,54.92,339,5556,3074,2005,892,440,348,247,119,5028,1]
[30005,0,54.96,339,5557,3071,2002,891,440,348,247,119,5025,1]
[30242,0,55,340,5551,3066,2000,890,439,347,247,119,5020,1]
[30492,0,55.05,339,5554,3067,2000,890,439,347,247,119,5020,1]
[30742,0,55.07,339,5561,3066,1999,890,439,347,247,119,5022,1]
[30992,0,55.08,339,5562,3064,1998,889,439,347,247,119,5019,1]
[31242,0,55.08,338,5564,3062,1997,889,439,347,247,119,5018,1]
[31492,0,55.07,338,5562,3062,1997,889,439,347,246,119,5023,1]
[31742,0,55.06,338,5554,3061,1996,889,439,347,247,119,5020,1]
[31992,0,55.02,339,5557,3060,1996,888,439,347,247,119,5021,1]
[32242,0,54.99,339,5563,3060,1995,888,438,346,246,119,5021,1]
[32492,0,54.97,339,5557,3059,1995,888,438,347,246,119,5018,1]
[32742,0,54.94,338,5549,3059,1994,888,438,347,247,119,5021,1]
[32997,0,54.9,338,5554,3059,1995,887,438,346,246,119,5020,1]
[33244,0,54.88,338,5558,3057,1994,887,438,346,246,119,5020,1]
[33495,0,54.89,337,5550,3056,1994,887,438,346,246,119,5018,1]
[33745,0,54.92,338,5555,3055,1992,887,438,346,246,119,5022,1]
[33995,0,54.96,338,5557,3053,1991,886,438,346,246,119,5019,1]
[34245,0,54.98,339,5554,3052,1991,886,438,346,246,119,5014,1]
[34495,0,55.03,338,5561,3050,1990,885,437,346,246,118,5014,1]
[34745,0,55.06,337,5564,3048,1988,885,437,345,246,118,5008,1]
[34995,0,55.08,337,5556,3046,1987,885,437,345,245,118,5009,1]
[35245,0,55.08,337,5558,3045,1986,884,437,345,245,118,5001,1]
[35494,0,55.07,337,5557,3043,1985,884,437,345,245,118,5001,1]
[35747,0,55.04,337,5552,3042,1985,884,437,345,245,118,5004,1]
[35997,0,55,338,5552,3040,1984,883,436,345,245,118,5003,1]
[36245,0,54.98,337,5553,3039,1982,883,436,345,245,118,5001,1]
[36494,0,54.97,337,5553,3038,1982,883,436,345,245,118,5001,1]
[36745,0,54.93,338,5557,3038,1982,883,436,345,245,118,5003,1]
[36999,0,54.9,338,5554,3037,1982,883,436,345,245,118,4998,1]
[37245,0,54.89,338,5549,3035,1980,882,435,344,245,118,4999,1]
[37494,0,54.91,338,5544,3034,1980,882,435,344,245,118,4999,1]
[37745,0,54.94,337,5545,3033,1979,882,435,344,244,118,4996,1]
[37994,0,54.96,337,5550,3032,1978,881,435,344,244,118,4994,1]
[38247,0,54.99,338,5547,3030,1978,881,435,344,244,118,4994,1]
[38495,0,55.03,338,5546,3028,1976,880,435,344,244,118,4988,1]
[38747,0,55.06,337,5551,3026,1975,879,435,344,244,118,4992,1]
[38995,0,55.08,338,5536,3023,1973,879,434,343,244,118,4984,1]
[39245,0,55.08,337,5535,3021,1972,879,434,343,244,118,4978,1]
[39494,0,55.08,337,5534,3020,1972,878,434,343,244,118,4979,1]
