timeSinceBoot,,Stage1 TempC,Stage1 Modeled TempC,Stage1 Expected TempC,Stage1 Target TempC,Stage1 Controlled Ramp Target,dataQStg1Heatsink,dataQStg1PeltierTop,dataQStage1PeltierBottom,dataQLiquidStg1,liquid2,dataQStg1Slug,Stage1 P Term,Stage1 I Term,Stage1 D Term,Stage1 FF Term,,Stage1 Actual TEC Temp Rate,Stage1 Prior Target TEC Ramp Rate
8583.887,2.555,53.64,53.64,90,90,,,,,,,,,,,,,,
8583.887,2.555,53.64,53.64,90,90,,,,,,,,,,,,,,
8584.037,2.705,54.93,54.93,90,90,,,,,,,,,,,,,,
8584.037,2.705,54.93,54.93,90,90,,,,,,,,,,,,,,
8584.037,2.705,54.93,54.93,90,90,,,,,,,,,,,,,,
8584.037,2.705,54.93,54.93,90,90,,,,,,,,,,,,,,
8584.037,2.705,54.93,54.93,90,90,,,,,,,,,,,,,,
8584.187,2.855,56.59,56.59,90,90,,,,,,,,,,,,,,
8584.187,2.855,56.59,56.59,90,90,,,,,,,,,,,,,,
8584.187,2.855,56.59,56.59,90,90,,,,,,,,,,,,,,
8584.187,2.855,56.59,56.59,90,90,,,,,,,,,,,,,,
8584.187,2.855,56.59,56.59,90,90,,,,,,,,,,,,,,
8584.337,3.005,57.93,57.93,90,90,,,,,,,,,,,,,,
8584.337,3.005,57.93,57.93,90,90,,,,,,,,,,,,,,
8584.337,3.005,57.93,57.93,90,90,,,,,,,,,,,,,,
8584.337,3.005,57.93,57.93,90,90,,,,,,,,,,,,,,
8584.337,3.005,57.93,57.93,90,90,,,,,,,,,,,,,,
8584.487,3.155,59.38,59.38,90,90,,,,,,,,,,,,,,
8584.487,3.155,59.38,59.38,90,90,,,,,,,,,,,,,,
8584.487,3.155,59.38,59.38,90,90,,,,,,,,,,,,,,
8584.487,3.155,59.38,59.38,90,90,,,,,,,,,,,,,,
8584.487,3.155,59.38,59.38,90,90,,,,,,,,,,,,,,
8584.637,3.305,60.83,60.83,90,90,,,,,,,,,,,,,,
8584.637,3.305,60.83,60.83,90,90,,,,,,,,,,,,,,
8584.637,3.305,60.83,60.83,90,90,,,,,,,,,,,,,,
8584.637,3.305,60.83,60.83,90,90,,,,,,,,,,,,,,
8584.637,3.305,60.83,60.83,90,90,,,,,,,,,,,,,,
8584.787,3.455,62.07,62.07,90,90,,,,,,,,,,,,,,
8584.787,3.455,62.07,62.07,90,90,,,,,,,,,,,,,,
8584.787,3.455,62.07,62.07,90,90,,,,,,,,,,,,,,
8584.787,3.455,62.07,62.07,90,90,,,,,,,,,,,,,,
8584.787,3.455,62.07,62.07,90,90,,,,,,,,,,,,,,
8584.892,3.56,62.07,,,,,,,,30.09,44.04,,,,,,,,
8584.892,3.56,62.07,,,,,,,,30.09,44.04,,,,,,,,
8584.937,3.605,63.61,63.61,90,90,,,,,,,,,,,,,,
8584.937,3.605,63.61,63.61,90,90,,,,,,,,,,,,,,
8584.937,3.605,63.61,63.61,90,90,,,,,,,,,,,,,,
