timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Expected TempC,Stage1 Target TempC,Stage1 Controlled Ramp Target,dataQStg1Heatsink,dataQStg1PeltierTop,dataQStage1PeltierBottom,dataQLiquidStg1,liquid2,dataQStg1Slug,Stage1 P Term,Stage1 I Term,Stage1 D Term,Stage1 FF Term,Stage1 Output,Stage1 Actual TEC Temp Rate,Stage1 Prior Target TEC Ramp Rate
5041.798,41.39,41.39,115,90,,,,,,,,,,,,100,,
5041.798,41.39,41.39,115,90,,,,,,,,,,,,100,,
5041.798,41.39,41.39,115,90,,,,,,,,,,,,100,,
5041.948,42.97,42.97,115,90,,,,,,,,,,,,100,,
5041.948,42.97,42.97,115,90,,,,,,,,,,,,100,,
5041.948,42.97,42.97,115,90,,,,,,,,,,,,100,,
5041.948,42.97,42.97,115,90,,,,,,,,,,,,100,,
5041.948,42.97,42.97,115,90,,,,,,,,,,,,100,,
5042.098,44.73,44.73,115,90,,,,,33.46,38.16,,,,,,100,,
5042.098,44.73,44.73,115,90,,,,,33.46,38.16,,,,,,100,,
5042.098,44.73,44.73,115,90,,,,,33.46,38.16,,,,,,100,,
5042.098,44.73,44.73,115,90,,,,,33.46,38.16,,,,,,100,,
5042.098,44.73,44.73,115,90,,,,,33.46,38.16,,,,,,100,,
5042.098,44.73,44.73,115,90,,,,,33.46,38.16,,,,,,100,,
5042.098,44.73,44.73,115,90,,,,,33.46,38.16,,,,,,100,,
5042.248,46.18,46.18,115,90,,,,,,,,,,,,100,,
5042.248,46.18,46.18,115,90,,,,,,,,,,,,100,,
5042.248,46.18,46.18,115,90,,,,,,,,,,,,100,,
5042.248,46.18,46.18,115,90,,,,,,,,,,,,100,,
5042.248,46.18,46.18,115,90,,,,,,,,,,,,100,,
5042.398,48.12,48.12,115,90,,,,,,,,,,,,100,,
5042.398,48.12,48.12,115,90,,,,,,,,,,,,100,,
5042.398,48.12,48.12,115,90,,,,,,,,,,,,100,,
5042.398,48.12,48.12,115,90,,,,,,,,,,,,100,,
5042.398,48.12,48.12,115,90,,,,,,,,,,,,100,,
5042.548,49.95,49.95,115,90,,,,,,,,,,,,100,,
5042.548,49.95,49.95,115,90,,,,,,,,,,,,100,,
5042.548,49.95,49.95,115,90,,,,,,,,,,,,100,,
5042.548,49.95,49.95,115,90,,,,,,,,,,,,100,,
5042.548,49.95,49.95,115,90,,,,,,,,,,,,100,,
5042.714,51.4,51.4,115,90,,,,,,,,,,,,100,,
5042.714,51.4,51.4,115,90,,,,,,,,,,,,100,,
5042.714,51.4,51.4,115,90,,,,,,,,,,,,100,,
5042.714,51.4,51.4,115,90,,,,,,,,,,,,100,,
5042.714,51.4,51.4,115,90,,,,,,,,,,,,100,,
5042.864,53.22,53.22,115,90,,,,,,,,,,,,100,,
5042.864,53.22,53.22,115,90,,,,,,,,,,,,100,,
5042.864,53.22,53.22,115,90,,,,,,,,,,,,100,,
5042.864,53.22,53.22,115,90,,,,,,,,,,,,100,,
5042.864,53.22,53.22,115,90,,,,,,,,,,,,100,,
5043.014,54.86,54.86,115,90,,,,,,,,,,,,100,,
5043.014,54.86,54.86,115,90,,,,,,,,,,,,100,,
5043.014,54.86,54.86,115,90,,,,,,,,,,,,100,,
5043.014,54.86,54.86,115,90,,,,,,,,,,,,100,,
5043.014,54.86,54.86,115,90,,,,,,,,,,,,100,,
5043.174,56.59,56.59,115,90,,,,,,,,,,,,100,,
5043.174,56.59,56.59,115,90,,,,,,,,,,,,100,,
5043.174,56.59,56.59,115,90,,,,,,,,,,,,100,,
