cons,inst,lot
233c26c2-c7fa-4a18-999c-7faf6019b37e,585,TKM-3386
869b511c-d0d6-4975-8fcf-35d946286304,585,TKM-3386
36ca3cb1-e946-42cb-bd22-2f1e6f7e229a,585,TKM-3386
db04e0c6-731b-43aa-b1d7-f7832bf782cf,585,TKM-3386
f595ee5f-6c6d-49b9-b0bd-d5a4fcc07eef,585,TKM-3386
6742a2b8-422c-4e94-b96c-f421932b2bda,588,TKM-3386
8421241c-f30d-4388-aa44-18e2a6027c0b,588,TKM-3386
00c62d65-b579-4ceb-bdc2-fde5939c12f1,588,TKM-3386
168e4a0b-690f-4fb0-8d6f-5b0a0b26bc9e,588,TKM-3386
f409cecc-05e2-4128-8a10-2cce8bc434a9,588,TKM-3386
c9763864-6f4f-4fc4-b703-66180a752564,591,TKM-3386
6fafba04-2e39-4e24-8f46-58e0c12015d8,591,TKM-3386
63aecef9-2e95-4b92-8c58-f17aff848afb,591,TKM-3386
8b3b01d6-bad9-4a0b-97b9-bdd1796c962a,591,TKM-3386
ff6299d3-9e8e-4fbb-a47e-9c2eb711ca1c,591,TKM-3386
eb2dc023-40f8-41cf-bab5-d249189da032,599,TKM-3386
562a15dc-e113-4211-ae01-20e2efb094bc,599,TKM-3386
11a22cab-98cf-42f5-8bbd-94a920386065,599,TKM-3386
4b6d0c4b-adaf-45c2-933b-a284209fea81,599,TKM-3386
9614ab6a-8150-4173-af41-02512504c8d5,602,TKM-3386
6a546d71-31af-4b7e-b9bc-100600da951d,602,TKM-3386
46c1aa9d-d99f-4946-beb8-51f6454e4eb3,602,TKM-3386
aa8e16ad-c64e-450a-b980-7c4864b4cb32,602,TKM-3386
95fa3e1e-c5ad-4a7b-84fc-e1a72f582169,602,TKM-3386
aefcd937-0387-4e14-b26a-6a4e2b425132,InjMold5,TKM-3386
3680ce49-08af-4b22-9fc3-25632b1da392,InjMold5,TKM-3386
752398f6-f8be-4225-a290-1830d92f35bc,InjMold5,TKM-3386
dcf799f9-924f-4a30-b8fe-4ef180999fca,InjMold5,TKM-3386
7b2ab41b-5c89-4f91-9b85-55448e013e3b,InjMold5,TKM-3386
0621bd93-267a-4892-9b5e-d97bbaf09030,Injmold4,TKM-3386
1e9ebb6b-3695-471d-9eaf-3ec84f823de0,Injmold4,TKM-3386
9c19926f-0dbd-4b29-9049-52148a740be9,Injmold4,TKM-3386
1ad72469-7b58-4c49-b10d-0aa6ea2ea656,Injmold4,TKM-3386
5d92ce93-ca4e-4669-8674-f6a73f456fb8,Injmold4,TKM-3386
