,consumableId,415,445,480,515,555,590,630,680,NIR,CLR,DARK
0,251fac72-43a7-4a9a-8631-dbef0513ed91,24,91,1127,689,221,79,49,40,24,678,0
1,dbfd2e38-88e7-47c3-899e-805ab1d1c237,20,65,958,528,175,60,38,38,21,595,0
2,21bdcfa9-4147-4d29-933a-bf10bc35f0db,20,80,883,502,157,60,39,35,19,470,0
3,0b0723e0-a7cd-4135-a09a-e08f18e7ff01,20,80,1004,521,167,59,41,36,18,520,0
4,f3e04e0c-3b6c-4a7a-ac56-66ab2cc19fdf,23,75,1077,589,191,68,44,37,21,583,0
5,7691583f-8aec-4b15-856e-36423d9e0c44,14,40,676,371,120,43,27,23,13,362,0
6,7fc95be9-4449-4611-b544-3e926a03dc65,15,55,668,383,122,46,30,26,14,373,0
7,28dd270e-48d2-4a32-9dfc-e8bc4feaa867,13,53,648,377,123,42,27,27,16,445,0
8,80b14b4a-b732-4dea-9966-15ff490d6e1d,18,79,772,449,150,53,33,27,14,407,0
9,b3d4b3af-fdc8-486a-8014-0a2a4a4a5dde,18,50,843,499,167,58,37,29,15,449,0
10,c0858c56-8c1c-413b-96d0-b99da3a5dd60,16,47,776,435,147,48,32,32,17,477,0
11,26363a6b-b229-4af1-bdeb-a5b2f16d740b,15,67,596,335,107,41,27,24,12,300,0
12,914d67ef-7f8a-4cb5-9a93-f9d1449f7fa6,18,143,800,411,133,48,35,30,15,416,0
13,458ee809-ed0c-46b7-b940-54a907ce02b7,16,57,788,430,139,50,33,28,14,418,0
14,19b95328-db1b-47cc-a5aa-635fbebb7f0c,18,55,902,522,175,61,37,32,18,501,0
15,a937c660-aaeb-46ec-9a22-2061d588d706,20,57,903,502,166,58,36,36,21,589,0
16,ffaa6a1f-692e-48c6-9d1a-9ba7b45f4f2d,20,156,739,446,134,55,38,36,19,494,0
17,2eab7217-34f5-46da-b55a-306a5ea4dad7,20,158,945,499,159,57,38,35,19,546,0
18,3e501265-34a7-4a66-abb5-1a0c590a16ea,15,66,689,375,120,45,28,25,13,389,0
19,d68eb967-7b42-44f6-b346-a1eeb9442067,17,110,801,442,141,52,34,30,16,467,0
20,546fe9c1-7f22-4aa7-ad9a-a2c83096c1ab,24,166,1102,537,181,64,44,41,20,539,0
21,d571219c-360e-4f44-b540-68837d23f49a,14,78,628,356,113,42,29,25,14,335,0
22,bbb18328-e8de-489f-97f9-57f137a7992f,15,61,729,409,134,48,30,30,17,477,0
23,d89d5cd9-e63d-4558-ab0a-c9c148633097,19,53,853,504,168,59,36,30,17,439,0
24,69ea8c27-f91b-49e1-8d4a-d2a7e7fe480f,16,77,764,438,152,54,33,28,16,424,0
25,830005d2-2ab3-4712-a467-07ef3bbe65d2,19,79,870,481,159,56,35,34,19,534,0
26,dddc8e9f-1d1a-46ca-b158-c60c17786275,12,70,570,323,106,37,26,21,12,331,0
27,4ef7244d-09dc-4f15-8bf9-8c42fe96d99f,20,119,969,517,163,59,39,34,20,567,0
28,bc9ca263-5c98-4ed9-a695-7a0e86a69c44,13,36,640,352,113,41,26,22,12,355,0
29,cf9cda87-3a8b-43ab-90c6-d313485494e9,19,92,939,494,157,57,38,33,18,497,0
30,e8230c89-585b-4557-9939-6430569324bd,14,49,646,359,120,41,27,26,13,388,0
31,3755bd42-513d-4f7e-a5f4-a8ccfd49c419,17,47,768,456,151,54,33,27,14,406,0
32,e387dbeb-1887-4797-9743-eace921f6a4b,17,53,754,433,148,51,33,26,16,414,0
33,8df91fef-332f-4922-9b9d-88821d32060f,14,58,626,337,112,39,24,26,14,377,0
34,85523234-3130-4280-99b9-486f51c22ce5,16,57,682,393,122,48,29,28,15,382,0
35,63d2731b-08ef-4264-86fc-7764dbc7e7f2,21,134,1072,568,180,65,43,39,20,579,0
36,abacd712-2535-4035-b032-826eb73b7f5e,15,-96,651,374,120,43,28,23,12,383,0
