LED wave,440 trans,LED filt,sens filt,sytox wave,excite,emit
401.218,0.214838419,31.71,1.2,367,1.102503,0
401.603,0.231463108,32.94,1.15,368,1.162098,0
401.988,0.256388043,34.96,1.05,369,1.191895,0
402.373,0.273690304,37.29,0.85,370,1.25149,0
402.758,0.285426802,40.23,0.9,371,1.400477,0
403.143,0.303987409,43.53,0.78,372,1.519666,0
403.528,0.328186375,47.36,0.81,373,1.579261,0
403.913,0.357031542,51.12,0.9,374,1.728248,0
404.297,0.38890158,55.25,0.9,375,1.877235,0
404.682,0.411092032,59.16,1.03,376,2.026222,0
405.067,0.446567715,63.06,1.06,377,2.234803,0
405.451,0.487125182,66.39,0.84,378,2.353993,0
405.836,0.526593695,69.39,0.93,379,2.532777,0
406.221,0.565166847,71.86,0.97,380,2.860548,0
406.605,0.610080128,73.85,0.81,381,3.06913,0
406.99,0.643619894,75.36,0.81,382,3.307509,0
407.374,0.690009312,76.32,0.67,383,3.63528,0
407.758,0.732672089,76.74,0.62,384,3.933254,0
408.143,0.785014452,77.24,0.64,385,4.261025,0
408.527,0.835711285,77.49,0.66,386,4.737783,0
408.911,0.898023622,77.55,0.55,387,5.095352,0
409.295,0.955544564,77.63,0.78,388,5.423123,0
409.679,1.033658826,77.65,0.72,389,6.01907,0
410.064,1.109885568,77.73,0.88,390,6.495829,0
410.448,1.198260191,77.82,1.01,391,6.942789,0
410.832,1.28907891,77.92,1.15,392,7.628129,0
411.216,1.378373094,78.15,1.21,393,8.224076,0
411.599,1.457527911,78.29,1.26,394,8.820024,0
411.983,1.562962805,78.47,1.13,395,9.743742,0
412.367,1.658887506,78.31,1.21,396,10.51847,0
412.751,1.769113795,78.18,1.07,397,11.323,0
413.135,1.886599774,78.05,1.07,398,12.4851,0
413.518,1.993922188,77.86,0.92,399,13.43862,0
413.902,2.144512352,77.64,0.67,400,14.39213,0
414.285,2.318744906,77.46,0.8,401,15.8522,0
414.669,2.476231776,77.33,0.77,402,16.95471,0
415.052,2.661668451,77.46,0.84,403,18.11681,0
415.436,2.879604337,77.55,0.79,404,19.81526,0
415.819,3.077576077,77.68,0.67,405,21.09654,0
416.202,3.277435336,77.75,0.84,406,22.49702,0
416.586,3.514512604,77.71,0.97,407,24.55304,0
416.969,3.790453411,77.89,0.91,408,26.0727,0
417.352,4.086334166,77.97,0.96,409,27.65197,0
417.735,4.378197893,77.96,0.91,410,30.00596,0.2446183
418.118,4.659147887,78.06,1.09,411,31.7938,0.2094986
418.501,4.970951561,78.18,1.17,412,33.64124,0.1831805
418.884,5.327644318,78.15,1.14,413,36.26341,0.1706315
419.267,5.674584891,78.17,1.07,414,38.23003,0.1938123
419.65,6.027502609,78.09,0.96,415,40.28605,0.1950323
420.033,6.395593078,77.95,0.9,416,43.1764,0.1865792
420.416,6.786164386,77.95,0.82,417,45.35161,0.176296
420.798,7.245993135,77.67,0.69,418,47.58641,0.2104571
421.181,7.712307207,77.36,0.71,419,50.68534,0.1952066
421.564,8.169570865,77.52,0.69,420,52.97974,0.2082785
421.946,8.656792843,77.53,0.87,421,55.21454,0.1722873
422.329,9.144184214,77.32,0.92,422,58.22408,0.2028755
422.711,9.685394085,77.19,1.01,423,60.42908,0.2321565
423.094,10.20059007,77.17,1.12,424,62.5447,0.2222218
423.476,10.76292564,77.21,1.33,425,65.31585,0.2322436
423.859,11.36845636,77.39,1.09,426,67.25269,0.2362523
424.241,12.05732832,77.21,1.1,427,69.12991,0.283311
424.623,12.75459732,77.27,1.01,428,71.6031,0.3056204
425.005,13.48707582,77.41,1.03,429,73.33134,0.3318513
425.388,14.20980213,77.51,0.89,430,75.0298,0.3724612
425.77,14.98879104,77.45,0.88,431,77.2944,0.406361
426.152,15.87766745,77.48,0.59,432,78.90346,0.4711103
426.534,16.68567092,77.36,0.87,433,80.51252,0.5081472
426.916,17.53836988,77.16,0.8,434,82.77711,0.6175153
427.298,18.4809922,76.97,0.81,435,84.44577,0.7388222
427.68,19.30738688,76.89,0.8,436,86.17402,0.9316759
428.061,20.33378602,76.79,0.92,437,88.55781,1.135597
428.443,21.37037292,76.66,0.84,438,90.34565,1.373767
428.825,22.31526993,76.52,0.99,439,92.13349,1.76418
429.207,23.539907,76.46,0.95,440,94.48748,2.140737
429.588,24.72577732,76.4,0.97,441,96.09654,2.750409
429.97,26.00517664,76.32,0.96,442,97.55662,3.475201
430.351,27.36888516,76.07,1,443,99.07629,4.327051
430.733,28.66725648,76.13,1.02,444,99.76162,5.262736
431.114,30.2041328,76.23,1.12,445,100,6.315022
431.496,31.75269722,76.13,1.06,446,99.49345,7.686174
431.877,33.16986125,76.17,1.08,447,98.51013,9.755103
432.258,34.63561681,76.24,1.09,448,96.90107,12.37026
432.64,36.21699503,76.29,1.06,449,93.77235,15.20703
433.021,37.72952719,76.46,1.1,450,90.9416,18.58376
433.402,39.38238915,76.36,1.13,451,87.5149,22.06314
433.783,41.0356625,76.33,1.09,452,82.09177,26.00388
434.164,42.73179221,76.43,1.14,453,77.68176,30.31881
434.545,44.76397297,76.31,1.1,454,72.91418,35.13423
434.926,46.7309859,76.13,1.11,455,66.12038,40.37954
435.307,48.74058902,76.1,1.18,456,61.05482,46.18772
435.688,51.09059899,76,1.11,457,55.92968,51.85559
436.069,53.69162483,75.96,1,458,48.95709,57.26927
436.45,56.10307598,75.79,0.9,459,44.04052,63.35806
436.83,58.51116347,75.58,0.87,460,39.30274,68.61722
437.211,60.82419742,75.44,0.78,461,33.28367,74.22871
437.592,63.56843274,75.44,0.74,462,29.23123,79.44692
437.972,66.22567278,75.39,0.69,463,25.47676,84.60595
438.353,69.02338782,75.24,0.68,464,20.85816,88.55427
438.733,71.57316025,75.06,0.7,465,17.84863,92.37074
439.114,74.38667721,75.1,0.73,466,15.22646,95.73299
439.494,76.99951215,75.19,0.7,467,12.12753,97.06711
439.875,79.95568201,75.24,0.77,468,10.2205,97.85003
440.255,82.4621141,75.22,0.81,469,8.581645,99.16444
440.635,85.29007784,75,0.81,470,6.734208,100
441.015,87.62552004,74.95,0.84,471,5.631704,99.49612
441.395,90.08500613,74.94,0.84,472,4.707985,98.75198
441.776,91.6557126,74.61,0.87,473,3.694875,97.82946
442.156,93.72157831,74.22,0.96,474,3.06913,96.55495
442.536,95.33499596,73.79,0.86,475,2.532777,95.43313
442.916,97.26333895,73.46,0.8,476,1.966627,93.18198
443.295,98.0415777,73.22,0.78,477,1.668653,92.08176
443.675,98.80933828,72.9,0.75,478,1.430274,90.0862
444.055,99.29319661,72.77,0.72,479,1.1323,87.09902
444.435,100,72.84,0.76,480,0.9535161,84.85536
444.815,99.99162716,72.81,0.67,481,0.8045292,82.74199
445.194,99.49603234,72.73,0.74,482,0.6853397,79.82975
445.574,98.36799755,72.52,0.74,483,0.5661502,78.91298
445.953,97.13709295,72.43,0.82,484,0.5065554,76.82444
