,timeSineBoot,PCR Temp,PCR Modeled TempC,PCR Target TempC,PCR Thermocouple TempC,PCR HeatSink TempC
136,2443.575,95.63,90.2,90.0,,34.03
137,2443.725,95.46,90.17,90.0,,34.05
138,2443.875,95.32,90.14,90.0,,34.05
139,2444.025,95.19,90.11,90.0,80.56,34.06
140,2444.175,95.04,90.09,90.0,,34.06
141,2444.325,94.92,90.06,90.0,,34.07
142,2444.475,94.81,90.04,90.0,,34.08
143,2444.625,94.68,90.02,90.0,,34.08
144,2444.775,94.59,90.0,90.0,,34.1
145,2444.925,94.51,89.99,90.0,,34.1
146,2445.071,94.4,89.98,80.0,,34.11
147,2445.221,94.32,89.97,80.0,80.42,34.12
148,2445.371,94.18,89.96,80.0,,34.12
149,2445.521,93.71,89.91,80.0,,34.19
150,2445.672,93.01,89.81,80.0,,34.28
151,2445.821,92.06,89.63,80.0,80.09,34.42
152,2445.971,90.47,89.32,80.0,,34.66
153,2446.121,89.19,88.92,80.0,,34.85
154,2446.271,87.85,88.45,80.0,,35.07
155,2446.421,86.03,87.88,80.0,79.63,35.38
156,2446.571,84.67,87.25,80.0,,35.6
157,2446.721,83.31,86.59,80.0,,35.84
158,2518.023,,,,79.56,
159,2446.871,81.51,85.86,80.0,,36.18
160,2447.031,80.16,85.1,80.0,79.16,36.41
161,2447.181,78.85,84.33,80.0,,36.65
162,2447.332,77.26,83.52,80.0,,36.95
163,2447.482,76.38,82.74,80.0,,37.14
164,2447.631,75.84,82.04,80.0,78.9,37.25
165,2447.781,75.6,81.42,80.0,,37.35
166,2447.931,75.67,80.92,80.0,,37.38
167,2448.083,75.89,80.52,80.0,,37.4
168,2448.234,76.3,80.23,80.0,,37.39
169,2448.384,76.68,80.03,80.0,78.75,37.37
170,2448.529,77.08,79.9,80.0,,37.34
171,2448.678,77.64,79.84,80.0,,37.29
172,2448.825,78.06,79.84,80.0,,37.25
173,2448.975,78.45,79.87,80.0,78.69,37.21
174,2449.125,78.85,79.93,80.0,,37.15
175,2449.275,79.08,80.0,80.0,,37.12
176,2449.425,79.23,80.07,80.0,,37.09
177,2449.575,79.36,80.14,80.0,78.65,37.04
178,2449.725,79.4,80.19,80.0,,37.01
179,2449.875,79.44,80.22,80.0,,36.98
180,2531.358,,,,78.6,
181,2450.025,79.45,80.25,80.0,,36.94
182,2450.175,79.45,80.26,80.0,78.61,36.91
183,2450.325,79.46,80.27,80.0,,36.88
184,2450.475,79.45,80.26,80.0,,36.85
185,2450.625,79.44,80.25,80.0,,36.82
186,2450.775,79.44,80.24,80.0,78.56,36.8
187,2450.925,79.43,80.22,80.0,,36.76
188,2451.075,79.44,80.2,80.0,,36.74
189,2451.225,79.44,80.18,80.0,,36.72
190,2451.375,79.44,80.15,80.0,78.6,36.69
191,2538.012,,,,77.81,
192,2451.525,79.45,80.13,80.0,,36.67
193,2451.675,79.46,80.11,80.0,,36.65
194,2451.825,79.47,80.08,80.0,,36.63
195,2451.975,79.5,80.06,80.0,75.55,36.61
196,2452.125,79.51,80.04,80.0,,36.59
197,2452.275,79.55,80.02,80.0,,36.56
198,2452.425,79.56,80.01,80.0,,36.54
199,2452.575,79.58,79.99,80.0,72.16,36.53
200,2452.725,79.62,79.98,80.0,,36.5
201,2452.875,79.66,79.96,80.0,,36.49
202,2453.025,79.69,79.95,80.0,,36.48
203,2453.175,79.72,79.94,80.0,69.47,36.45
204,2453.325,79.76,79.94,80.0,,36.44
205,2453.476,79.78,79.93,80.0,,36.42
206,2453.625,79.83,79.92,80.0,,36.4
207,2453.775,79.86,79.92,80.0,68.49,36.39
208,2453.925,79.89,79.91,80.0,,36.38
209,2454.075,79.93,79.91,80.0,,36.36
210,2454.225,79.96,79.91,80.0,,36.35
211,2454.375,79.99,79.91,80.0,68.73,36.34
212,2454.525,80.03,79.91,80.0,,36.32
213,2551.322,,,,68.84,
214,2454.675,80.06,79.91,80.0,,36.31
215,2454.825,80.09,79.91,80.0,,36.3
216,2454.975,80.13,79.91,80.0,68.63,36.28
217,2455.125,80.17,79.91,80.0,,36.27
218,2455.275,80.21,79.91,80.0,,36.26
219,2455.425,80.27,79.92,80.0,,36.25
220,2455.575,80.29,79.92,80.0,68.38,36.24
221,2455.725,80.32,79.93,80.0,,36.23
222,2455.875,80.37,79.94,80.0,,36.22
223,2456.025,80.39,79.94,80.0,,36.21
224,2557.993,,,,68.06,
225,2456.175,80.42,79.95,80.0,67.96,36.2
226,2559.108,,,,67.9,
227,2456.325,80.45,79.95,80.0,,36.19
228,2456.475,80.47,79.96,80.0,,36.18
229,2456.625,80.48,79.96,80.0,,36.18
230,2456.771,80.51,79.96,70.0,,36.16
231,2456.921,80.52,79.96,70.0,,36.15
232,2457.071,80.53,79.96,70.0,,36.15
233,2457.221,80.34,79.95,70.0,,36.17
234,2457.371,79.86,79.88,70.0,67.81,36.24
235,2457.521,79.14,79.75,70.0,,36.34
236,2457.671,77.9,79.52,70.0,,36.54
237,2457.821,76.82,79.19,70.0,,36.71
238,2457.971,75.69,78.79,70.0,,36.92
239,2566.917,,,,67.77,
240,2458.121,74.13,78.31,70.0,,37.2
241,2458.271,72.94,77.75,70.0,,37.41
242,2458.421,71.75,77.16,70.0,,37.63
243,2458.571,70.18,76.52,70.0,68.04,37.92
244,2458.721,69.03,75.83,70.0,,38.15
245,2458.882,67.91,75.13,70.0,,38.37
246,2459.033,66.45,74.41,70.0,,38.66
247,2459.181,65.38,73.67,70.0,67.91,38.9
248,2572.467,,,,67.99,
249,2459.331,64.45,72.94,70.0,,39.07
250,2459.481,63.71,72.26,70.0,,39.25
251,2459.631,63.53,71.65,70.0,,39.33
252,2459.781,63.58,71.14,70.0,68.0,39.37
253,2459.933,63.91,70.74,70.0,,39.39
254,2460.084,64.28,70.44,70.0,,39.38
255,2460.234,64.7,70.23,70.0,,39.35
256,2460.379,65.31,70.1,70.0,68.02,39.29
257,2578.017,,,,68.12,
258,2460.531,65.8,70.05,70.0,,39.25
259,2460.675,66.27,70.04,70.0,,39.2
260,2460.825,66.81,70.08,70.0,,39.13
261,2460.975,67.1,70.13,70.0,66.8,39.08
262,2461.125,67.31,70.19,70.0,,39.05
263,2461.275,67.5,70.25,70.0,,39.01
264,2461.425,67.58,70.29,70.0,,38.97
265,2461.575,67.63,70.32,70.0,64.61,38.94
266,2461.725,67.67,70.33,70.0,,38.88
267,2461.875,67.69,70.34,70.0,,38.85
268,2462.052,67.71,70.33,70.0,,38.81
269,2462.202,67.73,70.31,70.0,61.96,38.76
270,2462.352,67.76,70.3,70.0,,38.71
271,2462.502,67.77,70.27,70.0,,38.67
272,2462.652,67.8,70.24,70.0,,38.63
273,2462.802,67.83,70.21,70.0,59.1,38.6
274,2462.952,67.86,70.18,70.0,,38.57
275,2463.102,67.9,70.15,70.0,,38.54
276,2463.252,67.93,70.12,70.0,,38.51
277,2463.402,67.98,70.1,70.0,57.58,38.48
278,2463.552,68.03,70.07,70.0,,38.45
279,2591.327,,,,57.14,
280,2463.702,68.07,70.04,70.0,,38.42
281,2463.852,68.14,70.02,70.0,,38.38
282,2464.002,68.2,70.0,70.0,56.97,38.36
283,2464.152,68.27,69.99,70.0,,38.33
284,2464.302,68.35,69.97,70.0,,38.29
285,2464.452,68.41,69.96,70.0,,38.28
286,2464.602,68.45,69.95,70.0,57.65,38.25
287,2464.752,68.5,69.94,70.0,,38.21
288,2464.902,68.56,69.93,70.0,,38.18
289,2465.052,68.62,69.92,70.0,,38.16
290,2597.981,,,,57.92,
291,2465.202,68.68,69.91,70.0,58.08,38.14
292,2465.352,68.74,69.91,70.0,,38.12
293,2465.502,68.79,69.9,70.0,,38.1
294,2465.652,68.87,69.9,70.0,,38.07
295,2465.802,68.92,69.9,70.0,,38.05
296,2465.952,68.96,69.9,70.0,,38.03
297,2466.102,69.03,69.89,70.0,,38.0
298,2466.252,69.08,69.89,70.0,,37.98
299,2466.402,69.13,69.89,70.0,58.07,37.96
300,2466.552,69.19,69.9,70.0,,37.93
301,2466.702,69.24,69.9,70.0,,37.92
302,2466.852,69.29,69.9,70.0,,37.91
303,2605.767,,,,58.13,
304,2467.002,69.34,69.9,70.0,,37.87
305,2467.152,69.38,69.9,70.0,58.05,37.86
306,2467.302,69.42,69.9,70.0,,37.84
307,2467.452,69.47,69.91,70.0,,37.82
308,2467.602,69.52,69.91,70.0,,37.81
309,2467.752,69.56,69.91,70.0,58.14,37.79
310,2467.902,69.61,69.91,70.0,,37.77
311,2468.052,69.65,69.92,70.0,,37.75
312,2468.202,69.68,69.92,70.0,,37.73
313,2468.352,69.73,69.92,70.0,58.13,37.72
314,2612.403,,,,58.2,
315,2468.502,69.76,69.93,70.0,,37.7
316,2468.652,69.8,69.93,70.0,,37.69
317,2468.798,69.84,69.93,60.0,,37.67
318,2468.948,69.87,69.93,60.0,58.29,37.66
319,2469.098,69.84,69.93,60.0,,37.66
320,2469.248,69.48,69.89,60.0,,37.7
321,2469.398,68.9,69.8,60.0,,37.78
322,2469.548,68.14,69.63,60.0,58.17,37.9
323,2469.698,66.92,69.35,60.0,,38.11
