,timeSineBoot,PCR Temp,PCR Modeled TempC,PCR Target TempC,PCR Thermocouple TempC,PCR HeatSink TempC
0,3447.769,,,,28.52,
1,3448.432,,,,28.71,
2,3449.156,,,,28.7,
3,3449.519,,,,28.76,
4,3450.371,,,,28.87,
5,3450.913,,,,28.92,
6,3451.455,,,,28.92,
7,3452.084,,,,29.01,
8,3452.756,,,,29.15,
9,3453.386,,,,29.32,
10,3453.973,,,,29.56,
11,3454.469,,,,29.84,
12,3452.066,38.28,38.19,90.0,,37.84
13,3455.681,,,,30.15,
14,3456.356,,,,30.59,
15,3456.986,,,,30.88,
16,3457.571,,,,31.36,
17,3452.216,38.28,38.19,90.0,,37.84
18,3452.371,38.45,38.2,90.0,,37.82
19,3452.518,39.2,38.28,90.0,,37.79
20,3452.681,40.15,38.45,90.0,,37.75
21,3452.831,41.46,38.74,90.0,,37.68
22,3461.159,,,,31.97,
23,3452.986,42.84,39.13,90.0,,37.62
24,3453.158,44.88,39.68,90.0,,37.54
25,3453.312,46.65,40.32,90.0,,37.46
26,3453.466,48.32,41.04,90.0,,37.38
27,3453.637,49.93,41.82,90.0,,37.32
28,3453.78,51.8,42.66,90.0,,37.24
29,3453.927,54.1,43.61,90.0,,37.14
30,3454.077,55.66,44.58,90.0,,37.08
31,3454.228,57.33,45.57,90.0,,37.01
32,3454.378,58.98,46.58,90.0,,36.95
33,3467.774,,,,32.61,
34,3454.533,60.47,47.59,90.0,,36.89
35,3454.701,62.01,48.61,90.0,,36.83
36,3454.85,64.27,49.67,90.0,,36.73
37,3454.999,65.71,50.75,90.0,,36.69
38,3455.166,67.08,51.81,90.0,33.52,36.64
39,3455.32,68.54,52.85,90.0,,36.58
40,3455.469,70.47,53.94,90.0,,36.52
41,3455.634,71.82,55.01,90.0,,36.48
42,3455.783,73.24,56.07,90.0,,36.43
43,3455.937,74.55,57.11,90.0,,36.39
44,3474.41,,,,34.65,
45,3456.105,76.25,58.16,90.0,,36.34
46,3456.249,77.59,59.21,90.0,,36.3
47,3456.399,78.82,60.25,90.0,,36.26
48,3456.583,80.36,61.28,90.0,,36.22
49,3456.73,81.77,62.29,90.0,,36.19
50,3456.879,82.96,63.33,90.0,,36.16
51,3457.046,84.06,64.33,90.0,,36.13
52,3457.2,85.18,65.31,90.0,,36.1
53,3457.347,86.7,66.32,90.0,,36.07
54,3457.523,87.73,67.3,90.0,,36.05
55,3481.04,,,,36.06,
56,3457.675,88.88,68.26,90.0,,36.02
57,3457.825,90.32,69.23,90.0,,36.0
58,3457.974,91.34,70.19,90.0,,35.98
59,3458.139,92.36,71.13,90.0,37.82,35.96
60,3458.294,93.35,72.06,90.0,,35.94
61,3458.441,94.64,73.0,90.0,,35.92
62,3458.591,95.53,73.92,90.0,,35.91
63,3458.744,96.43,74.8,90.0,39.92,35.9
64,3458.894,97.65,75.69,90.0,,35.89
65,3459.043,98.51,76.57,90.0,,35.87
66,3487.674,,,,42.39,
67,3459.193,99.36,77.43,90.0,,35.86
68,3488.779,,,,45.67,
69,3459.347,100.2,78.28,90.0,51.47,35.86
70,3459.494,101.32,79.14,90.0,,35.84
71,3459.644,102.13,79.98,90.0,,35.84
72,3459.799,102.89,80.79,90.0,,35.83
73,3459.944,103.89,81.62,90.0,61.04,35.82
74,3460.094,104.66,82.43,90.0,,35.82
75,3460.249,105.41,83.22,90.0,,35.81
76,3460.394,106.4,84.02,90.0,,35.81
77,3460.544,107.09,84.8,90.0,69.98,35.81
78,3460.698,107.81,85.57,90.0,,35.81
79,3460.849,108.71,86.35,90.0,,35.81
80,3460.999,109.38,87.1,90.0,,35.81
81,3461.153,109.97,87.83,90.0,,35.81
82,3461.299,110.17,88.51,90.0,,35.84
83,3461.449,109.73,89.07,90.0,,35.92
84,3461.606,108.91,89.49,90.0,,36.05
85,3461.746,107.38,89.71,90.0,76.55,36.28
86,3499.843,,,,80.71,
87,3461.894,106.03,89.78,90.0,,36.48
88,3462.052,104.68,89.73,90.0,,36.68
89,3462.197,103.4,89.58,90.0,,36.93
90,3462.347,102.9,89.43,90.0,82.61,37.06
91,3462.502,102.6,89.32,90.0,,37.16
92,3462.647,102.34,89.24,90.0,,37.26
93,3462.797,102.22,89.2,90.0,,37.31
94,3462.952,102.09,89.19,90.0,83.87,37.35
95,3463.097,101.88,89.19,90.0,,37.38
96,3463.247,101.74,89.21,90.0,,37.41
97,3463.402,101.55,89.25,90.0,,37.42
98,3463.547,101.33,89.28,90.0,84.72,37.43
99,3463.697,101.14,89.32,90.0,,37.44
100,3463.852,101.0,89.37,90.0,,37.45
101,3463.997,100.77,89.41,90.0,,37.45
102,3464.147,100.6,89.46,90.0,85.29,37.45
103,3464.302,100.47,89.51,90.0,,37.45
104,3464.447,100.29,89.56,90.0,,37.45
105,3464.597,100.18,89.62,90.0,,37.46
106,3464.753,100.08,89.68,90.0,85.74,37.46
107,3464.891,99.94,89.74,90.0,,37.46
108,3465.041,99.81,89.81,90.0,,37.46
109,3465.196,99.71,89.87,90.0,,37.46
110,3465.342,99.56,89.93,90.0,86.57,37.46
111,3465.492,99.43,89.99,90.0,,37.45
112,3465.646,99.31,90.05,90.0,,37.45
113,3465.791,99.14,90.1,90.0,,37.46
114,3465.942,99.02,90.15,90.0,86.56,37.46
115,3466.096,98.89,90.2,90.0,,37.47
116,3466.241,98.71,90.24,90.0,,37.46
117,3466.391,98.56,90.28,90.0,,37.47
118,3466.546,98.41,90.32,90.0,86.92,37.48
119,3519.738,,,,86.47,
120,3466.692,98.2,90.34,90.0,,37.48
121,3466.842,98.05,90.36,90.0,,37.49
122,3466.997,97.91,90.39,90.0,,37.5
123,3467.144,97.72,90.4,90.0,84.35,37.51
124,3467.294,97.55,90.41,90.0,,37.51
125,3467.444,97.39,90.42,90.0,,37.52
126,3467.599,97.24,90.43,90.0,,37.52
127,3467.745,97.01,90.43,90.0,,37.53
128,3467.895,96.84,90.42,90.0,,37.54
129,3468.049,96.69,90.41,90.0,,37.54
130,3526.362,,,,81.64,
131,3468.196,96.48,90.4,90.0,,37.55
132,3468.346,96.34,90.39,90.0,78.99,37.56
133,3468.5,96.13,90.37,90.0,,37.56
134,3468.646,95.99,90.36,90.0,,37.57
135,3468.796,95.84,90.34,90.0,,37.58
136,3468.95,95.7,90.32,90.0,77.74,37.59
137,3469.097,95.53,90.3,90.0,,37.59
138,3469.247,95.4,90.28,90.0,,37.6
139,3469.399,95.27,90.26,90.0,,37.61
140,3469.549,95.16,90.25,90.0,77.74,37.61
141,3532.993,,,,77.96,
142,3469.699,94.98,90.23,90.0,,37.62
143,3469.848,94.87,90.21,90.0,,37.62
144,3469.998,94.76,90.19,90.0,,37.63
145,3470.144,94.64,90.17,80.0,77.95,37.64
146,3470.294,94.53,90.15,80.0,,37.65
147,3470.443,94.39,90.13,80.0,,37.66
148,3470.596,93.84,90.08,80.0,,37.7
149,3470.745,93.08,89.96,80.0,78.03,37.77
150,3470.895,92.1,89.76,80.0,,37.9
151,3471.046,90.58,89.44,80.0,,38.1
152,3539.623,,,,77.75,
153,3471.195,89.36,89.04,80.0,,38.27
