,timeSineBoot,PCR Temp,PCR Modeled TempC,PCR Target TempC,PCR Thermocouple TempC,PCR HeatSink TempC
135,7947.255,97.59,90.37,90.0,,32.97
136,7947.405,97.25,90.32,90.0,71.38,32.99
137,7947.555,97.01,90.27,90.0,,33.0
138,7947.705,96.76,90.23,90.0,,33.02
139,7947.855,96.47,90.18,90.0,,33.03
140,7948.006,96.26,90.14,90.0,72.21,33.04
141,7948.156,96.05,90.11,90.0,,33.05
142,8011.75,,,,73.58,
143,7948.306,95.77,90.07,90.0,,33.06
144,8012.859,,,,74.61,
145,7948.456,95.58,90.03,90.0,,33.07
146,7948.606,95.42,90.01,90.0,75.21,33.09
147,7948.756,95.26,89.99,90.0,,33.1
148,7948.907,95.02,89.96,90.0,,33.11
149,7949.057,94.89,89.94,90.0,,33.12
150,7949.207,94.69,89.92,90.0,75.61,33.12
151,7949.353,94.56,89.9,80.0,,33.14
152,7949.503,94.43,89.88,80.0,,33.15
153,7949.653,94.27,89.87,80.0,,33.16
154,7949.804,93.78,89.79,80.0,,33.2
155,8019.493,,,,75.87,
156,7949.954,93.11,89.63,80.0,,33.28
157,7950.104,92.19,89.37,80.0,,33.38
158,7950.254,90.72,88.92,80.0,,33.55
159,7950.404,89.53,88.42,80.0,76.01,33.71
160,7950.554,88.27,87.88,80.0,,33.86
161,7950.705,86.54,87.19,80.0,,34.09
162,7950.855,85.23,86.52,80.0,,34.27
163,7951.005,83.48,85.8,80.0,76.0,34.52
164,7951.155,82.16,85.05,80.0,,34.7
165,7951.305,80.84,84.33,80.0,,34.88
166,8026.127,,,,76.1,
167,7951.466,79.09,83.56,80.0,,35.14
168,7951.616,77.81,82.77,80.0,76.07,35.34
169,7951.766,76.62,82.04,80.0,,35.52
170,7951.916,75.44,81.35,80.0,,35.71
171,7952.066,74.87,80.76,80.0,,35.82
172,7952.218,74.54,80.31,80.0,76.22,35.9
173,7952.369,74.38,79.99,80.0,,35.96
174,7952.522,74.38,79.76,80.0,,35.98
175,7952.66,74.46,79.61,80.0,,36.0
176,7952.81,74.66,79.53,80.0,76.28,36.0
177,7952.96,74.86,79.49,80.0,,35.99
178,7953.11,75.09,79.49,80.0,,35.97
179,8033.901,,,,76.4,
180,7953.26,75.42,79.52,80.0,,35.96
181,7953.411,75.67,79.58,80.0,76.48,35.94
182,7953.561,75.97,79.64,80.0,,35.93
183,7953.711,76.28,79.72,80.0,,35.89
184,7953.861,76.52,79.79,80.0,,35.86
185,7954.011,76.75,79.87,80.0,75.68,35.84
186,7954.161,77.04,79.94,80.0,,35.8
187,7954.311,77.23,80.01,80.0,,35.77
188,7954.461,77.41,80.07,80.0,,35.75
189,7954.611,77.58,80.12,80.0,71.5,35.72
190,8040.542,,,,66.26,
191,7954.761,77.76,80.17,80.0,,35.7
192,7954.911,77.9,80.21,80.0,,35.68
193,7955.061,78.03,80.25,80.0,,35.66
194,7955.211,78.17,80.28,80.0,61.64,35.63
195,7955.361,78.26,80.3,80.0,,35.62
196,7955.511,78.33,80.32,80.0,,35.59
197,7955.661,78.42,80.33,80.0,,35.57
198,7955.811,78.48,80.34,80.0,59.34,35.55
199,7955.961,78.52,80.34,80.0,,35.54
200,7956.111,78.58,80.34,80.0,,35.52
