,timeSineBoot,PCR Temp,PCR Modeled TempC,PCR Target TempC,PCR Thermocouple TempC,PCR HeatSink TempC
0,3994.806,,,,30.4,
1,3995.401,,,,30.42,
2,3995.967,,,,30.37,
3,3996.325,,,,30.48,
4,3997.182,,,,30.45,
5,3997.508,,,,30.36,
6,3998.397,,,,30.37,
7,3998.892,,,,30.38,
8,3999.522,,,,30.42,
9,4000.015,,,,30.45,
10,4000.829,,,,30.37,
11,4001.365,,,,30.46,
12,4001.996,,,,30.67,
13,4001.053,31.72,31.71,55.0,,31.38
14,4003.129,,,,31.56,
15,4003.795,,,,33.05,
16,4001.202,31.72,31.71,55.0,,31.38
17,4001.352,31.79,31.71,55.0,,31.37
18,4001.502,32.03,31.73,55.0,,31.34
19,4001.652,32.99,31.85,55.0,,31.25
20,4001.802,33.65,32.04,55.0,,31.2
21,4001.952,35.14,32.33,55.0,,31.1
22,4002.102,36.71,32.76,55.0,,31.0
23,4002.252,38.38,33.29,55.0,,30.9
24,4002.402,40.4,33.92,55.0,,30.79
25,4002.552,42.05,34.66,55.0,34.6,30.7
26,4002.702,43.66,35.45,55.0,,30.63
27,4002.852,45.02,36.24,55.0,,30.56
28,4003.002,46.97,37.13,55.0,,30.47
29,4003.152,49.12,38.08,55.0,,30.37
30,4003.31,50.47,39.02,55.0,,30.31
31,4003.452,52.38,40.04,55.0,,30.24
32,4003.602,53.95,41.07,55.0,,30.17
33,4003.753,54.97,42.06,55.0,,30.13
34,4003.913,56.65,43.04,55.0,,30.07
35,4004.061,58.64,44.09,55.0,,30.0
36,4004.211,59.69,45.11,55.0,,29.96
37,4004.361,61.48,46.14,55.0,37.26,29.89
38,4004.511,63.41,47.2,55.0,,29.83
39,4004.661,64.73,48.26,55.0,,29.79
40,4004.817,66.04,49.3,55.0,,29.76
41,4004.967,67.3,50.32,55.0,40.5,29.72
42,4005.117,68.85,51.37,55.0,,29.69
43,4020.54,,,,45.07,
44,4005.267,69.65,52.34,55.0,,29.74
45,4021.644,,,,48.84,
46,4005.417,70.0,53.21,55.0,,29.87
47,4005.567,69.78,53.93,55.0,54.55,30.13
48,4005.718,69.24,54.5,55.0,,30.37
49,4005.868,68.49,54.91,55.0,,30.64
50,4006.014,67.26,55.13,55.0,,31.02
51,4006.164,66.23,55.24,55.0,59.13,31.32
52,4006.313,65.18,55.24,55.0,,31.6
53,4006.461,64.06,55.12,55.0,,31.88
54,4006.61,63.57,55.0,55.0,,31.99
55,4006.76,63.31,54.9,55.0,59.28,32.07
56,4028.3,,,,58.82,
57,4006.91,63.17,54.83,55.0,,32.11
58,4007.06,63.13,54.79,55.0,,32.14
59,4007.21,63.1,54.78,55.0,,32.14
60,4007.36,63.02,54.79,55.0,58.15,32.15
61,4007.51,62.94,54.81,55.0,,32.15
62,4007.66,62.84,54.84,55.0,,32.14
63,4007.81,62.67,54.86,55.0,,32.14
64,4007.96,62.53,54.89,55.0,57.63,32.14
65,4008.11,62.37,54.92,55.0,,32.13
66,4008.26,62.17,54.94,55.0,,32.12
67,4008.41,62.01,54.96,55.0,,32.12
68,4008.56,61.85,54.98,55.0,57.15,32.11
69,4008.71,61.62,54.99,55.0,,32.09
70,4008.86,61.47,54.99,55.0,,32.09
71,4009.01,61.32,55.0,55.0,,32.08
