id,type,inst,cq,fmax,pcr noise,melt noise,tm
2738b9be-9839-4f93-aaa8-e608c3bda1fc,AdvBuild,1,23,1289,0.33,0.06,76
77924656-1329-4261-977b-443ff9cee3d9,AdvBuild,1,27,3777,0.09,0.04,76
76ee2066-4bde-464b-8c6e-c5a4884f4976,AdvBuild,1,15,-121,0.29,1.13,79
f7db03e3-7635-4bf0-ae4f-66e3bc971dec,AdvBuild,1,,, ,0.07,
8977702d-dece-4973-8ad5-c70f66c1c66a,AdvBuild,1,27,3346,0.02,0.03,76
4ce38759-98b8-4387-8030-523fecab9281,AdvBuild,1,28,2988,0.02,0.03,76
bab3f436-dd83-43f7-9db3-969eca9ab96a,AdvBuild,1,25,1251,0.14,0.1,77
10b698fb-bfc9-406f-82c1-9e3ba81ff7ba,AdvBuild,1,26,876,0.8,0.14,75
51cd9b55-b530-40dd-bfbe-a9af68a1cf1e,AdvBuild,1,25,2403,0.03,0.08,77
2c1b9113-4da6-40f3-b784-5d3ad8b4f44b,AdvBuild,1,25,1395,0.3,0.1,76
c1b2b956-5327-4ff4-bcd2-24186512ed39,AdvBuild,1,24,2722,0.07,0.05,77
4a8e98b3-548e-4736-b334-c65f596f899e,AdvBuild,1,31,1871,0.04,0.03,77
c988a790-883f-4933-bc39-2acbfa334375,AdvBuild,1,28,1602,0.81,0.09,76
0d911d34-d4a7-4544-a357-39adbd6aa3a7,AdvBuild,1,27.7,516,0.15,0.04,76.8
7907701b-9a6e-4c53-92f4-92761a4ee60c,AdvBuild,1,26,2635,0.07,0.01,76.7
02b3891d-df4c-40ce-94e2-37bf5ca52851,AdvBuild,1,28,1429,0.28,0.08,76
311b97c1-70a8-4b0a-87cf-0073fa6026e0,AdvBuild,1,28,2687,0.07,0.03,77
5deb2659-bb17-4aa3-9bd4-ea5e8914a87b,AdvBuild,1,25,1695,0.09,0.04,77
affa9852-1328-4bd4-9c32-afa756199951,AdvBuild,1,26,2354,0.28,0.08,76
e3ebc822-0a30-4b64-bb0a-de01c942bc01,AdvBuild,1,24,3080,0.08,0.03,76
e7e8cb10-5ba0-4a5f-b572-c50ef49d0c8f,AdvBuild,1,25,2448,0.04,0.07,77
6e3927c5-a6fc-4c58-8429-57c6d2c794de,AdvBuild,1,,, ,  ,
b2ff6b1d-021e-4934-b740-8badbe3572ec,AdvBuild,1,29,2770,0.07,0.04,77
751882a4-dc8f-408e-8ef4-c3367ee3812e,AdvBuild,1,33,1657,0.08,0.06,76
51273551-0c54-41db-8b2e-7829c4c2af4a,AdvBuild,1,23,1685,1.75,0.36,76
8bf18794-48f3-4fac-8647-1b925b1392fd,AdvBuild,1,27,970,0.3,0.09,75
85f68609-4035-4f5a-b9e2-8f2d9e9bc9a6,AdvBuild,1,27,1638,0.52,0.08,75
04d0968b-e144-4e5e-aa25-0c2fc108f019,AdvBuild,1,29,1156,0.16,0.06,77
bded777d-27d0-483b-8222-50717db3965b,AdvBuild,1,30,1251,0.34,0.08,77
549f0b9d-bf0f-4a33-9e6e-058d7e14bd1e,AdvBuild,1,18,-1030,0.99,0.2,75
2745433b-8e84-4881-abb9-05b657c1133b,AdvBuild,1,,, ,0,
b25280f4-c3ca-4e94-ba3d-e27b06ffb6fe,AdvBuild,1,,, ,  ,
aa06f729-be23-440c-a708-6a19091961b2,AdvBuild,1,25.5,2174,0.11,0.08,76.6
a5a639a0-5ae0-423c-a1a2-c8b3c0fedc2f,AdvBuild,1,26,1587,0.08,0.04,77
948461e3-036b-497f-95ee-1d72d62ce85f,AdvBuild,1,26,1103,0.08,0.02,77
