inst,cq,tm,fmax,pcrnoise,meltnoise
AdvBuild26,30 | 83,,2489,0.02 | 0.01 ,
AdvBuild25,29 | 83,,1894,0.03 | 0.03 ,
AdvBuild26,37 | 85,,119,0.20 | 0.07 ,
AdvBuild25,29 | 83,,1240,0.04 | 0.03 ,
AdvBuild27,30 | 83,,2110,0.02 | 0.02 ,
AdvBuild02,29 | 83,,3885,0.02 | 0.01 ,
AdvBuild26,27 | 84,,3571,0.02 | 0.01 ,
AdvBuild27,26 | 84,,2876,0.02 | 0.02 ,
AdvBuild09,,,, |  ,
AdvBuild02,36 | 84,,811,0.04 | 0.05 ,
AdvBuild26,27 | 84,,3027,0.02 | 0.01 ,
AdvBuild27,35 | 84,,277,0.09 | 0.03 ,
AdvBuild25,29 | 84,,1285,0.03 | 0.03 ,
AdvBuild02,27 | 83,,3450,0.02 | 0.46 ,
AdvBuild09,36 | ,,162,0.17 |  ,
AdvBuild27,22 | 72,,-38,0.22 | 0.08 ,
AdvBuild26,27 | 84,,3724,0.02 | 0.01 ,
AdvBuild02,27 | 83,,4847,0.04 | 0.01 ,
AdvBuild25,29 | 83,,1717,0.03 | 0.03 ,
AdvBuild12,6 | ,,10,0.30 |  ,
AdvBuild27,29 | 83,,1948,0.02 | 0.02 ,
AdvBuild25,29 | 83,,1332,0.02 | 0.03 ,
AdvBuild26,29 | 83,,1798,0.03 | 0.05 ,
AdvBuild02,36 | 84,,323,0.17 | 0.12 ,
AdvBuild09,28 | 83,,2118,0.02 | 0.03 ,
AdvBuild27,10 | ,,-63,0.97 | 0.06 ,
AdvBuild26,29 | 83,,2862,0.02 | 0.04 ,
AdvBuild25,29 | 83,,1483,0.04 | 0.02 ,
AdvBuild12,36 | 84,,146,0.30 | 0.06 ,
AdvBuild09,27 | 83,,3385,0.03 | 0.02 ,
AdvBuild02,9 | 77,,64,1.26 | 0.12 ,
AdvBuild12,29 | 83,,3299,0.02 | 0.03 ,
AdvBuild02,29 | 83,,3994,0.03 | 0.03 ,
AdvBuild09,28 | 83,,3411,0.02 | 0.03 ,
AdvBuild25,29 | 83,,1845,0.28 | 0.02 ,
AdvBuild26,18 | 81,,-25,1.21 | 0.19 ,
AdvBuild09,25 | ,,-41,0.23 | 0.12 ,
AdvBuild25,31 | 84,,1340,0.05 | 0.04 ,
AdvBuild26,30 | 84,,2609,0.03 | 0.02 ,
AdvBuild12,15 | ,,-31,1.06 | 0.23 ,
AdvBuild02,7 | ,,-15,0.72 | 0.19 ,
AdvBuild25,29 | 83,,2050,0.03 | 0.02 ,
AdvBuild26,7 | ,,-71,1.29 | 0.06 ,
AdvBuild09,18 | ,,-69,0.15 | 0.06 ,
AdvBuild12,28 | 83,,2998,0.02 | 0.21 ,
AdvBuild02,30 | 83,,3890,0.05 | 0.02 ,
AdvBuild02,,,-11,0.08 |  ,
AdvBuild12,28 | 83,,3650,0.01 | 0.02 ,
AdvBuild01,30 | 83,,3185,0.02 | 0.29 ,
AdvBuild26,35 | 84,,383,0.07 | 0.04 ,
AdvBuild09,28 | 83,,2427,0.03 | 0.06 ,
AdvBuild12,28 | 83,,3612,0.02 | 0.04 ,
AdvBuild01,29 | 83,,2514,0.12 | 0.02 ,
AdvBuild02,33 | 84,,657,0.06 | 0.06 ,
AdvBuild26,29 | 84,,1193,0.03 | 0.03 ,
AdvBuild09,33 | 84,,627,0.05 | 0.03 ,
AdvBuild02,28 | 83,,3259,0.03 | 0.05 ,
AdvBuild12,29 | 83,,3327,0.02 | 0.02 ,
AdvBuild26,30 | 83,,2698,0.02 | 0.02 ,
AdvBuild01,,,, |  ,
AdvBuild09,29 | 83,,2823,0.03 | 0.03 ,
AdvBuild09,29 | 83,,3105,0.02 | 0.01 ,
AdvBuild01,29 | 83,,2950,0.02 | 0.03 ,
AdvBuild02,30 | 83,,4025,0.04 | 0.01 ,
AdvBuild12,29 | 83,,3430,0.02 | 0.05 ,
AdvBuild25,30 | 84,,1373,0.02 | 0.02 ,
AdvBuild02,13 | ,,-67,1.68 | 0.05 ,
AdvBuild26,8 | ,,-28,1.89 | 0.07 ,
AdvBuild12,28 | 83,,2944,0.02 | 0.02 ,
AdvBuild27,28 | 83,,2296,0.03 | 0.16 ,
AdvBuild02,29 | 83,,2324,0.03 | 0.04 ,
AdvBuild25,26 | 68,,-41,0.85 | 0.92 ,
AdvBuild26,30 | 84,,2499,0.02 | 0.01 ,
AdvBuild12,8 | ,,-68,0.75 | 0.15 ,
AdvBuild27,,,-30,0.56 | 0.07 ,
AdvBuild09,20 | ,,-92,0.22 | 0.05 ,
AdvBuild26,,,, |  ,
