numericValue
0.986
0.985
0.923
0.949
1.0189
1.019
1.37
0.958
1.322
1.297

1.234
0.963
1.298
0.713
0.507
1.027
1.253
0.598
0.955
0.999
0.962
0.894
0.942
0.954
1.07
0.969
1.259
0.948
0.954
1.008
0.957
0.916
0.947
