numericValue
1.15
1.234
1.285
1.284
1.286
1.155
1.323
1.156
1.031
1.198
1.158
1.315
1.312
1.315
1.294
1.371
1.289
1.312
1.206
1.305
1.226
1.149
1.19
1.306
1.327
1.138
1.201
1.239
1.302
1.31
1.428
1.198
1.285
1.206
1.153
1.283
1.069
1.312
1.22
1.36
1.335
1.276
1.141
1.288
1.28
1.317
1.313
1.472
1.139
1.275
1.254

1.345
1.307
1.305
1.285
1.247
1.306
1.326
1.314
1.32

1.321
1.19
1.351
1.309
1.312
1.3
1.164
1.148
1.159
1.372
1.277
1.296
1.281
1.252
1.236
1.275
1.31
1.341
1.299

1.339
1.244
1.19
1.105
1.121
1.21
1.227
1.291
1.303
1.301
1.294
1.428
1.315
0.86
1.233
1.274
1.158
1.142
1.296
1.405
1.375
1.242
1.29
1.377
1.365
