numericValue
0.832
1.061
1.046
1.133
1.24
1.02
0.993
1.143
1.049
1.066
1.044
1.212
1.13
1.119
1.115
1.296
1.121
1.113
1.173
0.919
1.122
1.007
1.1
1.029
1.179
1.115
1.124
1.081
1.208
1.263
1.218
1.005
1.231
1.196
1.1
1.129
1.049
1.048
1.138
1.161
1.135
1.165
1.165
0.988
1.062
1.113
1.093
1.055
1.134
1.131
1.061
1.152
1.112
1.174
1.112
1.109
1.029
1.162
1.196
1.085
1.056
1.073
1.133
1.082
1.008
