numericValue
1.175
1.254
1.233
0.927
1.199
0.987
1.236
1.08
1.241
1.219
1.253
1.224
1.266
1.169
1.23
1.168
1.258
1.267
1.037
1.289
1.184
1.265
1.267
1.197
1.219
1.25
1.256
1.132
1.138
1.095
1.174
1.154
1.202
1.143
