,Wavelength (nm),Transmission (%),Max (%),Half Max (%),50% Cut-On (nm),50% Cut-Off (nm),FWHM (nm),Center Wavelength (nm),Notes
69,401.516,4.86,,,,,,,
70,401.901,5.17,,,,,,,
71,402.286,7.78,,,,,,,
72,402.671,6.14,,,,,,,
73,403.055,6.97,,,,,,,
74,403.44,6.15,,,,,,,
75,403.825,7.78,,,,,,,
76,404.21,8.0,,,,,,,
77,404.594,8.08,,,,,,,
78,404.979,8.49,,,,,,,
79,405.363,10.16,,,,,,,
80,405.748,11.27,,,,,,,
81,406.132,13.93,,,,,,,
82,406.517,14.46,,,,,,,
83,406.901,19.32,,,,,,,
84,407.285,21.29,,,,,,,
85,407.67,26.26,,,,,,,
86,408.054,30.53,,,,,,,
87,408.438,36.28,,,,,,,
88,408.822,41.99,,,,,,,
89,409.206,48.31,,,,,,,
90,409.59,52.58,,,,,,,
91,409.974,58.21,,,,,,,
92,410.358,61.83,,,,,,,
93,410.742,67.33,,,,,,,
94,411.126,69.88,,,,,,,
95,411.51,72.82,,,,,,,
96,411.893,74.74,,,,,,,
97,412.277,75.94,,,,,,,
98,412.661,76.01,,,,,,,
99,413.044,77.22,,,,,,,
100,413.428,76.5,,,,,,,
101,413.811,76.56,,,,,,,
102,414.195,76.39,,,,,,,
103,414.578,76.52,,,,,,,
104,414.962,74.73,,,,,,,
105,415.345,74.6,,,,,,,
106,415.728,73.87,,,,,,,
107,416.111,73.07,,,,,,,
108,416.495,74.04,,,,,,,
109,416.878,74.92,,,,,,,
110,417.261,75.52,,,,,,,
111,417.644,76.82,,,,,,,
112,418.027,77.88,,,,,,,
113,418.41,79.43,,,,,,,
114,418.793,81.55,,,,,,,
115,419.175,82.09,,,,,,,
116,419.558,81.27,,,,,,,
117,419.941,83.14,,,,,,,
118,420.324,83.74,,,,,,,
119,420.706,84.09,,,,,,,
120,421.089,84.5,,,,,,,
121,421.471,83.83,,,,,,,
122,421.854,83.07,,,,,,,
123,422.236,82.51,,,,,,,
124,422.619,81.37,,,,,,,
125,423.001,80.38,,,,,,,
126,423.383,81.0,,,,,,,
127,423.765,81.11,,,,,,,
128,424.148,80.73,,,,,,,
129,424.53,80.67,,,,,,,
130,424.912,80.73,,,,,,,
131,425.294,80.72,,,,,,,
132,425.676,80.94,,,,,,,
133,426.058,81.33,,,,,,,
134,426.44,81.68,,,,,,,
135,426.822,81.62,,,,,,,
136,427.204,81.9,,,,,,,
137,427.585,81.23,,,,,,,
138,427.967,81.94,,,,,,,
139,428.349,80.73,,,,,,,
140,428.73,81.06,,,,,,,
141,429.112,80.79,,,,,,,
142,429.493,81.03,,,,,,,
143,429.875,80.77,,,,,,,
144,430.256,80.47,,,,,,,
145,430.638,80.64,,,,,,,
146,431.019,80.66,,,,,,,
147,431.4,80.1,,,,,,,
148,431.782,79.98,,,,,,,
149,432.163,79.19,,,,,,,
150,432.544,79.72,,,,,,,
151,432.925,78.72,,,,,,,
152,433.306,78.35,,,,,,,
153,433.687,78.19,,,,,,,
154,434.068,77.12,,,,,,,
155,434.449,76.74,,,,,,,
156,434.83,76.36,,,,,,,
157,435.211,75.85,,,,,,,
158,435.591,76.59,,,,,,,
159,435.972,76.67,,,,,,,
160,436.353,77.26,,,,,,,
161,436.733,76.71,,,,,,,
162,437.114,78.13,,,,,,,
163,437.494,77.54,,,,,,,
164,437.875,77.45,,,,,,,
165,438.255,77.9,,,,,,,
166,438.636,78.09,,,,,,,
167,439.016,78.36,,,,,,,
168,439.396,78.32,,,,,,,
169,439.776,77.55,,,,,,,
170,440.157,77.26,,,,,,,
171,440.537,76.85,,,,,,,
172,440.917,77.44,,,,,,,
173,441.297,75.71,,,,,,,
174,441.677,76.73,,,,,,,
175,442.057,76.43,,,,,,,
176,442.437,76.25,,,,,,,
177,442.817,76.51,,,,,,,
178,443.196,76.03,,,,,,,
179,443.576,76.79,,,,,,,
180,443.956,76.46,,,,,,,
181,444.335,76.48,,,,,,,
182,444.715,76.06,,,,,,,
183,445.095,74.92,,,,,,,
184,445.474,75.19,,,,,,,
185,445.854,74.73,,,,,,,
186,446.233,74.5,,,,,,,
187,446.612,73.96,,,,,,,
188,446.992,73.26,,,,,,,
189,447.371,73.22,,,,,,,
190,447.75,71.76,,,,,,,
191,448.129,71.61,,,,,,,
192,448.508,71.35,,,,,,,
193,448.887,71.21,,,,,,,
194,449.266,71.35,,,,,,,
195,449.645,71.15,,,,,,,
196,450.024,70.29,,,,,,,
197,450.403,69.59,,,,,,,
198,450.782,69.36,,,,,,,
199,451.161,67.88,,,,,,,
200,451.54,66.26,,,,,,,
201,451.918,64.24,,,,,,,
202,452.297,61.73,,,,,,,
203,452.675,58.38,,,,,,,
204,453.054,54.62,,,,,,,
205,453.432,50.38,,,,,,,
206,453.811,45.55,,,,,,,
207,454.189,40.52,,,,,,,
208,454.568,35.03,,,,,,,
209,454.946,29.86,,,,,,,
210,455.324,25.31,,,,,,,
211,455.702,20.48,,,,,,,
212,456.081,16.71,,,,,,,
213,456.459,13.17,,,,,,,
214,456.837,10.7,,,,,,,
215,457.215,8.73,,,,,,,
216,457.593,6.55,,,,,,,
217,457.971,5.55,,,,,,,
218,458.348,4.84,,,,,,,
219,458.726,4.57,,,,,,,
220,459.104,4.02,,,,,,,
221,459.482,3.81,,,,,,,
222,459.859,3.66,,,,,,,
223,460.237,3.79,,,,,,,
224,460.615,3.27,,,,,,,
225,460.992,3.19,,,,,,,
226,461.37,2.59,,,,,,,
227,461.747,2.76,,,,,,,
228,462.124,2.27,,,,,,,
229,462.502,1.97,,,,,,,
230,462.879,1.87,,,,,,,
231,463.256,1.44,,,,,,,
232,463.633,1.4,,,,,,,
233,464.01,0.73,,,,,,,
234,464.388,0.57,,,,,,,
235,464.765,0.96,,,,,,,
236,465.142,0.61,,,,,,,
237,465.519,0.62,,,,,,,
238,465.895,0.68,,,,,,,
239,466.272,0.83,,,,,,,
240,466.649,0.93,,,,,,,
241,467.026,0.86,,,,,,,
242,467.402,1.21,,,,,,,
243,467.779,1.15,,,,,,,
244,468.156,1.44,,,,,,,
245,468.532,1.12,,,,,,,
246,468.909,0.65,,,,,,,
247,469.285,0.7,,,,,,,
248,469.662,0.71,,,,,,,
249,470.038,0.07,,,,,,,
250,470.414,0.06,,,,,,,
251,470.791,0.16,,,,,,,
252,471.167,-0.04,,,,,,,
253,471.543,-0.46,,,,,,,
254,471.919,-0.3,,,,,,,
255,472.295,-0.43,,,,,,,
256,472.671,-0.37,,,,,,,
257,473.047,-0.18,,,,,,,
258,473.423,0.14,,,,,,,
259,473.799,0.3,,,,,,,
260,474.175,0.71,,,,,,,
261,474.55,0.58,,,,,,,
262,474.926,0.72,,,,,,,
263,475.302,0.76,,,,,,,
264,475.677,0.82,,,,,,,
265,476.053,0.62,,,,,,,
266,476.429,0.55,,,,,,,
267,476.804,0.79,,,,,,,
268,477.179,0.77,,,,,,,
269,477.555,0.51,,,,,,,
270,477.93,0.38,,,,,,,
271,478.305,0.55,,,,,,,
272,478.681,0.74,,,,,,,
273,479.056,0.64,,,,,,,
274,479.431,0.87,,,,,,,
275,479.806,0.78,,,,,,,
276,480.181,0.89,,,,,,,
277,480.556,0.98,,,,,,,
278,480.931,0.94,,,,,,,
279,481.306,0.84,,,,,,,
280,481.681,0.87,,,,,,,
281,482.056,1.06,,,,,,,
282,482.43,0.85,,,,,,,
283,482.805,1.03,,,,,,,
284,483.18,0.86,,,,,,,
285,483.554,0.77,,,,,,,
286,483.929,0.96,,,,,,,
287,484.303,0.71,,,,,,,
288,484.678,0.88,,,,,,,
289,485.052,1.06,,,,,,,
290,485.427,1.07,,,,,,,
291,485.801,1.3,,,,,,,
292,486.175,1.13,,,,,,,
293,486.549,1.26,,,,,,,
294,486.923,0.96,,,,,,,
295,487.298,1.21,,,,,,,
296,487.672,1.16,,,,,,,
297,488.046,1.0,,,,,,,
298,488.42,1.02,,,,,,,
299,488.794,0.94,,,,,,,
300,489.167,0.74,,,,,,,
301,489.541,0.89,,,,,,,
302,489.915,0.75,,,,,,,
303,490.289,0.73,,,,,,,
304,490.662,0.74,,,,,,,
305,491.036,0.77,,,,,,,
306,491.41,0.64,,,,,,,
307,491.783,0.64,,,,,,,
308,492.157,0.68,,,,,,,
309,492.53,0.83,,,,,,,
310,492.903,0.88,,,,,,,
311,493.277,0.84,,,,,,,
312,493.65,0.75,,,,,,,
313,494.023,0.77,,,,,,,
314,494.396,0.72,,,,,,,
315,494.77,0.7,,,,,,,
316,495.143,0.71,,,,,,,
317,495.516,0.72,,,,,,,
318,495.889,0.57,,,,,,,
319,496.262,0.56,,,,,,,
320,496.634,0.47,,,,,,,
321,497.007,0.48,,,,,,,
322,497.38,0.53,,,,,,,
323,497.753,0.48,,,,,,,
324,498.126,0.33,,,,,,,
325,498.498,0.5,,,,,,,
326,498.871,0.42,,,,,,,
327,499.243,0.38,,,,,,,
328,499.616,0.25,,,,,,,
