timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Target TempC,Stage1 Thermocouple TempC,Stage1 Heatsink,Stage1 Alternate1 Thermocouple TempC
4966.518,25.84,24,62,23.89,25.89,24.51
4966.518,25.84,24,62,23.89,25.89,24.51
4966.518,25.84,24,62,23.89,25.89,24.51
4966.518,25.84,24,62,23.89,25.89,24.51
4966.668,25.85,24,62,23.89,25.88,24.51
4966.668,25.85,24,62,23.89,25.88,24.51
4966.668,25.85,24,62,23.89,25.88,24.51
4966.668,25.85,24,62,23.89,25.88,24.51
4966.818,25.98,24,62,23.89,25.88,24.51
4966.818,25.98,24,62,23.89,25.88,24.51
4966.818,25.98,24,62,23.89,25.88,24.51
4966.818,25.98,24,62,23.89,25.88,24.51
4966.968,26.57,24,62,23.89,25.86,24.51
4966.968,26.57,24,62,23.89,25.86,24.51
4966.968,26.57,24,62,23.89,25.86,24.51
4966.968,26.57,24,62,23.89,25.86,24.51
4966.968,26.57,24,62,23.89,25.86,24.51
4966.968,26.57,24,62,23.89,25.86,24.51
4967.118,27.29,24,62,,25.84,
4967.118,27.29,24,62,,25.84,
4967.118,27.29,24,62,,25.84,
4967.118,27.29,24,62,,25.84,
4967.268,28.21,24,62,,25.8,
4967.268,28.21,24,62,,25.8,
4967.268,28.21,24,62,,25.8,
4967.268,28.21,24,62,,25.8,
4967.418,29.61,24,62,,25.73,
4967.418,29.61,24,62,,25.73,
4967.418,29.61,24,62,,25.73,
4967.418,29.61,24,62,,25.73,
4967.568,30.76,24,62,23.87,25.68,24.5
4967.568,30.76,24,62,23.87,25.68,24.5
4967.568,30.76,24,62,23.87,25.68,24.5
4967.568,30.76,24,62,23.87,25.68,24.5
4967.568,30.76,24,62,23.87,25.68,24.5
4967.568,30.76,24,62,23.87,25.68,24.5
4967.718,31.97,24,62,,25.62,
4967.718,31.97,24,62,,25.62,
4967.718,31.97,24,62,,25.62,
4967.718,31.97,24,62,,25.62,
4967.868,33.63,24,62,,25.53,
4967.868,33.63,24,62,,25.53,
4967.868,33.63,24,62,,25.53,
4967.868,33.63,24,62,,25.53,
4968.018,34.9,24,62,,25.47,
4968.018,34.9,24,62,,25.47,
4968.018,34.9,24,62,,25.47,
4968.018,34.9,24,62,,25.47,
4968.168,36.17,24,62,,25.41,
4968.168,36.17,24,62,,25.41,
4968.168,36.17,24,62,,25.41,
4968.168,36.17,24,62,,25.41,
4968.318,37.88,24,62,23.84,25.32,24.54
4968.318,37.88,24,62,23.84,25.32,24.54
4968.318,37.88,24,62,23.84,25.32,24.54
4968.318,37.88,24,62,23.84,25.32,24.54
4968.318,37.88,24,62,23.84,25.32,24.54
4968.318,37.88,24,62,23.84,25.32,24.54
4968.468,39.15,24,62,,25.26,
4968.468,39.15,24,62,,25.26,
4968.468,39.15,24,62,,25.26,
4968.468,39.15,24,62,,25.26,
4968.618,40.41,24,62,,25.19,
4968.618,40.41,24,62,,25.19,
4968.618,40.41,24,62,,25.19,
4968.618,40.41,24,62,,25.19,
4968.768,42.08,24,62,,25.07,
4968.768,42.08,24,62,,25.07,
4968.768,42.08,24,62,,25.07,
4968.768,42.08,24,62,,25.07,
4968.918,43.31,24,62,23.96,24.99,24.54
4968.918,43.31,24,62,23.96,24.99,24.54
