consumableId,415,445,480,515,555,590,630,680,NIR,CLR,DARK
74b09b9a-ed0a-4fe0-8a9c-6a2bb980b523,28.3,27.9,27.9,27.9,27.9,27.9,28,27.7,28.4,28,null
a82b8a44-a8be-4cdc-ad33-d4b6354dadca,29.5,20.6,29.1,28.5,28.7,28.9,25.2,28.7,28.9,30.8,null
6d10e62f-4a91-4824-a47f-2ab63db06729,29.9,30,29.6,29.6,29.6,29.8,29.8,29.5,29.6,29.3,null
7f016dde-389d-46c8-b40b-dd156bf5fe8c,30.2,30,29.6,29.5,29.5,29.6,29.8,29.9,30.2,29.4,null
0acb66d1-40e8-4c39-9e45-7ad656529d9e,28.7,29.1,28.3,28.2,28.3,28.3,28.1,28.3,29,27.1,null
a647050f-fb07-4384-b735-4e71d6cff9f0,29.8,29.4,29.6,29.8,29.8,29.9,29.4,29.8,29.5,29.6,null
04112c17-5d30-472d-9817-066f872fa7fd,28.9,28.5,29.1,29.1,29.2,29.1,29.1,29.2,28.7,29.1,null
1497dca5-33de-4a34-be5a-091bd4d65422,28.5,23.3,28.5,28.5,28.5,28.4,28,28.2,27.7,27.5,null
3d60e99b-9213-472a-a855-29a1b0d6adb9,30.2,25.4,30.2,30.2,30.2,30.2,30,30.2,30,30.2,null
c386ccc2-5357-49b1-ae98-bc7d6382f037,28.5,29.4,29.3,29.3,29.3,29.3,29.2,29.1,28.5,29,null
7c1ea47c-2970-4f14-85f1-6c26d90f2dcf,26.7,19.5,27.4,27.4,27.5,27.2,26,27.5,27.5,25.6,null
8ffda590-63eb-4523-8525-4253d61ac8c3,29.8,30,30,29.9,30,30,29.9,30,30,29.9,null
c129e3f7-93c2-4791-b4b6-a6229d7e8524,29.4,29.4,29.9,29.8,29.8,29.6,29.6,30,29.6,29.8,null
a23e333e-e27e-486f-8180-9e27c9149afe,29.5,28.5,29.4,29.3,29.4,29.3,29.1,29.3,30.2,30,null
da3bbbf1-9e30-4c15-b374-54b78855d9c1,30.2,29.2,29.8,29.8,29.8,29.9,29.8,29.8,29.9,29.8,null
