timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Expected TempC,Stage1 Target TempC,Stage1 Thermocouple TempC,Stage1 Thermocouple TempC 2,Stage1 Thermocouple TempC 3
306.136,27.89,24.0,0.0,62.0,,,
306.136,27.89,24.0,0.0,62.0,,,
306.136,27.89,24.0,0.0,62.0,,,
306.136,27.89,24.0,0.0,62.0,,,
306.286,27.89,24.0,0.0,62.0,,,
306.286,27.89,24.0,0.0,62.0,,,
306.286,27.89,24.0,0.0,62.0,,,
306.286,27.89,24.0,0.0,62.0,,,
306.436,28.07,24.0,0.0,62.0,23.37,23.89,23.63
306.436,28.07,24.0,0.0,62.0,23.37,23.89,23.63
306.436,28.07,24.0,0.0,62.0,23.37,23.89,23.63
306.436,28.07,24.0,0.0,62.0,23.37,23.89,23.63
306.436,28.07,24.0,0.0,62.0,23.37,23.89,23.63
306.436,28.07,24.0,0.0,62.0,23.37,23.89,23.63
306.436,28.07,24.0,0.0,62.0,23.37,23.89,23.63
306.586,28.48,24.0,0.0,62.0,,,
306.586,28.48,24.0,0.0,62.0,,,
306.586,28.48,24.0,0.0,62.0,,,
306.586,28.48,24.0,0.0,62.0,,,
306.736,29.14,24.0,0.0,62.0,,,
306.736,29.14,24.0,0.0,62.0,,,
306.736,29.14,24.0,0.0,62.0,,,
306.736,29.14,24.0,0.0,62.0,,,
306.886,30.33,24.0,0.0,62.0,,,
306.886,30.33,24.0,0.0,62.0,,,
306.886,30.33,24.0,0.0,62.0,,,
306.886,30.33,24.0,0.0,62.0,,,
307.036,31.41,24.0,0.0,62.0,,,
307.036,31.41,24.0,0.0,62.0,,,
307.036,31.41,24.0,0.0,62.0,,,
307.036,31.41,24.0,0.0,62.0,,,
307.186,32.57,24.0,0.0,62.0,,,
307.186,32.57,24.0,0.0,62.0,,,
307.186,32.57,24.0,0.0,62.0,,,
307.186,32.57,24.0,0.0,62.0,,,
307.336,33.82,24.0,0.0,62.0,,,
307.336,33.82,24.0,0.0,62.0,,,
307.336,33.82,24.0,0.0,62.0,,,
307.336,33.82,24.0,0.0,62.0,,,
307.486,35.5,24.0,0.0,62.0,23.29,23.91,23.57
307.486,35.5,24.0,0.0,62.0,23.29,23.91,23.57
307.486,35.5,24.0,0.0,62.0,23.29,23.91,23.57
307.486,35.5,24.0,0.0,62.0,23.29,23.91,23.57
307.486,35.5,24.0,0.0,62.0,23.29,23.91,23.57
307.486,35.5,24.0,0.0,62.0,23.29,23.91,23.57
307.486,35.5,24.0,0.0,62.0,23.29,23.91,23.57
307.636,36.81,24.0,0.0,62.0,,,
307.636,36.81,24.0,0.0,62.0,,,
307.636,36.81,24.0,0.0,62.0,,,
307.636,36.81,24.0,0.0,62.0,,,
307.786,38.13,24.0,0.0,62.0,,,
307.786,38.13,24.0,0.0,62.0,,,
307.786,38.13,24.0,0.0,62.0,,,
307.786,38.13,24.0,0.0,62.0,,,
307.936,39.86,24.0,0.0,62.0,,,
307.936,39.86,24.0,0.0,62.0,,,
307.936,39.86,24.0,0.0,62.0,,,
307.936,39.86,24.0,0.0,62.0,,,
308.086,41.17,24.0,0.0,62.0,,,
308.086,41.17,24.0,0.0,62.0,,,
308.086,41.17,24.0,0.0,62.0,,,
308.086,41.17,24.0,0.0,62.0,,,
308.236,42.45,24.0,0.0,62.0,,,
308.236,42.45,24.0,0.0,62.0,,,
308.236,42.45,24.0,0.0,62.0,,,
308.236,42.45,24.0,0.0,62.0,,,
308.386,43.72,24.0,0.0,62.0,,,
308.386,43.72,24.0,0.0,62.0,,,
308.386,43.72,24.0,0.0,62.0,,,
308.386,43.72,24.0,0.0,62.0,,,
308.536,45.44,24.0,0.0,62.0,23.26,23.91,23.59
308.536,45.44,24.0,0.0,62.0,23.26,23.91,23.59
308.536,45.44,24.0,0.0,62.0,23.26,23.91,23.59
308.536,45.44,24.0,0.0,62.0,23.26,23.91,23.59
308.536,45.44,24.0,0.0,62.0,23.26,23.91,23.59
308.536,45.44,24.0,0.0,62.0,23.26,23.91,23.59
308.536,45.44,24.0,0.0,62.0,23.26,23.91,23.59
308.686,46.69,24.0,0.0,62.0,,,
308.686,46.69,24.0,0.0,62.0,,,
308.686,46.69,24.0,0.0,62.0,,,
308.686,46.69,24.0,0.0,62.0,,,
308.836,47.91,24.0,0.0,62.0,,,
308.836,47.91,24.0,0.0,62.0,,,
308.836,47.91,24.0,0.0,62.0,,,
308.836,47.91,24.0,0.0,62.0,,,
308.986,49.54,24.0,0.0,62.0,,,
308.986,49.54,24.0,0.0,62.0,,,
308.986,49.54,24.0,0.0,62.0,,,
308.986,49.54,24.0,0.0,62.0,,,
309.136,50.76,24.0,0.0,62.0,,,
309.136,50.76,24.0,0.0,62.0,,,
309.136,50.76,24.0,0.0,62.0,,,
309.136,50.76,24.0,0.0,62.0,,,
309.286,51.93,24.0,0.0,62.0,,,
309.286,51.93,24.0,0.0,62.0,,,
309.286,51.93,24.0,0.0,62.0,,,
309.286,51.93,24.0,0.0,62.0,,,
309.436,53.47,24.0,0.0,62.0,23.28,23.97,23.6
309.436,53.47,24.0,0.0,62.0,23.28,23.97,23.6
309.436,53.47,24.0,0.0,62.0,23.28,23.97,23.6
309.436,53.47,24.0,0.0,62.0,23.28,23.97,23.6
309.436,53.47,24.0,0.0,62.0,23.28,23.97,23.6
309.436,53.47,24.0,0.0,62.0,23.28,23.97,23.6
309.436,53.47,24.0,0.0,62.0,23.28,23.97,23.6
309.586,54.63,24.0,0.0,62.0,,,
309.586,54.63,24.0,0.0,62.0,,,
309.586,54.63,24.0,0.0,62.0,,,
309.586,54.63,24.0,0.0,62.0,,,
309.736,55.73,24.0,0.0,62.0,,,
309.736,55.73,24.0,0.0,62.0,,,
309.736,55.73,24.0,0.0,62.0,,,
309.736,55.73,24.0,0.0,62.0,,,
309.886,56.87,24.0,0.0,62.0,,,
309.886,56.87,24.0,0.0,62.0,,,
309.886,56.87,24.0,0.0,62.0,,,
309.886,56.87,24.0,0.0,62.0,,,
310.036,58.1,24.0,0.0,62.0,,,
310.036,58.1,24.0,0.0,62.0,,,
310.036,58.1,24.0,0.0,62.0,,,
310.036,58.1,24.0,0.0,62.0,,,
310.186,59.54,24.0,0.0,62.0,,,
310.186,59.54,24.0,0.0,62.0,,,
310.186,59.54,24.0,0.0,62.0,,,
310.186,59.54,24.0,0.0,62.0,,,
310.336,60.6,24.0,0.0,62.0,,,
310.336,60.6,24.0,0.0,62.0,,,
310.336,60.6,24.0,0.0,62.0,,,
310.336,60.6,24.0,0.0,62.0,,,
310.486,61.63,24.0,0.0,62.0,,,
310.486,61.63,24.0,0.0,62.0,,,
310.486,61.63,24.0,0.0,62.0,,,
310.486,61.63,24.0,0.0,62.0,,,
310.5,,,,,23.41,24.06,23.67
310.5,,,,,23.41,24.06,23.67
310.5,,,,,23.41,24.06,23.67
310.636,62.97,24.0,0.0,62.0,,,
310.636,62.97,24.0,0.0,62.0,,,
310.636,62.97,24.0,0.0,62.0,,,
310.636,62.97,24.0,0.0,62.0,,,
310.786,63.98,24.0,0.0,62.0,,,
310.786,63.98,24.0,0.0,62.0,,,
310.786,63.98,24.0,0.0,62.0,,,
310.786,63.98,24.0,0.0,62.0,,,
310.936,64.97,24.0,0.0,62.0,,,
310.936,64.97,24.0,0.0,62.0,,,
310.936,64.97,24.0,0.0,62.0,,,
310.936,64.97,24.0,0.0,62.0,,,
311.086,66.27,24.08,0.0,62.0,,,
311.086,66.27,24.08,0.0,62.0,,,
311.086,66.27,24.08,0.0,62.0,,,
311.086,66.27,24.08,0.0,62.0,,,
311.236,67.24,24.22,0.0,62.0,,,
311.236,67.24,24.22,0.0,62.0,,,
311.236,67.24,24.22,0.0,62.0,,,
311.236,67.24,24.22,0.0,62.0,,,
311.386,68.16,24.36,0.0,62.0,,,
311.386,68.16,24.36,0.0,62.0,,,
311.386,68.16,24.36,0.0,62.0,,,
311.386,68.16,24.36,0.0,62.0,,,
311.536,69.09,24.51,0.0,62.0,23.49,24.23,23.65
311.536,69.09,24.51,0.0,62.0,23.49,24.23,23.65
311.536,69.09,24.51,0.0,62.0,23.49,24.23,23.65
311.536,69.09,24.51,0.0,62.0,23.49,24.23,23.65
311.536,69.09,24.51,0.0,62.0,23.49,24.23,23.65
311.536,69.09,24.51,0.0,62.0,23.49,24.23,23.65
311.536,69.09,24.51,0.0,62.0,23.49,24.23,23.65
311.686,70.31,24.67,0.0,62.0,,,
311.686,70.31,24.67,0.0,62.0,,,
311.686,70.31,24.67,0.0,62.0,,,
311.686,70.31,24.67,0.0,62.0,,,
311.836,71.19,24.84,0.0,62.0,,,
311.836,71.19,24.84,0.0,62.0,,,
311.836,71.19,24.84,0.0,62.0,,,
311.836,71.19,24.84,0.0,62.0,,,
311.986,72.09,25.01,0.0,62.0,,,
311.986,72.09,25.01,0.0,62.0,,,
311.986,72.09,25.01,0.0,62.0,,,
311.986,72.09,25.01,0.0,62.0,,,
312.136,73.27,25.19,0.0,62.0,,,
312.136,73.27,25.19,0.0,62.0,,,
312.136,73.27,25.19,0.0,62.0,,,
312.136,73.27,25.19,0.0,62.0,,,
312.286,74.13,25.37,0.0,62.0,,,
312.286,74.13,25.37,0.0,62.0,,,
312.286,74.13,25.37,0.0,62.0,,,
312.286,74.13,25.37,0.0,62.0,,,
312.436,74.97,25.56,0.0,62.0,25.49,24.36,23.72
312.436,74.97,25.56,0.0,62.0,25.49,24.36,23.72
312.436,74.97,25.56,0.0,62.0,25.49,24.36,23.72
312.436,74.97,25.56,0.0,62.0,25.49,24.36,23.72
312.436,74.97,25.56,0.0,62.0,25.49,24.36,23.72
312.436,74.97,25.56,0.0,62.0,25.49,24.36,23.72
312.436,74.97,25.56,0.0,62.0,25.49,24.36,23.72
312.586,76.02,25.75,0.0,62.0,,,
312.586,76.02,25.75,0.0,62.0,,,
312.586,76.02,25.75,0.0,62.0,,,
312.586,76.02,25.75,0.0,62.0,,,
312.736,76.85,25.95,0.0,62.0,,,
312.736,76.85,25.95,0.0,62.0,,,
312.736,76.85,25.95,0.0,62.0,,,
312.736,76.85,25.95,0.0,62.0,,,
312.886,77.66,26.15,0.0,62.0,,,
312.886,77.66,26.15,0.0,62.0,,,
312.886,77.66,26.15,0.0,62.0,,,
312.886,77.66,26.15,0.0,62.0,,,
313.036,78.48,26.36,0.0,62.0,,,
313.036,78.48,26.36,0.0,62.0,,,
313.036,78.48,26.36,0.0,62.0,,,
313.036,78.48,26.36,0.0,62.0,,,
313.186,79.5,26.58,0.0,62.0,,,
313.186,79.5,26.58,0.0,62.0,,,
313.186,79.5,26.58,0.0,62.0,,,
313.186,79.5,26.58,0.0,62.0,,,
313.336,80.26,26.8,0.0,62.0,,,
313.336,80.26,26.8,0.0,62.0,,,
313.336,80.26,26.8,0.0,62.0,,,
313.336,80.26,26.8,0.0,62.0,,,
313.486,81.02,27.01,0.0,62.0,27.67,24.5,23.76
313.486,81.02,27.01,0.0,62.0,27.67,24.5,23.76
313.486,81.02,27.01,0.0,62.0,27.67,24.5,23.76
313.486,81.02,27.01,0.0,62.0,27.67,24.5,23.76
313.486,81.02,27.01,0.0,62.0,27.67,24.5,23.76
313.486,81.02,27.01,0.0,62.0,27.67,24.5,23.76
313.486,81.02,27.01,0.0,62.0,27.67,24.5,23.76
313.636,82.0,27.25,0.0,62.0,,,
313.636,82.0,27.25,0.0,62.0,,,
313.636,82.0,27.25,0.0,62.0,,,
313.636,82.0,27.25,0.0,62.0,,,
313.786,82.75,27.48,0.0,62.0,,,
313.786,82.75,27.48,0.0,62.0,,,
313.786,82.75,27.48,0.0,62.0,,,
313.786,82.75,27.48,0.0,62.0,,,
313.936,83.46,27.71,0.0,62.0,,,
313.936,83.46,27.71,0.0,62.0,,,
313.936,83.46,27.71,0.0,62.0,,,
313.936,83.46,27.71,0.0,62.0,,,
314.086,84.4,27.96,0.0,62.0,,,
314.086,84.4,27.96,0.0,62.0,,,
314.086,84.4,27.96,0.0,62.0,,,
314.086,84.4,27.96,0.0,62.0,,,
314.236,85.11,28.2,0.0,62.0,,,
314.236,85.11,28.2,0.0,62.0,,,
314.236,85.11,28.2,0.0,62.0,,,
314.236,85.11,28.2,0.0,62.0,,,
314.386,85.79,28.44,0.0,62.0,,,
314.386,85.79,28.44,0.0,62.0,,,
314.386,85.79,28.44,0.0,62.0,,,
314.386,85.79,28.44,0.0,62.0,,,
314.536,86.65,28.71,0.0,62.0,27.3,24.59,23.98
314.536,86.65,28.71,0.0,62.0,27.3,24.59,23.98
314.536,86.65,28.71,0.0,62.0,27.3,24.59,23.98
314.536,86.65,28.71,0.0,62.0,27.3,24.59,23.98
314.536,86.65,28.71,0.0,62.0,27.3,24.59,23.98
314.536,86.65,28.71,0.0,62.0,27.3,24.59,23.98
314.536,86.65,28.71,0.0,62.0,27.3,24.59,23.98
314.686,87.29,28.95,0.0,62.0,,,
314.686,87.29,28.95,0.0,62.0,,,
314.686,87.29,28.95,0.0,62.0,,,
314.686,87.29,28.95,0.0,62.0,,,
314.836,87.95,29.21,0.0,62.0,,,
314.836,87.95,29.21,0.0,62.0,,,
314.836,87.95,29.21,0.0,62.0,,,
314.836,87.95,29.21,0.0,62.0,,,
314.986,88.81,29.48,0.0,62.0,,,
314.986,88.81,29.48,0.0,62.0,,,
314.986,88.81,29.48,0.0,62.0,,,
314.986,88.81,29.48,0.0,62.0,,,
315.136,89.43,29.74,0.0,62.0,,,
315.136,89.43,29.74,0.0,62.0,,,
315.136,89.43,29.74,0.0,62.0,,,
315.136,89.43,29.74,0.0,62.0,,,
315.286,90.06,30.0,0.0,62.0,,,
315.286,90.06,30.0,0.0,62.0,,,
315.286,90.06,30.0,0.0,62.0,,,
315.286,90.06,30.0,0.0,62.0,,,
315.436,90.7,30.27,0.0,62.0,,,
315.436,90.7,30.27,0.0,62.0,,,
315.436,90.7,30.27,0.0,62.0,,,
315.436,90.7,30.27,0.0,62.0,,,
315.586,91.54,30.56,0.0,62.0,27.19,24.82,24.65
315.586,91.54,30.56,0.0,62.0,27.19,24.82,24.65
315.586,91.54,30.56,0.0,62.0,27.19,24.82,24.65
315.586,91.54,30.56,0.0,62.0,27.19,24.82,24.65
315.586,91.54,30.56,0.0,62.0,27.19,24.82,24.65
315.586,91.54,30.56,0.0,62.0,27.19,24.82,24.65
315.586,91.54,30.56,0.0,62.0,27.19,24.82,24.65
315.736,92.1,30.82,0.0,62.0,,,
315.736,92.1,30.82,0.0,62.0,,,
315.736,92.1,30.82,0.0,62.0,,,
315.736,92.1,30.82,0.0,62.0,,,
315.916,92.51,31.11,0.0,62.0,,,
315.916,92.51,31.11,0.0,62.0,,,
315.916,92.51,31.11,0.0,62.0,,,
315.916,92.51,31.11,0.0,62.0,,,
316.062,93.58,31.44,0.0,62.0,,,
316.062,93.58,31.44,0.0,62.0,,,
316.062,93.58,31.44,0.0,62.0,,,
316.062,93.58,31.44,0.0,62.0,,,
316.212,94.18,31.72,0.0,62.0,,,
316.212,94.18,31.72,0.0,62.0,,,
316.212,94.18,31.72,0.0,62.0,,,
316.212,94.18,31.72,0.0,62.0,,,
316.362,94.7,32.0,0.0,62.0,,,
316.362,94.7,32.0,0.0,62.0,,,
316.362,94.7,32.0,0.0,62.0,,,
316.362,94.7,32.0,0.0,62.0,,,
316.512,95.45,32.3,0.0,62.0,27.8,24.99,25.14
316.512,95.45,32.3,0.0,62.0,27.8,24.99,25.14
316.512,95.45,32.3,0.0,62.0,27.8,24.99,25.14
316.512,95.45,32.3,0.0,62.0,27.8,24.99,25.14
316.512,95.45,32.3,0.0,62.0,27.8,24.99,25.14
316.512,95.45,32.3,0.0,62.0,27.8,24.99,25.14
316.512,95.45,32.3,0.0,62.0,27.8,24.99,25.14
316.662,96.0,32.59,0.0,62.0,,,
316.662,96.0,32.59,0.0,62.0,,,
316.662,96.0,32.59,0.0,62.0,,,
316.662,96.0,32.59,0.0,62.0,,,
316.812,96.55,32.88,0.0,62.0,,,
316.812,96.55,32.88,0.0,62.0,,,
316.812,96.55,32.88,0.0,62.0,,,
316.812,96.55,32.88,0.0,62.0,,,
316.962,97.08,33.16,0.0,62.0,,,
316.962,97.08,33.16,0.0,62.0,,,
316.962,97.08,33.16,0.0,62.0,,,
316.962,97.08,33.16,0.0,62.0,,,
317.112,97.74,33.47,0.0,62.0,,,
317.112,97.74,33.47,0.0,62.0,,,
317.112,97.74,33.47,0.0,62.0,,,
317.112,97.74,33.47,0.0,62.0,,,
317.262,98.29,33.77,0.0,62.0,,,
317.262,98.29,33.77,0.0,62.0,,,
317.262,98.29,33.77,0.0,62.0,,,
317.262,98.29,33.77,0.0,62.0,,,
317.412,98.75,34.06,0.0,62.0,,,
317.412,98.75,34.06,0.0,62.0,,,
317.412,98.75,34.06,0.0,62.0,,,
317.412,98.75,34.06,0.0,62.0,,,
317.562,99.44,34.38,0.0,62.0,30.44,25.4,25.89
317.562,99.44,34.38,0.0,62.0,30.44,25.4,25.89
317.562,99.44,34.38,0.0,62.0,30.44,25.4,25.89
317.562,99.44,34.38,0.0,62.0,30.44,25.4,25.89
317.562,99.44,34.38,0.0,62.0,30.44,25.4,25.89
317.562,99.44,34.38,0.0,62.0,30.44,25.4,25.89
317.562,99.44,34.38,0.0,62.0,30.44,25.4,25.89
317.712,99.94,34.68,0.0,62.0,,,
317.712,99.94,34.68,0.0,62.0,,,
317.712,99.94,34.68,0.0,62.0,,,
317.712,99.94,34.68,0.0,62.0,,,
317.862,100.43,34.98,0.0,62.0,,,
317.862,100.43,34.98,0.0,62.0,,,
317.862,100.43,34.98,0.0,62.0,,,
317.862,100.43,34.98,0.0,62.0,,,
318.012,101.1,35.31,0.0,62.0,,,
318.012,101.1,35.31,0.0,62.0,,,
318.012,101.1,35.31,0.0,62.0,,,
318.012,101.1,35.31,0.0,62.0,,,
318.162,101.52,35.6,0.0,62.0,,,
318.162,101.52,35.6,0.0,62.0,,,
318.162,101.52,35.6,0.0,62.0,,,
318.162,101.52,35.6,0.0,62.0,,,
318.313,102.01,35.91,0.0,62.0,,,
318.313,102.01,35.91,0.0,62.0,,,
318.313,102.01,35.91,0.0,62.0,,,
318.313,102.01,35.91,0.0,62.0,,,
318.463,102.49,36.21,0.0,62.0,,,
318.463,102.49,36.21,0.0,62.0,,,
318.463,102.49,36.21,0.0,62.0,,,
318.463,102.49,36.21,0.0,62.0,,,
318.613,103.07,36.54,0.0,62.0,31.96,25.53,26.52
318.613,103.07,36.54,0.0,62.0,31.96,25.53,26.52
318.613,103.07,36.54,0.0,62.0,31.96,25.53,26.52
318.613,103.07,36.54,0.0,62.0,31.96,25.53,26.52
318.613,103.07,36.54,0.0,62.0,31.96,25.53,26.52
318.613,103.07,36.54,0.0,62.0,31.96,25.53,26.52
318.613,103.07,36.54,0.0,62.0,31.96,25.53,26.52
318.763,103.54,36.85,0.0,62.0,,,
318.763,103.54,36.85,0.0,62.0,,,
318.763,103.54,36.85,0.0,62.0,,,
318.763,103.54,36.85,0.0,62.0,,,
318.913,103.97,37.16,0.0,62.0,,,
318.913,103.97,37.16,0.0,62.0,,,
318.913,103.97,37.16,0.0,62.0,,,
318.913,103.97,37.16,0.0,62.0,,,
319.063,104.52,37.49,0.0,62.0,,,
319.063,104.52,37.49,0.0,62.0,,,
319.063,104.52,37.49,0.0,62.0,,,
319.063,104.52,37.49,0.0,62.0,,,
319.213,104.94,37.79,0.0,62.0,,,
319.213,104.94,37.79,0.0,62.0,,,
319.213,104.94,37.79,0.0,62.0,,,
319.213,104.94,37.79,0.0,62.0,,,
319.363,105.32,38.1,0.0,62.0,,,
319.363,105.32,38.1,0.0,62.0,,,
319.363,105.32,38.1,0.0,62.0,,,
319.363,105.32,38.1,0.0,62.0,,,
319.513,105.98,38.46,0.0,62.0,31.72,25.84,27.43
319.513,105.98,38.46,0.0,62.0,31.72,25.84,27.43
319.513,105.98,38.46,0.0,62.0,31.72,25.84,27.43
319.513,105.98,38.46,0.0,62.0,31.72,25.84,27.43
319.513,105.98,38.46,0.0,62.0,31.72,25.84,27.43
319.513,105.98,38.46,0.0,62.0,31.72,25.84,27.43
319.513,105.98,38.46,0.0,62.0,31.72,25.84,27.43
319.663,106.47,38.78,0.0,62.0,,,
319.663,106.47,38.78,0.0,62.0,,,
319.663,106.47,38.78,0.0,62.0,,,
319.663,106.47,38.78,0.0,62.0,,,
319.813,106.82,39.08,0.0,62.0,,,
319.813,106.82,39.08,0.0,62.0,,,
319.813,106.82,39.08,0.0,62.0,,,
319.813,106.82,39.08,0.0,62.0,,,
319.963,107.18,39.39,0.0,62.0,,,
319.963,107.18,39.39,0.0,62.0,,,
319.963,107.18,39.39,0.0,62.0,,,
319.963,107.18,39.39,0.0,62.0,,,
320.113,107.7,39.73,0.0,62.0,,,
320.113,107.7,39.73,0.0,62.0,,,
