Test Report 


Serial Number: A-AB2
Build Config: G.02
ESP Firmware Version: 1.3.0-d
STM Firmware Version: B0.2.4s
Technician ID: JW
Mac Address: 78:21:84:43:e4:8c
Hardware ID: 265b56b2-48cf-5e81-8c34-dd8ceaba982f
Board Version: 5.5


System Fluorimeter Test:

Lowering lifter...
Heating PCR to 30°C...
Blue LED Stabilized

Ch415,Ch445,Ch480,Ch515,Ch555,Ch590,Ch630,Ch680
9,101,74,4,7,16,15,14
9,101,74,4,7,16,15,14
9,101,74,4,7,16,15,14
9,100,74,3,7,16,15,13
9,100,74,4,7,16,15,14
9,100,73,4,7,16,15,13
9,100,73,4,7,16,15,13
9,100,73,4,7,16,15,13
9,100,73,4,7,16,15,14
9,99,73,4,7,16,15,13
9,99,73,4,7,16,15,13
9,100,73,4,7,16,15,13
9,99,73,3,7,16,15,13
9,99,73,3,7,16,15,13
9,99,73,3,7,16,15,13
9,99,73,3,7,16,15,13
9,99,73,3,7,16,15,13
9,99,73,3,7,16,15,13
9,99,73,3,7,16,15,13
9,99,73,3,7,16,15,13
9,99,73,3,7,16,15,13
9,99,73,3,7,16,15,13
9,99,73,4,7,16,15,13
9,99,73,3,7,16,15,13
9,99,73,4,7,16,15,13
9,99,73,4,7,16,15,13
9,99,73,3,7,16,15,13
9,98,73,3,7,16,15,13
9,98,73,3,7,16,15,13
9,98,73,3,7,16,15,13

Passed test

Comments:
