,consumableId,415,445,480,515,555,590,630,680,NIR,CLR,DARK
0,517f4fbb-4262-4c2b-9e66-0980d7ccd481,24,52,1181,684,225,78,48,36,21,566,0
1,39ef5b2d-519b-4a32-a774-9f767f609254,29,69,1434,833,256,95,54,45,26,706,0
2,28003fd8-6337-4353-8b1a-8c570aabf189,29,133,1535,789,260,88,60,57,23,607,0
3,dfb81ccf-690b-4c61-8777-e9a1673218b1,24,970,1041,481,167,63,40,62,15,413,0
4,fb5baad9-d6cf-4ceb-98ae-2ede8ddade64,27,55,1228,694,231,80,51,38,21,568,0
5,817c89d4-598c-4af8-a219-0277b0f73bc4,22,47,1074,601,198,72,47,33,18,517,0
6,6918ee4f-b73b-4568-9251-26d907ec695a,27,220,1351,785,242,92,55,52,25,665,0
7,a9a68df1-7db5-401a-8b9d-f711c4b94fda,39,128,1707,912,286,108,68,64,25,695,0
8,9d6b0fe4-e07f-47e9-9ea0-0d0da70679b4,23,50,1136,649,215,75,57,36,21,790,0
9,8a76e106-8459-464e-bfe3-5e9d64493434,21,73,1104,617,204,71,41,39,20,543,0
10,8a3689cf-0749-4d36-89ec-de2a5e1f2d4f,22,51,1056,590,196,70,43,34,17,499,0
11,f7c0b14f-e0e9-4c15-9b64-48828dc3af29,22,748,1087,533,174,69,47,59,17,539,0
12,cdae9adb-e221-442d-9b29-d1fb46cd191d,24,-80,1103,651,207,78,52,37,20,658,0
13,15633155-7fd5-40f3-98a3-531433ecb24c,25,62,1308,707,223,80,52,46,20,542,0
14,d2fbcdf5-3a1e-41ed-96be-760361b5da90,27,69,1331,776,237,89,50,42,25,663,0
15,293b3464-3729-4ab3-bfa0-e6f1aca31591,20,228,1079,604,200,72,46,42,19,515,0
