Raw Data 		Experiment - 20210107 CF07 JW_2 (Run on LightScanner 32 1.0.0.33)
SamplePos	SampleName	Prog#	Seg#	Cycle#	Time	Temp	470-530	470-640	470-705	
1	Sample 1	2	3	1	51150	72.2200	4.8646	1.1627	0.9644
1	Sample 1	2	3	2	82550	72.2600	4.9317	1.1704	0.9705
1	Sample 1	2	3	3	114150	72.2500	4.9607	1.1749	0.9689
1	Sample 1	2	3	4	146000	72.2300	5.0278	1.1810	0.9705
1	Sample 1	2	3	5	178000	72.1600	5.0614	1.1841	0.9613
1	Sample 1	2	3	6	210050	72.1700	5.1026	1.1872	0.9613
1	Sample 1	2	3	7	242150	72.2200	5.1255	1.1872	0.9598
1	Sample 1	2	3	8	274150	72.1800	5.1698	1.1933	0.9598
1	Sample 1	2	3	9	306300	72.1100	5.2247	1.1948	0.9552
1	Sample 1	2	3	10	338350	72.1400	5.2598	1.1978	0.9583
1	Sample 1	2	3	11	370350	72.2200	5.2552	1.1963	0.9583
1	Sample 1	2	3	12	402450	72.2300	5.3025	1.1978	0.9537
1	Sample 1	2	3	13	434700	72.1700	5.3178	1.2009	0.9552
1	Sample 1	2	3	14	466800	72.0000	5.3910	1.2085	0.9583
1	Sample 1	2	3	15	499100	72.1700	5.3819	1.2085	0.9567
1	Sample 1	2	3	16	531200	72.1700	5.4215	1.2100	0.9613
1	Sample 1	2	3	17	563150	72.1800	5.4231	1.2116	0.9613
1	Sample 1	2	3	18	595250	72.1600	5.4612	1.2161	0.9644
1	Sample 1	2	3	19	627200	72.2000	5.4658	1.2146	0.9598
1	Sample 1	2	3	20	659300	72.1100	5.5070	1.2131	0.9598
1	Sample 1	2	3	21	691300	72.1900	5.5207	1.2207	0.9613
1	Sample 1	2	3	22	723200	72.2700	5.5161	1.2192	0.9628
1	Sample 1	2	3	23	755100	72.1700	5.5375	1.2222	0.9598
1	Sample 1	2	3	24	787250	72.2800	5.5375	1.2238	0.9674
1	Sample 1	2	3	25	819000	72.2300	5.5863	1.2284	0.9659
1	Sample 1	2	3	26	851000	72.1500	5.5940	1.2284	0.9598
1	Sample 1	2	3	27	883050	72.1600	5.6367	1.2345	0.9583
1	Sample 1	2	3	28	915100	72.1300	5.6519	1.2375	0.9598
1	Sample 1	2	3	29	946950	72.2100	5.6413	1.2375	0.9613
1	Sample 1	2	3	30	979150	72.2300	5.6397	1.2406	0.9644
1	Sample 1	2	3	31	1011200	72.2000	5.6611	1.2375	0.9613
1	Sample 1	2	3	32	1043100	72.3200	5.6504	1.2421	0.9705
1	Sample 1	2	3	33	1075200	72.0800	5.6947	1.2512	0.9735
1	Sample 1	2	3	34	1107250	72.1700	5.6931	1.2528	0.9751
1	Sample 1	2	3	35	1139100	72.2100	5.6977	1.2512	0.9705
1	Sample 1	2	3	36	1170950	72.2600	5.6992	1.2558	0.9735
1	Sample 1	2	3	37	1202800	72.2300	5.7038	1.2619	0.9751
1	Sample 1	2	3	38	1234850	72.2200	5.6825	1.2680	0.9812
1	Sample 1	2	3	39	1266700	72.1800	5.7099	1.2665	0.9735
1	Sample 1	2	3	40	1298750	72.1800	5.6916	1.2711	0.9781
1	Sample 1	3	2	1	1309950	59.9400	10.6233	1.5427	1.0697
1	Sample 1	3	2	1	1311300	61.0400	10.4219	1.5305	1.0605
1	Sample 1	3	2	1	1312600	61.1500	10.5196	1.5274	1.0605
1	Sample 1	3	2	1	1313950	61.3000	10.5165	1.5305	1.0636
1	Sample 1	3	2	1	1315250	61.3400	10.5882	1.5259	1.0559
1	Sample 1	3	2	1	1316600	61.5300	10.5241	1.5213	1.0575
1	Sample 1	3	2	1	1317900	61.7400	10.4402	1.5167	1.0575
1	Sample 1	3	2	1	1319250	61.9100	10.3410	1.5091	1.0529
1	Sample 1	3	2	1	1320550	62.1400	10.2235	1.5000	1.0483
1	Sample 1	3	2	1	1321900	62.3400	10.0923	1.4939	1.0513
1	Sample 1	3	2	1	1323200	62.5300	9.9794	1.4893	1.0468
1	Sample 1	3	2	1	1324500	62.7100	9.8375	1.4786	1.0376
1	Sample 1	3	2	1	1325850	62.9600	9.6559	1.4649	1.0361
1	Sample 1	3	2	1	1327150	63.1500	9.5354	1.4603	1.0407
1	Sample 1	3	2	1	1328500	63.3600	9.3812	1.4496	1.0361
1	Sample 1	3	2	1	1329800	63.5200	9.2638	1.4450	1.0315
1	Sample 1	3	2	1	1331150	63.8300	9.0806	1.4343	1.0269
1	Sample 1	3	2	1	1332450	64.0800	8.9143	1.4252	1.0239
1	Sample 1	3	2	1	1333750	64.3200	8.7800	1.4160	1.0269
1	Sample 1	3	2	1	1335100	64.5000	8.6625	1.4145	1.0269
1	Sample 1	3	2	1	1336400	64.7300	8.5374	1.4054	1.0254
1	Sample 1	3	2	1	1337750	65.0200	8.3940	1.3962	1.0208
1	Sample 1	3	2	1	1339050	65.1900	8.2856	1.3886	1.0132
1	Sample 1	3	2	1	1340400	65.4200	8.1331	1.3779	1.0117
1	Sample 1	3	2	1	1341700	65.6700	8.0018	1.3703	1.0040
1	Sample 1	3	2	1	1343000	65.9600	7.8691	1.3687	1.0117
1	Sample 1	3	2	1	1344350	66.1700	7.7409	1.3596	1.0056
1	Sample 1	3	2	1	1345650	66.4900	7.6173	1.3535	1.0010
1	Sample 1	3	2	1	1347000	66.6900	7.4937	1.3443	0.9979
1	Sample 1	3	2	1	1348300	66.9700	7.3732	1.3382	1.0010
1	Sample 1	3	2	1	1349650	67.2000	7.2587	1.3367	1.0025
1	Sample 1	3	2	1	1350950	67.4800	7.1397	1.3245	0.9934
1	Sample 1	3	2	1	1352250	67.6900	7.0634	1.3199	0.9888
1	Sample 1	3	2	1	1353600	68.0000	6.9123	1.3123	0.9842
1	Sample 1	3	2	1	1354900	68.3000	6.8009	1.3077	0.9888
1	Sample 1	3	2	1	1356250	68.5400	6.7231	1.3062	0.9918
1	Sample 1	3	2	1	1357550	68.7800	6.6285	1.2955	0.9796
1	Sample 1	3	2	1	1358900	69.0000	6.5187	1.2924	0.9796
1	Sample 1	3	2	1	1360200	69.2800	6.4149	1.2863	0.9842
1	Sample 1	3	2	1	1361500	69.5600	6.3279	1.2802	0.9796
1	Sample 1	3	2	1	1362850	69.8700	6.2211	1.2726	0.9812
1	Sample 1	3	2	1	1364150	70.1000	6.1219	1.2665	0.9689
1	Sample 1	3	2	1	1365500	70.4400	6.0166	1.2619	0.9720
1	Sample 1	3	2	1	1366800	70.6700	5.9556	1.2589	0.9766
1	Sample 1	3	2	1	1368150	70.8900	5.8640	1.2558	0.9705
1	Sample 1	3	2	1	1369450	71.2100	5.7816	1.2467	0.9628
1	Sample 1	3	2	1	1370750	71.5200	5.6901	1.2390	0.9628
1	Sample 1	3	2	1	1372100	71.7100	5.6199	1.2375	0.9674
1	Sample 1	3	2	1	1373400	71.9200	5.5543	1.2299	0.9583
1	Sample 1	3	2	1	1374750	72.2500	5.4810	1.2253	0.9567
1	Sample 1	3	2	1	1376050	72.4800	5.4078	1.2238	0.9628
1	Sample 1	3	2	1	1377400	72.7600	5.3346	1.2222	0.9567
1	Sample 1	3	2	1	1378700	73.0400	5.2705	1.2161	0.9583
1	Sample 1	3	2	1	1380050	73.3300	5.1942	1.2116	0.9522
1	Sample 1	3	2	1	1381350	73.5900	5.1301	1.2055	0.9491
1	Sample 1	3	2	1	1382650	73.8200	5.0690	1.2055	0.9506
1	Sample 1	3	2	1	1384000	74.0600	5.0202	1.2039	0.9537
1	Sample 1	3	2	1	1385300	74.3000	4.9531	1.1978	0.9491
1	Sample 1	3	2	1	1386650	74.5600	4.8920	1.1948	0.9506
1	Sample 1	3	2	1	1387950	74.8000	4.8386	1.1902	0.9430
1	Sample 1	3	2	1	1389300	75.1100	4.7791	1.1841	0.9445
1	Sample 1	3	2	1	1390600	75.3900	4.7211	1.1826	0.9476
1	Sample 1	3	2	1	1391950	75.6500	4.6632	1.1810	0.9476
1	Sample 1	3	2	1	1393250	75.9500	4.6067	1.1734	0.9369
1	Sample 1	3	2	1	1394550	76.2200	4.5579	1.1688	0.9415
1	Sample 1	3	2	1	1395900	76.4600	4.5075	1.1688	0.9415
1	Sample 1	3	2	1	1397200	76.7500	4.4633	1.1643	0.9354
1	Sample 1	3	2	1	1398550	77.0100	4.4144	1.1566	0.9262
1	Sample 1	3	2	1	1399850	77.3200	4.3565	1.1551	0.9339
1	Sample 1	3	2	1	1401200	77.5800	4.3168	1.1566	0.9384
1	Sample 1	3	2	1	1402500	77.8800	4.2649	1.1521	0.9323
1	Sample 1	3	2	1	1403850	78.1000	4.2267	1.1460	0.9293
1	Sample 1	3	2	1	1405150	78.3600	4.1825	1.1429	0.9247
1	Sample 1	3	2	1	1406450	78.6600	4.1382	1.1414	0.9308
1	Sample 1	3	2	1	1407800	78.9200	4.0909	1.1414	0.9308
1	Sample 1	3	2	1	1409100	79.1800	4.0620	1.1383	0.9277
1	Sample 1	3	2	1	1410400	79.4400	4.0238	1.1337	0.9277
1	Sample 1	3	2	1	1411750	79.7200	3.9765	1.1307	0.9277
1	Sample 1	3	2	1	1413050	79.9900	3.9338	1.1292	0.9247
1	Sample 1	3	2	1	1414400	80.2300	3.9094	1.1276	0.9247
1	Sample 1	3	2	1	1415700	80.4700	3.8773	1.1246	0.9232
1	Sample 1	3	2	1	1417000	80.7700	3.8346	1.1185	0.9216
1	Sample 1	3	2	1	1418350	81.0700	3.7949	1.1154	0.9186
1	Sample 1	3	2	1	1419650	81.3600	3.7675	1.1200	0.9216
1	Sample 1	3	2	1	1421000	81.6300	3.7217	1.1093	0.9171
1	Sample 1	3	2	1	1422300	81.9300	3.6866	1.1093	0.9140
1	Sample 1	3	2	1	1423600	82.1900	3.6484	1.1017	0.9125
1	Sample 1	3	2	1	1424950	82.4500	3.6210	1.1032	0.9140
1	Sample 1	3	2	1	1426250	82.6800	3.5950	1.1017	0.9140
1	Sample 1	3	2	1	1427550	82.9300	3.5691	1.1002	0.9094
1	Sample 1	3	2	1	1428900	83.1900	3.5309	1.0971	0.9110
1	Sample 1	3	2	1	1430200	83.4700	3.5004	1.0941	0.9140
1	Sample 1	3	2	1	1431500	83.7500	3.4668	1.0925	0.9094
1	Sample 1	3	2	1	1432850	84.0600	3.4394	1.0910	0.9110
1	Sample 1	3	2	1	1434150	84.3300	3.4134	1.0880	0.9125
1	Sample 1	3	2	1	1435450	84.6000	3.3814	1.0864	0.9079
1	Sample 1	3	2	1	1436800	84.9000	3.3539	1.0849	0.9079
1	Sample 1	3	2	1	1438100	85.1200	3.3219	1.0788	0.9049
1	Sample 1	3	2	1	1439450	85.3500	3.3021	1.0773	0.9064
1	Sample 1	3	2	1	1440750	85.6000	3.2792	1.0788	0.9064
1	Sample 1	3	2	1	1442050	85.8300	3.2532	1.0742	0.9064
1	Sample 1	3	2	1	1443400	86.1400	3.2288	1.0697	0.9018
1	Sample 1	3	2	1	1444700	86.4400	3.1922	1.0666	0.9033
1	Sample 1	3	2	1	1446000	86.6900	3.1800	1.0681	0.9018
1	Sample 1	3	2	1	1447350	86.9100	3.1479	1.0636	0.9003
1	Sample 1	3	2	1	1448650	87.2500	3.1235	1.0651	0.9018
1	Sample 1	3	2	1	1449950	87.5400	3.0976	1.0605	0.9018
1	Sample 1	3	2	1	1451300	87.7600	3.0823	1.0605	0.9003
1	Sample 1	3	2	1	1452600	88.0200	3.0594	1.0559	0.8957
1	Sample 1	3	2	1	1453900	88.3200	3.0274	1.0513	0.8850
1	Sample 1	3	2	1	1455250	88.5500	3.0121	1.0529	0.8881
1	Sample 1	3	2	1	1456550	88.8100	2.9953	1.0498	0.8896
1	Sample 1	3	2	1	1457850	89.0500	2.9633	1.0452	0.8881
1	Sample 1	3	2	1	1459200	89.2900	2.9465	1.0452	0.8865
1	Sample 1	3	2	1	1460500	89.5200	2.9282	1.0437	0.8850
1	Sample 1	3	2	1	1461850	89.7200	2.9099	1.0437	0.8881
1	Sample 1	3	2	1	1463150	90.1000	2.8794	1.0407	0.8896
1	Sample 1	3	2	1	1464450	90.3600	2.8626	1.0422	0.8911
1	Sample 1	3	2	1	1465800	90.7400	2.8336	1.0376	0.8850
1	Sample 1	3	2	1	1467100	90.9700	2.8153	1.0346	0.8835
1	Sample 1	3	2	1	1468400	91.2500	2.8000	1.0330	0.8835
1	Sample 1	3	2	1	1469750	91.5100	2.7710	1.0269	0.8789
1	Sample 1	3	2	1	1471050	91.7400	2.7634	1.0269	0.8789
1	Sample 1	3	2	1	1472350	91.9500	2.7451	1.0300	0.8820
1	Sample 1	3	2	1	1473700	92.2700	2.7253	1.0239	0.8743
1	Sample 1	3	2	1	1475000	92.5300	2.7131	1.0239	0.8759
