numericValue
1.224
1.191
1.313
1.219
1.342
1.245
1.106
1.42
1.192
1.272
1.217
1.281
1.215
1.277
1.123
1.373
1.263
1.34
1.111
1.228
1.243
1.119
1.302
1.367
1.246
1.38
1.224
1.307
1.324
1.231
1.316
1.28
1.231
1.276
1.276
1.234
1.379
1.163
1.315
1.346
1.275
1.289
1.205
1.339
1.159
1.298
1.29
1.311
1.318
1.264
1.265
1.132
1.207
1.3
1.177
1.247
1.325
1.433
1.286
1.367
1.118
1.219
1.344
1.119
1.25
1.235
1.243
1.299
1.306
1.311
1.281
1.322
