timeSinceBootSeconds,stage1TempC,stage1FilteredTempC,stage1SetTempC,dataQStage1Heatsink,dataQStage1PeltierTop,dataQStage1PeltierBottom,dataQLiquidStg1,dataQStg1Slug,pcrTempC,pcrFilteredTempC,pcrModeledTempC,pcrExpectedTempC,pcrSetTempC,dataQPcrSlug,dataQPcrPeltierTop,dataQPcrPeltierBottom,dataQPcrHeatsink,pcrPTerm,pcrITerm,pcrDTerm,pcrFFTerm,pidOutput,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,Nir,QDotRatio,FluorTemp,qDotPredictedTempC
3338.908,91.37,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3338.946,,,,,,,,,,,,,,,,,,,,,,,1956.0,18000.0,1061.0,531.0,656.0,1541.0,830.0,636.0,76.0,18000.0,1.8566265060240963,29.44,29.44
3339.058,92.12,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3339.208,92.83,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3339.358,93.54,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3339.508,94.23,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3339.658,94.93,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3339.808,95.56,,60.0,,,,55.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3339.958,96.26,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3340.136,96.83,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3340.285,97.57,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3340.436,98.22,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3340.455,,,,,,,,,,,,,,,,,,,,,,,1973.0,18000.0,1058.0,532.0,657.0,1545.0,830.0,637.0,76.0,18000.0,1.8614457831325302,29.43,29.43
3340.585,98.82,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3340.735,99.43,,60.0,,,,53.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3340.885,100.05,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3341.035,100.61,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3341.185,101.17,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3341.335,101.74,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3341.485,102.28,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3341.635,102.81,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3341.785,103.32,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3341.875,,,,,,,59.51,,,,,,,,,,,,,,,,1980.0,18000.0,1054.0,532.0,657.0,1551.0,831.0,635.0,76.0,18000.0,1.8664259927797835,29.43,29.43
3341.935,103.88,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3342.085,104.37,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3342.235,104.87,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3342.385,105.35,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3342.535,105.86,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3342.685,106.36,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3342.835,106.79,,60.0,,,,59.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3342.985,107.31,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3343.135,107.69,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3343.285,108.12,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3343.312,,,,,,,,,,,,,,,,,,,,,,,1984.0,18000.0,1051.0,530.0,659.0,1556.0,828.0,641.0,76.0,18000.0,1.8792270531400965,29.42,29.42
3343.435,108.53,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3343.585,108.95,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3343.735,109.35,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3343.885,109.75,,60.0,,,,57.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3344.035,110.16,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3344.193,110.54,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3344.343,110.9,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3344.493,111.19,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3344.643,110.88,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3344.793,109.96,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3344.87,,,,,,,59.56,,,,,,,,,,,,,,,,1975.0,18000.0,1048.0,527.0,666.0,1594.0,809.0,645.0,76.0,18000.0,1.9703337453646477,29.41,29.41
3344.943,108.59,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3345.092,106.89,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3345.242,105.0,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3345.392,103.08,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3345.542,101.16,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3345.692,99.19,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3345.842,97.33,,60.0,,,,61.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3345.992,95.47,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3346.142,93.59,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3346.292,91.83,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3346.442,90.06,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3346.592,88.35,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3346.661,,,,,,,,,,,,,,,,,,,,,,,2012.0,18000.0,1038.0,522.0,661.0,1517.0,841.0,632.0,76.0,18000.0,1.8038049940546967,29.4,29.4
