cons,inst,lot
f8b19293-ace2-497d-9d9d-7bc5bbf3d536,585,TKM-3536
f5bb09cf-d614-491b-a4f6-07cc7167894c,585,TKM-3536
47c2eb08-0540-46f1-9bde-863468e9da3d,585,TKM-3536
f8924331-427b-4943-a092-fd7ee8937aef,585,TKM-3536
cc644302-e148-41a7-9d5e-f555cfe452ac,585,TKM-3536
42f7169c-587a-4e8a-a50e-d14b291e5267,585,TKM-3536
e26e04a3-0dbf-4b77-bbfa-382baef08070,585,TKM-3536
245912af-358e-4c48-9ab0-b8e8e064891d,588,TKM-3536
a91e856b-a3df-4232-a0ea-5935c4c1db94,588,TKM-3536
1b3cdc41-f236-4698-8155-d3694fdb321d,588,TKM-3536
8e6506d9-6481-4c00-9709-a08063cbde65,588,TKM-3536
105c240e-9c5f-4bf3-88eb-60c8294303d7,588,TKM-3536
8fa85738-74be-48f8-a481-8eac0a0df98b,588,TKM-3536
896878c7-12cd-4be5-9d90-b95f7dd4a792,588,TKM-3536
7b175ea1-ac37-496f-bd89-a0fc8a8e1fb9,591,TKM-3536
5c17a84f-7858-4f7b-9df5-5156e254da59,591,TKM-3536
c4af5013-d551-4c71-96d3-23503be62047,591,TKM-3536
302b4dbd-f97a-4a51-b245-d7d912908290,591,TKM-3536
5fb62b05-4ff9-4516-80ca-06c6f64f1462,591,TKM-3536
2e015cb3-ab69-4d0d-8fb8-d07e08d40f5c,591,TKM-3536
ccf1bd65-3595-4adb-9e09-012c76ddc91c,591,TKM-3536
89b5ffcb-6a50-4fd5-b551-54a5f1a3a4cf,599,TKM-3536
32acb08d-7fd9-45c9-b0ec-e537ac5cfba0,599,TKM-3536
20f7e796-3188-4406-a0e4-9db566da35be,599,TKM-3536
9d5c1120-9410-4684-ab22-aa0c39f0fed6,599,TKM-3536
9a97d5e5-961c-460b-b4b3-2446edb75c4b,599,TKM-3536
7b746592-72ec-40b3-8b10-deec98c0678b,599,TKM-3536
1f0a8d72-62af-4863-8f2b-acbcdaee9b92,599,TKM-3536
464bbaab-1546-4a88-ab0e-d9e45ce13033,602,TKM-3536
cfeaa628-ba6d-4845-982c-7a7b90960bfe,602,TKM-3536
50a32dd1-86f0-49b8-b12f-3271023e39c7,602,TKM-3536
a02ede44-9c49-4b24-9862-dddd02e63f7b,602,TKM-3536
dcd503db-ba6f-4d58-b3c1-1ccb9a4181c3,602,TKM-3536
cf017043-a73b-40f9-aa4c-edf6d1ad6fd9,602,TKM-3536
5e23baa0-86f3-447d-adf7-44c7bfd55bba,602,TKM-3536
