"consumableId","experimentResult__fmax__001","experimentResult__fmax__002","experimentResult__fmax__003","experimentResult__fmax__004","experimentResult__fmax__005","experimentResult__fmax__006","experimentResult__fmax__007","experimentResult__fmax__008","experimentResult__fmax__009","experimentResult__fmax__010","experimentResult__fmax__011"
"8af4a1d1-c450-44db-a8d7-0ef58ee2c01c","10","-41","505","302","97","36","21","18","10","243","0"
"1f62e832-6c40-4a54-8413-6f4f134de352","15","42","710","411","136","48","30","29","13","290","0"
"52b510de-a47a-46da-9153-790d64e90ac1","18","-50","856","521","171","62","37","30","16","453","0"
"493e0288-8d0e-4f6f-a7da-6d1f334d78e7","13","-23","601","363","116","42","28","20","9","-285","0"
"cb3322c3-cffa-45f5-b0fc-d2ec3dddf2fd","30","112","1319","661","230","78","60","51","20","498","0"
"959584ee-1848-4314-9238-60e493772361","18","-72","841","505","167","60","36","31","16","367","0"
"370d78cd-eda4-48a5-bf65-d1cfd3689492","11","84","499","314","95","37","22","18","10","223","0"
"c57f4c85-1425-4438-a8da-729dfd6eae71","12","48","571","302","101","35","26","22","10","203","0"
"7178d64f-938b-4391-be28-324d1acbafc9","16","-60","744","385","128","45","38","25","11","315","0"
"b1494efa-6f26-4240-8d90-49dcae63de8d","13","91","574","323","103","40","29","24","11","304","0"
"82fcfc63-96d5-47e8-b904-3b4c707a7344","17","40","786","488","158","56","34","28","15","380","0"
"c2f666db-c914-4eef-af64-818e7ed64f5d","14","-140","576","350","116","44","29","21","12","364","0"
"adc2b8c7-d515-4d68-8f07-d792b890e56a","18","-31","852","482","159","54","38","28","13","358","0"
"0bcf09e8-2abc-47bf-a732-c51ec02518f2","17","52","777","413","134","49","37","30","14","446","0"
"523ca906-8a4a-4ac7-b269-27d29fc0148a","18","-60","787","474","157","55","33","29","14","313","0"
"1702b695-af70-4f5f-ba3d-72f86008a229","14","-44","633","363","118","44","26","23","11","330","0"
"1d442680-947c-49d6-819d-da83bc717e25","14","83","670","396","134","46","33","25","13","363","0"
"5baaf6c9-49e7-4fb7-8d3a-f88b3db3104d","-8","-63","-294","-193","-69","-32","-20","-16","-8","-243","0"
"5baaf6c9-49e7-4fb7-8d3a-f88b3db3104d","-4","-11","-150","-122","-49","-21","-13","-10","-5","-118","0"
"6813ef38-b5e1-4ece-9b0b-f29b4b0ababe","18","31","828","483","157","55","38","28","15","435","0"
"03f649d3-0fb5-4f82-a7e7-1ef203459579","13","44","642","337","111","38","27","23","10","237","0"
"acd04ff1-8361-4707-9449-a7354f0c85bd","19","141","895","513","172","65","48","33","16","379","0"
"e749b28a-c047-43c4-af60-55be1f297656","5","-121","220","142","44","16","10","-9","4","-148","0"
"74e2f338-994b-4491-afcf-1edc0635caf8","18","41","839","526","169","63","36","29","16","416","0"
"71b99c09-2a47-4e41-91f0-a8b43225b8d6","11","-77","539","373","114","41","36","19","9","1279","0"
"327f8d0e-207a-4d8d-b775-c329b9740e0b","14","-94","659","392","130","47","29","24","12","311","0"
"f4a8f608-2e6b-4022-8cbe-d52674e6d0d8","11","-61","501","306","97","37","25","17","9","267","0"
"93c062d6-9723-41c0-8a0e-7ad3ee9a4dec","16","-49","813","430","145","48","36","31","13","301","0"
"05b9771e-d498-4a12-9b58-93abab8d020c","13","45","645","383","127","45","30","22","12","308","0"
"105c240e-9c5f-4bf3-88eb-60c8294303d7","10","35","489","255","85","30","19","19","10","214","0"
"ccf1bd65-3595-4adb-9e09-012c76ddc91c","8","-54","360","207","67","28","17","13","8","220","0"
"cfeaa628-ba6d-4845-982c-7a7b90960bfe","22","71","1100","636","199","70","49","38","21","573","0"
"f8924331-427b-4943-a092-fd7ee8937aef","18","54","787","474","150","57","33","29","17","435","0"
"9d5c1120-9410-4684-ab22-aa0c39f0fed6","29","100","1251","779","244","91","58","45","27","731","0"
"e26e04a3-0dbf-4b77-bbfa-382baef08070","17","50","608","376","117","46","33","26","13","444","0"
"5fb62b05-4ff9-4516-80ca-06c6f64f1462","11","-32","472","272","89","40","22","22","10","293","0"
"89b5ffcb-6a50-4fd5-b551-54a5f1a3a4cf","31","81","1205","723","224","91","58","47","27","945","0"
"5e23baa0-86f3-447d-adf7-44c7bfd55bba","12","28","535","320","99","34","25","17","11","274","0"
"245912af-358e-4c48-9ab0-b8e8e064891d","15","64","747","415","131","49","29","30","17","475","0"
"8fa85738-74be-48f8-a481-8eac0a0df98b","18","75","839","461","149","54","37","33","17","450","0"
"f8b19293-ace2-497d-9d9d-7bc5bbf3d536","16","42","739","450","145","51","33","27","17","428","0"
"2e015cb3-ab69-4d0d-8fb8-d07e08d40f5c","11","-26","470","281","87","38","23","22","11","296","0"
"cf017043-a73b-40f9-aa4c-edf6d1ad6fd9","18","43","828","500","152","56","38","29","16","435","0"
"1f0a8d72-62af-4863-8f2b-acbcdaee9b92","17","-77","666","397","120","52","33","27","17","513","0"
"302b4dbd-f97a-4a51-b245-d7d912908290","9","25","403","236","72","36","21","22","9","235","0"
"dcd503db-ba6f-4d58-b3c1-1ccb9a4181c3","23","-30","1009","560","171","66","41","36","17","454","0"
"42f7169c-587a-4e8a-a50e-d14b291e5267","16","-39","756","456","144","54","30","28","16","401","0"
"32acb08d-7fd9-45c9-b0ec-e537ac5cfba0","11","31","511","323","100","37","22","19","11","297","0"
"8e6506d9-6481-4c00-9709-a08063cbde65","20","68","958","520","164","66","43","41","21","564","0"
"1b3cdc41-f236-4698-8155-d3694fdb321d","16","76","736","400","129","47","34","29","15","346","0"
"cc644302-e148-41a7-9d5e-f555cfe452ac","13","75","612","354","114","44","23","24","12","296","0"
"7b175ea1-ac37-496f-bd89-a0fc8a8e1fb9","8","-41","327","201","61","28","15","14","8","199","0"
"a02ede44-9c49-4b24-9862-dddd02e63f7b","10","-64","470","284","86","30","20","15","8","230","0"
"20f7e796-3188-4406-a0e4-9db566da35be","18","64","747","444","143","57","36","27","17","528","0"
"896878c7-12cd-4be5-9d90-b95f7dd4a792","9","28","450","250","80","29","22","18","9","245","0"
"47c2eb08-0540-46f1-9bde-863468e9da3d","9","-45","364","244","72","28","18","15","8","-188","0"
"5c17a84f-7858-4f7b-9df5-5156e254da59","7","22","284","167","52","26","18","17","6","162","0"
"9a97d5e5-961c-460b-b4b3-2446edb75c4b","14","50","577","343","106","41","27","25","12","310","0"
"464bbaab-1546-4a88-ab0e-d9e45ce13033","11","37","540","326","102","35","27","19","11","314","0"
"c4af5013-d551-4c71-96d3-23503be62047","4","54","244","125","43","19","-16","9","6","-130","0"
"a91e856b-a3df-4232-a0ea-5935c4c1db94","16","45","790","437","143","49","35","30","17","428","0"
"50a32dd1-86f0-49b8-b12f-3271023e39c7","-13","-119","364","252","79","30","-89","-29","10","-388","0"
"7b746592-72ec-40b3-8b10-deec98c0678b","14","41","619","393","122","43","30","21","14","312","0"
"f5bb09cf-d614-491b-a4f6-07cc7167894c","11","33","406","259","77","33","20","17","10","245","0"
"c1425e92-57a9-4692-b56e-d92d96292be1","13","41","600","329","117","40","28","24","10","232","0"
"6b814e07-e559-4c3f-a888-198a7d545aa7","9","22","332","222","76","26","18","14","7","174","0"
