Text,1: 12-13 0.4uM+,2: 12-13 0.04uM+,3: 14-15 0.4uM+,4: 14-15 0.04uM+,5: 12-13 0.4uM-,6: 12-13 0.04uM-,7: 14-15 0.4uM-,8: 14-15 0.4uM-
1,8.30395984649658,5.1697564125061,5.22774076461792,4.78980684280396,3.00450134277344,2.43686580657959,4.84168767929077,4.06500339508057
2,8.66712474822998,5.26588869094849,5.28725099563599,4.70435667037964,2.98161292076111,2.4658579826355,4.91493082046509,4.12146186828613
3,8.81513690948486,5.30403614044189,5.31624317169189,4.77759981155396,3.01213097572327,2.47348737716675,5.06752109527588,4.17181634902954
4,8.9616231918335,5.36354637145996,5.44747066497803,4.78522920608521,3.0289158821106,2.47043561935425,5.12397956848145,4.21759366989136
5,9.09285068511963,5.41847848892212,5.50240325927734,4.7791256904602,3.04570078849793,2.48416876792908,5.14686822891235,4.26031875610352
6,9.11421394348145,5.49324798583984,5.55886173248291,4.63721656799316,3.054856300354,2.48874640464783,5.19264507293701,4.28168153762817
7,9.29121875762939,5.54055070877075,5.60921621322632,4.9469747543335,3.0640115737915,2.49790191650391,5.27199220657349,4.31219959259033
8,9.38887596130371,5.57869863510132,5.65957117080688,4.98970031738281,3.0640115737915,2.50400543212891,5.27962160110474,4.35797643661499
9,9.55519962310791,5.62905311584473,5.71602964401245,5.07972860336304,3.0579080581665,2.50400543212891,5.36202049255371,4.39154672622681
10,9.62996864318848,5.68245983123779,5.75417709350586,5.1255054473877,3.06858921051025,2.52536821365356,5.35896825790405,4.44342708587646
11,9.64370155334473,5.7236590385437,5.79690265655518,5.1697564125061,3.0640115737915,2.52536821365356,5.39559030532837,4.43884944915771
12,9.71847057342529,5.77401399612427,5.83810186386108,5.19111919403076,3.07469296455383,2.52994585037231,5.45815229415894,4.48920440673828
13,9.61013221740723,5.70382261276245,5.77248811721802,5.1697564125061,3.03044176101685,2.50553131103516,5.38185691833496,4.45563459396362
14,9.72152328491211,5.81521320343018,5.89150857925415,5.25673294067383,3.07316708564758,2.53299760818481,5.46578168869019,4.50751495361328
15,9.78713703155518,5.80910968780518,5.86404228210449,5.26436233520508,3.0350193977356,2.51163506507874,5.43068599700928,4.48767852783203
16,9.98245239257812,5.9052414894104,5.98611450195313,5.3543906211853,3.07927060127258,2.53299760818481,5.535973072052,4.59754323959351
17,9.88784599304199,5.88387870788574,5.8960862159729,5.36049461364746,3.04417490959167,2.52384233474731,5.47798871994019,4.5502405166626
18,9.82833576202393,5.89761209487915,5.9021897315979,5.38185691833496,3.04722666740417,2.51926445960999,5.52529191970825,4.57618045806885
19,9.91836452484131,5.9205002784729,5.96932935714722,5.40321969985962,3.067063331604,2.52384233474731,5.56191349029541,4.60059499740601
20,9.95651149749756,5.94644069671631,6.00137329101562,5.42610836029053,3.06553745269775,2.52079033851624,5.60006093978882,4.62348365783691
21,9.95193386077881,5.96932935714722,6.04104661941528,5.42000436782837,3.07316708564758,2.52079033851624,5.61837196350098,4.62348365783691
22,10.106050491333,6.02731370925903,6.05020236968994,5.44136714935303,3.07316708564758,2.51773858070374,5.63820838928223,4.66468286514282
23,10.2006559371948,6.01205444335938,6.0807204246521,5.46272993087769,3.0701150894165,2.51621270179749,5.65194177627563,4.66315698623657
24,10.360876083374,6.06698703765869,6.07461643218994,5.47646284103394,3.0640115737915,2.51468682289124,5.67177820205688,4.64789819717407
25,10.7576103210449,6.0868239402771,6.0807204246521,5.48256635665894,3.04570078849793,2.51468682289124,5.62294960021973,4.66620874404907
26,11.2642097473145,6.11886787414551,6.12039375305176,5.47798871994019,3.05180430412292,2.51621270179749,5.67177820205688,4.68604564666748
27,12.4681463241577,6.13412666320801,6.0929274559021,5.48256635665894,3.04112315177918,2.51010918617249,5.69161510467529,4.67689037322998
28,14.4457159042358,6.14938592910767,6.11276435852051,5.48561859130859,3.0258641242981,2.50553131103516,5.67940807342529,4.69520092010498
29,18.2711524963379,6.22110319137573,6.21042203903198,5.51003265380859,3.0258641242981,2.51773858070374,5.74197006225586,4.72877073287964
30,22.9938201904297,6.18142986297607,6.12039375305176,5.43221187591553,3.00144958496094,2.50095367431641,5.67635631561279,4.67689037322998
31,28.6076145172119,6.20279216766357,6.07614231109619,5.42305660247803,2.98313879966736,2.49637603759766,5.68856334686279,4.68909740447998
32,34.7310600280762,6.2836651802063,6.17837810516357,5.45357465744019,2.99839782714844,2.50400543212891,5.73128843307495,4.71046018600464
33,37.7294578552246,6.19668865203857,6.09750509262085,5.38490867614746,2.96025013923645,2.47959113121033,5.67635631561279,4.66468286514282
34,39.0890350341797,6.18905925750732,6.07003879547119,5.34981298446655,2.93736171722412,2.46433210372925,5.65499353408814,4.62958717346191
35,40.6576652526855,6.2684063911438,6.1051344871521,5.38796043395996,2.9465172290802,2.4719614982605,5.7175555229187,4.68299388885498
36,40.3006019592285,6.21499967575073,5.98764038085938,5.31166553497314,2.90379190444946,2.45059895515442,5.66109704971313,4.62500953674316
37,39.8718223571777,6.15548944473267,5.93881130218506,5.30251026153564,2.8732738494873,2.43839168548584,5.61532020568848,4.5746545791626
38,39.873348236084,6.14175653457642,5.93881130218506,5.26588869094849,2.86106657981873,2.42313265800476,5.61074256896973,4.57923269271851
39,39.3621711730957,6.14786005020142,5.94796657562256,5.24605178833008,2.85191130638123,2.41092538833618,5.61684608459473,4.5563440322876
40,39.143970489502,6.14938592910767,5.88540458679199,5.22621488571167,2.83054852485657,2.40177011489868,5.59395742416382,4.54413652420044

