Text,1: Positive Control,2: Negative Control,3: NAM. 18S
1,10.4142827987671,9.64675331115723,10.5714502334595
2,10.397497177124,9.67879772186279,10.4875259399414
3,10.3746089935303,9.68184947967529,10.5409326553345
4,10.4158086776733,9.63302040100098,10.5149917602539
5,10.3715572357178,9.61470985412598,10.4554815292358
6,10.3150987625122,9.54757022857666,10.3822383880615
7,10.3028917312622,9.53841495513916,10.3807125091553
8,10.2571144104004,9.48653411865234,10.307469367981
9,10.2037076950073,9.44380855560303,10.2418556213379
10,10.1899747848511,9.42092037200928,10.1701383590698
11,10.1228351593018,9.36751365661621,10.0633249282837
12,10.0785837173462,9.33394336700439,10.0389108657837
13,10.0175476074219,9.26527786254883,9.94735622406006
14,9.98855590820312,9.24696731567383,9.92904567718506
15,9.90768337249756,9.17982769012451,9.82680988311768
16,9.89394950866699,9.1554126739502,9.77187728881836
17,9.81918048858643,9.10200691223145,9.70778942108154
18,9.78255939483643,9.06691074371338,9.67422008514404
19,9.73983383178711,9.01197814941406,9.58571720123291
20,9.68642711639404,8.99366760253906,9.54299259185791
21,9.65590858459473,8.928053855896,9.48958587646484
22,9.63759803771973,8.9066915512085,9.42702388763428
23,9.67422008514404,8.89600944519043,9.40108299255371
24,9.67422008514404,8.86701774597168,9.34767723083496
25,9.73678207397461,8.81666278839111,9.30342578887939
26,9.91378688812256,8.80445575714111,9.27595901489258
27,10.2128629684448,8.7495231628418,9.20729351043701
28,10.7408256530762,8.74189376831055,9.19203472137451
29,11.4946212768555,8.68543529510498,9.12336921691895
30,12.6070041656494,8.68085765838623,9.1004810333252
31,13.9452199935913,8.63508033752441,9.05165195465088
32,15.5291061401367,8.61524391174316,9.03181552886963
33,17.1419849395752,8.5679407119751,8.96009731292725
34,18.8220043182373,8.55420780181885,8.94483852386475
35,20.4119930267334,8.50995635986328,8.89448356628418
36,22.0187683105469,8.49469757080078,8.87922477722168
37,23.4103908538818,8.45960140228271,8.83344745635986
38,24.7699699401855,8.44892024993896,8.83497333526611
39,25.8686199188232,8.41687679290771,8.78461933135986
40,26.8711376190186,8.40009117126465,8.7708854675293
41,27.6966514587402,8.3741512298584,8.74799728393555
42,28.3924617767334,8.35736656188965,8.73273849487305
43,28.9417877197266,8.35126304626465,8.72968673706055
44,29.2652778625488,8.30853748321533,8.70832347869873
45,29.5262069702148,8.27496719360352,8.68696117401123
46,29.7962913513184,8.27496719360352,8.70832347869873
47,29.8481731414795,8.24292373657227,8.7220573425293
48,29.9412536621094,8.21545696258545,8.73884201049805
49,30.0434875488281,8.2169828414917,8.81208515167236
50,29.9809265136719,8.1834135055542,8.89448356628418

