Text,1: Positive Control,2: Negative Control,3: NAM. 18S
1,1.05592429637909,1.04219114780426,1.05897617340088
2,1.05897617340088,1.04219114780426,1.05745017528534
3,1.05592429637909,1.04066526889801,1.05745017528534
4,1.06202793121338,1.0437171459198,1.05897617340088
5,1.06355381011963,1.05134665966034,1.06660568714142
6,1.06355381011963,1.04524302482605,1.05897617340088
7,1.05592429637909,1.05134665966034,1.06355381011963
8,1.06813156604767,1.05134665966034,1.06507968902588
9,1.05897617340088,1.04219114780426,1.05897617340088
10,1.06355381011963,1.05439841747284,1.06355381011963
11,1.06355381011963,1.04829478263855,1.05439841747284
12,1.05439841747284,1.0437171459198,1.06507968902588
13,1.05745017528534,1.0498206615448,1.06507968902588
14,1.06050205230713,1.04066526889801,1.05745017528534
15,1.05287253856659,1.04524302482605,1.06202793121338
16,1.05897617340088,1.0467689037323,1.05287253856659
17,1.05897617340088,1.04219114780426,1.06202793121338
18,1.06202793121338,1.04829478263855,1.05897617340088
19,1.05592429637909,1.04524302482605,1.06965744495392
20,1.05287253856659,1.04524302482605,1.06507968902588
21,1.05134665966034,1.0498206615448,1.07728695869446
22,1.06355381011963,1.04524302482605,1.08033871650696
23,1.05897617340088,1.05287253856659,1.10322725772858
24,1.06660568714142,1.04066526889801,1.11696040630341
25,1.07270920276642,1.0437171459198,1.13527119159698
26,1.08339059352875,1.03913938999176,1.15968561172485
27,1.09559774398804,1.03761351108551,1.18562602996826
28,1.11696040630341,1.04066526889801,1.21156632900238
29,1.15358209609985,1.0437171459198,1.22529947757721
30,1.18562602996826,1.0467689037323,1.24666213989258
31,1.22835123538971,1.0437171459198,1.2695506811142
32,1.26497292518616,1.0437171459198,1.28328371047974
33,1.3046463727951,1.03608763217926,1.29091322422028
34,1.3427939414978,1.0437171459198,1.29701685905457
35,1.37026011943817,1.03913938999176,1.31380176544189
36,1.40230405330658,1.0437171459198,1.31990540027618
37,1.43282210826874,1.0437171459198,1.32143127918243
38,1.46944379806519,1.04219114780426,1.31685364246368
39,1.49080646038055,1.03913938999176,1.33211266994476
40,1.52285039424896,1.04066526889801,1.32295715808868
41,1.54573893547058,1.03761351108551,1.33363854885101
42,1.5686274766922,1.04219114780426,1.32906079292297
43,1.59456777572632,1.04219114780426,1.32600903511047
44,1.60830092430115,1.03913938999176,1.33974206447601
45,1.62966358661652,1.03608763217926,1.33058667182922
46,1.65255212783813,1.03761351108551,1.33058667182922
47,1.66475927829742,1.04066526889801,1.33516442775726
48,1.68459606170654,1.0437171459198,1.32906079292297
49,1.69680321216583,1.03761351108551,1.33363854885101
50,1.70748460292816,1.04219114780426,1.32906079292297

