Text,1: Positive Control,2: Negative Control,3: NAM. 18S
1,1.312275887,1.290913224,1.403830051
2,1.321431279,1.297016859,1.414511323
3,1.318379521,1.292439103,1.414511323
4,1.316853642,1.298542738,1.40535593
5,1.318379521,1.297016859,1.40535593
6,1.316853642,1.293965101,1.406881809
7,1.318379521,1.29549098,1.40535593
8,1.313801765,1.293965101,1.400778174
9,1.3199054,1.290913224,1.391622782
10,1.312275887,1.286335588,1.391622782
11,1.310750008,1.287861466,1.38094151
12,1.307698131,1.281757832,1.377889633
13,1.312275887,1.286335588,1.376363754
14,1.309224129,1.28328371,1.377889633
15,1.306172252,1.281757832,1.371786118
16,1.309224129,1.281757832,1.370260119
17,1.304646373,1.277180076,1.368734241
18,1.309224129,1.281757832,1.376363754
19,1.306172252,1.277180076,1.383993268
20,1.309224129,1.275654197,1.400778174
21,1.307698131,1.272602439,1.425192595
22,1.309224129,1.274128318,1.464866161
23,1.316853642,1.27107656,1.507591367
24,1.324483156,1.27107656,1.57625699
25,1.348897576,1.27107656,1.646448493
26,1.385519147,1.268024683,1.710536361
27,1.445029378,1.27107656,1.785305619
28,1.538109422,1.264972925,1.857023001
29,1.649500251,1.264972925,1.913481355
30,1.789883256,1.264972925,1.96841383
31,1.937895775,1.263447046,2.008087397
32,2.09048605,1.263447046,2.047760725
33,2.230869055,1.268024683,2.081330538
34,2.368200302,1.27107656,2.104219198
35,2.496376038,1.269550681,2.119478226
36,2.613870382,1.275654197,2.133211374
37,2.720683575,1.284809589,2.145418406
38,2.827496767,1.307698131,2.148470402
39,2.915999174,1.336690307,2.153048038
40,2.996871948,1.376363754,2.166781187
41,3.070115089,1.420614958,2.159151554
42,3.144884348,1.475547433,2.168307066
43,3.208972216,1.535057545,2.171358824
44,3.271534204,1.588464141,2.169832945
45,3.334096193,1.629663587,2.169832945
46,3.392080545,1.681544185,2.168307066
47,3.44701314,1.72274363,2.172884703
48,3.497367859,1.757839322,2.168307066
49,3.547722578,1.791409135,2.168307066
50,3.591973782,1.812771797,2.159151554
